事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所所在地,法人名称,利用定員,指定日
2721000129,グループホーム　ＡＯＹ塚本,06-6829-7786,072-242-4807,大阪市西淀川区（以下略）,株式会社ＡＯＹ,4,2021/09/01
2723000234,グループホームパラトレ新大阪�U,06-6748-0297,06-6748-0298,大阪市東淀川区（以下略）,株式会社ＴＥＰＰＥＮ,4,2021/09/01
2723000242,はこぶね淡路,080-2371-9612,06-6152-9627,大阪市東淀川区（以下略）,特定非営利活動法人方舟,5,2021/09/01
2721500243,ＬｉＮＣＵＥホーム,06-6180-7971,06-6180-7971,大阪市東成区（以下略）,株式会社ＬｉＮＣＵＥ,4,2021/09/01
2721500250,ＤＮハウス,06-6763-8800,06-6971-6688,大阪市東成区（以下略）,株式会社Ｄ＆Ｎ,4,2021/09/01
2722200462,ＯＬＩＶＩＡ＋ＨＯＭＥ　�T,06-7896-8295,06-7896-1103,大阪市生野区（以下略）,オリビア合同会社,4,2021/09/01
2722000284,グループホームアネモネ,06-6691-0527,06-6691-0527,大阪市住吉区（以下略）,ｍｏｕ株式会社,4,2021/09/01
2722000268,グループホーム　ニコリ,06-6910-4350,06-6910-4351,大阪市住吉区（以下略）,株式会社帝商産業,9,2021/09/01
2722000276,グループホームＳＵＮＮＹ,080-6129-4031,06-6926-4906,大阪市住吉区（以下略）,株式会社Ｈ＆Ｂ６０,4,2021/09/01
2720800420,つぐみの家東住吉,080-7330-1552,06-6777-9929,大阪市東住吉区（以下略）,一般社団法人つぐみ,4,2021/09/01
2725800607,グループホームいつき,090-4853-3242,06-6794-1481,大阪市平野区（以下略）,株式会社樹サポート,6,2021/09/01
2721800023,ライズグループホーム新町,090-2019-5017,,大阪市西区（以下略）,株式会社ＲＩＳＥ　ＧＲＯＵＰ,4,2021/08/01
2724300088,グループホーム健水,06-6211-8637,06-6211-8638,大阪市浪速区（以下略）,健水ライフサイエンス株式会社,6,2021/08/01
2723000226,グループホームあーるえいち新大阪,072-980-7050,072-980-7051,大阪市東淀川区（以下略）,株式会社ＲＨ,4,2021/08/01
2722200447,グループホームＪＯＹ,06-6789-3131,06-6789-3100,大阪市生野区（以下略）,株式会社ＪＯＩＮＴ,4,2021/08/01
2722200454,Ｔ’ｓ　Ｈｏｕｓｅ,06-6712-0920,06-4980-4646,大阪市生野区（以下略）,特定非営利活動法人大阪市市民生活支援センター,6,2021/08/01
2722300171,まほろば１,06-4963-3801,06-4963-3802,大阪市阿倍野区（以下略）,株式会社Ｓ−ＦＩＥＬＤ,4,2021/08/01
2722000250,ＡＬＩＶＩＯ,080-3820-9944,,大阪市住吉区（以下略）,株式会社ＬＩＦＩＸ,4,2021/08/01
2720800404,グループホーム３３,06-7508-6550,06-7508-6550,大阪市東住吉区（以下略）,株式会社ＨＡＲＵ　ＨＡＲＵ,4,2021/08/01
2720800412,グループホームホープ,06-6442-7031,06-6442-7031,大阪市東住吉区（以下略）,株式会社エムレガロ,6,2021/08/01
2725800599,グループホームプレジャー,06-6777-5091,06-6777-5091,大阪市平野区（以下略）,株式会社プレジャー,4,2021/08/01
2723300287,障がい者グループホーム　くりの木,06-4303-3773,06-4303-3772,大阪市西成区（以下略）,株式会社クリサポ,5,2021/08/01
2723000200,グループホームさんふらわー,090-7493-9045,06-6748-0298,大阪市東淀川区（以下略）,一般社団法人Ｓｕｎふらわー,4,2021/07/01
2723000218,グループホーム　パラトレ新大阪,06-6748-0297,06-6748-0298,大阪市東淀川区（以下略）,株式会社ＴＥＰＰＥＮ,4,2021/07/01
2721500227,ぴぃすはぁと,06-6764-0543,06-6764-0564,大阪市東成区（以下略）,有限会社　ＰｅａｃｅＨｅａｒｔ,4,2021/07/01
2721500235,ラッキーハウス,06-6926-4902,06-6926-4906,大阪市東成区（以下略）,株式会社ＥａｒｎｅｓｔＮｉｎｅ,4,2021/07/01
2729200218,ウィル,06-6912-5588,06-6913-5075,大阪市鶴見区（以下略）,株式会社サン電設,5,2021/07/01
2722300163,Ａｕｎ　Ｈｏｍｅ,06-6131-1818,06-6131-1819,大阪市阿倍野区（以下略）,株式会社クレバリュー,12,2021/07/01
2722000243,ノブカンホーム,06-6629-8166,06-7635-7407,大阪市住吉区（以下略）,株式会社ノブカントリー,4,2021/07/01
2720800396,セルフサポート　さくら,06-6711-0110,06-6711-0369,大阪市東住吉区（以下略）,株式会社ＰＡＧＥ　Ｒ,4,2021/07/01
2720800388,慈風の家,06-6629-8687,06-6629-8687,大阪市東住吉区（以下略）,一般社団法人慈敬,5,2021/07/01
2725800581,グループホームｃｕｏｒｅ,06-6708-0101,06-6708-0101,大阪市平野区（以下略）,株式会社せいあい,4,2021/07/01
2720800362,ドリーム・プリン　社宅,06-6797-2861,06-6705-1551,大阪市東住吉区（以下略）,株式会社スガ,7,2021/06/01
2720800370,ふれあいハウス・どん,06-6777-9692,,大阪市東住吉区（以下略）,合同会社ケア・コーポレーション岳都,4,2021/06/01
2725800573,グループホーム　グッドライフ,080-4490-8484,,大阪市平野区（以下略）,合同会社セルフステージ,4,2021/06/01
2722800105,わおん　おおさか　此花,06-6318-1883,06-6318-1882,大阪市此花区（以下略）,株式会社輝ホールディングス,6,2021/05/01
2721800015,愛丸グループホーム新町,090-3272-7658,,大阪市西区（以下略）,株式会社ワイズアップ,10,2021/05/01
2722700099,廣陽荘,06-6695-7442,06-6695-7402,大阪市大正区（以下略）,一般社団法人笑福,6,2021/05/01
2724300070,ハッピーホーム,06-6136-7761,06-6136-8167,大阪市浪速区（以下略）,株式会社ｆｒｉｅｎｄｓ,4,2021/05/01
2721000111,グループホームわたあめ,06-7777-0130,06-7777-0130,大阪市西淀川区（以下略）,株式会社ＬＤＳＪＡＰＡＮ,4,2021/05/01
2724400151,グループホーム「和奏（わかな）」,06-6180-4885,06-6180-4886,大阪市城東区（以下略）,一般社団法人和奏,10,2021/05/01
2724400169,グループホームＮｉｎｅ,06-4309-7025,06-6949-8637,大阪市城東区（以下略）,株式会社Ｎｉｎｅ,13,2021/05/01
2722000235,グループホーム共育大阪,090-1908-0219,072-655-7705,大阪市住吉区（以下略）,株式会社ビゴラスポイント,4,2021/05/01
2720800354,グループホームブリッチ杭全,06-6760-5649,06-6760-5622,大阪市東住吉区（以下略）,株式会社リ・ポール,4,2021/05/01
2725800565,あじさい,06-6777-2792,06-6777-2792,大阪市平野区（以下略）,株式会社ＺＥＮ　ＣＡＲＥ,8,2021/05/01
2725800557,グループホームはるかぜ,06-6777-3023,06-677-3023,大阪市平野区（以下略）,株式会社ＺＥＫＡＲＵＨＡ,19,2021/05/01
2725800540,グループホームブリッチ西脇,06-6760-5649,06-6760-5622,大阪市平野区（以下略）,株式会社リ・ポール,4,2021/05/01
2721700058,アベラ・スマイル・ホーム,06-6777-4329,06-6777-4574,大阪市天王寺区（以下略）,株式会社アベラスマイルパートナー,5,2021/04/01
2724300062,ＣＯＣＯｄｅＰＳ恵美須Ａ,06-6643-9011,06-6537-1597,大阪市浪速区（以下略）,株式会社ＫＳパートナーズ,4,2021/04/01
2721500219,ライフサポートハジメ,080-1456-0782,06-6926-4906,大阪市東成区（以下略）,株式会社ファーストステップ,10,2021/04/01
2721500193,地域生活援助事業所あーす,06-6971-2735,06-6971-2735,大阪市東成区（以下略）,社会福祉法人大阪市手をつなぐ育成会,5,2021/04/01
2721500201,ウェルウェル東成,06-7410-2802,,大阪市東成区（以下略）,一般財団法人国際福祉人権研究財団,5,2021/04/01
2722200405,テララハウス生野,06-4392-7643,06-7632-3393,大阪市生野区（以下略）,レオフランマ株式会社,4,2021/04/01
2722200413,ほっとハウス・生野,06-6755-0301,06-6755-0302,大阪市生野区（以下略）,株式会社イノス,8,2021/04/01
2722200439,フリーライフ鶴橋,080-4019-2990,0729-21-1898,大阪市生野区（以下略）,株式会社フリーケア,15,2021/04/01
2722200421,グループホーム「一条通りの家」,06-7890-1006,06-7890-1006,大阪市生野区（以下略）,アデランテ株式会社,5,2021/04/01
2723100158,グループホームオリビの森,06-7177-3426,06-7177-3426,大阪市旭区（以下略）,株式会社オネスト,14,2021/04/01
2723100166,グループホームあさひ,06-6958-5510,06-6958-5511,大阪市旭区（以下略）,株式会社ＳＵＮＮＹ,6,2021/04/01
2729200200,ゆめケアホーム,06-6585-0961,06-6585-0962,大阪市鶴見区（以下略）,アップサポート合同会社,15,2021/04/01
2722000227,Ｃケアはうすあびこ,06-4701-5610,06-4701-5611,大阪市住吉区（以下略）,株式会社ＣＮＣ,4,2021/04/01
2722000219,障がい児者余暇生活支援センターじらふ　グループホームれんと,06-6678-7572,06-6678-7573,大阪市住吉区（以下略）,社会福祉法人　ライフサポート協会,6,2021/04/01
2722000201,障がい児者余暇生活支援センターじらふ　グループホームあると,06-6678-7572,06-6678-7573,大阪市住吉区（以下略）,社会福祉法人　ライフサポート協会,6,2021/04/01
2725800532,アミーゴ,06-6926-4902,06-6926-4906,大阪市平野区（以下略）,株式会社クボタ,4,2021/04/01
2723300261,カメラート,072-447-5370,072-447-5370,大阪市西成区（以下略）,株式会社Ｈ＆Ｕ,8,2021/04/01
2723300279,歩のかの家,06-6563-6655,06-6563-6670,大阪市西成区（以下略）,合同会社歩のか,4,2021/04/01
2723300253,共同生活援助チャレンジ,06-6562-5800,06-6562-6677,大阪市西成区（以下略）,社会福祉法人ヒューマンライツ福祉協会,15,2021/04/01
2721500185,プレシャスワン（玉津）,080-5358-4050,,大阪市東成区（以下略）,ライフコミットメント株式会社,10,2021/03/01
2722200397,グループホームほほえみ桃谷,06-7172-0561,06-7172-0561,大阪市生野区（以下略）,合同会社ＴＡＫＫほほえみ,4,2021/03/01
2724400144,グループホームひかり,06-6167-8548,06-6167-8547,大阪市城東区（以下略）,合同会社夢海会,10,2021/03/01
2722000193,グループホーム百合の丘,06-6654-6626,06-6654-6626,大阪市住吉区（以下略）,合同会社ｋｅｅｐｓａｋｅ,6,2021/03/01
2720800321,グループホームジョイフル,06-6532-6555,06-6532-6566,大阪市東住吉区（以下略）,ｆｏｒｃｅｓ株式会社,4,2021/03/01
2720800339,関西福祉サービス,06-6484-5264,06-7635-2917,大阪市東住吉区（以下略）,関西福祉サービス株式会社,4,2021/03/01
2720800347,共同生活援助　道の会,06-7171-6773,06-7171-6773,大阪市東住吉区（以下略）,株式会社道の会,4,2021/03/01
2725800524,オレンジホーム,06-6795-7575,06-6975-7574,大阪市平野区（以下略）,特定非営利活動法人おれんじ,4,2021/03/01
2725800516,グループホームテラス平野,06-6926-9161,06-7165-8164,大阪市平野区（以下略）,合同会社ｂｌｏｓｓｏｍ,4,2021/03/01
2725800508,みらいホーム平野,06-6760-5337,06-6760-5337,大阪市平野区（以下略）,株式会社ミライエ,27,2021/03/01
2723300238,グループホームまごころ,06-6627-9321,06-6627-9322,大阪市西成区（以下略）,合同会社こころナース,10,2021/03/01
2723300246,グループホーム　ルポエール,06-7164-7581,06-7164-7581,大阪市西成区（以下略）,株式会社ジョブシェアパートナーズ,4,2021/03/01
2723300212,グループホームなごみ庵,06-4394-7199,06-7635-8648,大阪市西成区（以下略）,一般社団法人なごみ,4,2021/03/01
2721000103,１ｓｔぷれいす西淀川,06-7777-4414,06-7777-4413,大阪市西淀川区（以下略）,株式会社シーシー,8,2021/02/01
2721500177,ウイルワンハウス,06-6924-9755,06-6924-9766,大阪市東成区（以下略）,株式会社ウイルワンサービス,4,2021/02/01
2722200389,チャコチャコハウス,06-6962-6600,06-6962-6600,大阪市生野区（以下略）,株式会社柳,4,2021/02/01
2722200371,フェイスホーム生野,06-6630-7131,06-6630-7132,大阪市生野区（以下略）,株式会社　ＦＡＩＴＨ,5,2021/02/01
2729200192,グループホームひかる,06-7175-1125,06-7175-1125,大阪市鶴見区（以下略）,笠藤トータルライフサポート合同会社,7,2021/02/01
2721700041,グループホームはぐくみ,06-7161-5127,06-7161-5127,大阪市天王寺区（以下略）,合同会社育,6,2021/01/01
2724300054,ファイトハウス,06-6214-3939,06-6214-3938,大阪市浪速区（以下略）,株式会社ＡＲＴ−ＩＮＮ,11,2021/01/01
2721500169,ひだまり,06-6978-5520,06-6730-7027,大阪市東成区（以下略）,合同会社Ｖｉｚｅ,15,2021/01/01
2722200363,桃谷キャンプ,06-4866-6835,06-6185-5540,大阪市生野区（以下略）,株式会社アーミー,5,2021/01/01
2720800313,グループホームアシスト,06-4305-1414,06-4305-1404,大阪市東住吉区（以下略）,株式会社新栄建設,7,2021/01/01
2720800305,グループホームなごみ,090-4853-3242,06-6794-1481,大阪市東住吉区（以下略）,株式会社和みサポート,12,2021/01/01
2723300196,はっぴーれいんぼー,06-6115-7086,06-6115-7087,大阪市西成区（以下略）,株式会社ＨＡＰＰＹ,6,2021/01/01
2723300204,フラワーボックス,06-6300-7718,06-6300-7783,大阪市西成区（以下略）,株式会社バトン,6,2021/01/01
2729400057,ナチュラルライフ,06-6585-7552,06-6585-7552,大阪市中央区（以下略）,合同会社ｎａｔｕｒａｌ＆ｌｉｆｅ,5,2020/12/01
2722300155,たまごのお家,06-0000-0000,,大阪市阿倍野区（以下略）,有限会社泉光企画,4,2020/12/01
2720800297,はなうたの家,06-7410-1861,,大阪市東住吉区（以下略）,Ａ＆Ｄ株式会社,8,2020/12/01
2725800490,ウェル翔夢ホーム　ルアナ,06-6776-2322,06-6776-2323,大阪市平野区（以下略）,特定非営利活動法人　翔夢,5,2020/12/01
2720200043,わおん障がい者グループホームなにわ,06-6743-4873,06-6743-4874,大阪市福島区（以下略）,株式会社アニスピホールディングス,16,2020/11/01
2722800097,グループホームＨａｎａ,06-6136-8774,06-6136-8774,大阪市此花区（以下略）,一般社団法人Ａｍｏｒ,8,2020/11/01
2723000192,花もも園,06-4862-7075,06-4862-7076,大阪市東淀川区（以下略）,社会福祉法人コミュニティキャンパス,10,2020/11/01
2722200355,リアル生野�T,06-6754-2585,06-6754-2585,大阪市生野区（以下略）,株式会社にこばん,7,2020/11/01
2722300148,グループホーム心,06-7173-8290,06-7173-8290,大阪市阿倍野区（以下略）,株式会社心,4,2020/11/01
2720800289,グループホームやさしさ,06-4392-7536,06-6654-6079,大阪市東住吉区（以下略）,合同会社せせらぎ,5,2020/11/01
2729400040,グループホームＡｍｉ,06-6975-7545,06-6975-7546,大阪市中央区（以下略）,合同会社Ａｍｉ,4,2020/10/01
2723000184,グループホーム　みつば,06-6944-5500,06-6944-6500,大阪市東淀川区（以下略）,株式会社三つ葉,8,2020/10/01
2721500144,グループホームＳＴＥＰ,06-6975-8870,06-6756-7707,大阪市東成区（以下略）,株式会社ｌｉｔ,12,2020/10/01
2721500151,Ｍ＆Ｓ,06-6599-9222,06-6654-9352,大阪市東成区（以下略）,株式会社Ｍ＆Ｓ,10,2020/10/01
2721500136,Ａｒａｒａ,06-6766-4651,06-6766-4652,大阪市東成区（以下略）,株式会社ＡｉｄＴｒｙ,6,2020/10/01
2725900100,憩,06-7178-7118,,大阪市住之江区（以下略）,有限会社ＭＹサポート,10,2020/10/01
2720800271,グループホームきづな,06-7177-9221,06-7177-9221,大阪市東住吉区（以下略）,合同会社ＴａｎＴａｎ,5,2020/10/01
2725800466,グループホームメープル,06-7171-0405,06-7173-4832,大阪市平野区（以下略）,株式会社ライフケアネクスト,4,2020/10/01
2725800474,グループホームブリッチ平野,06-6760-5649,06-6760-5622,大阪市平野区（以下略）,株式会社リ・ポール,7,2020/10/01
2729100103,グループホームＡＬＢＡ,06-6926-4511,06-6926-4511,大阪市淀川区（以下略）,株式会社ＡＳＨ,5,2020/09/01
2729100095,レジデンスよど,06-6770-9345,06-6770-9921,大阪市淀川区（以下略）,社会福祉法人　北摂杉の子会,10,2020/09/01
2723100141,Ｌｉｌｙ,06-6167-5231,06-6167-5232,大阪市旭区（以下略）,株式会社ａｎｔｈｅｍ,8,2020/09/01
2725800458,ルーツ,06-6707-2228,06-6707-2229,大阪市平野区（以下略）,ＨｕｍｍｉｎｇＬｉｆｅ株式会社,4,2020/09/01
2723300188,グループホームＱＯＬ,06-4967-7097,06-4967-7097,大阪市西成区（以下略）,合同会社ケアサポートＱＯＬ,4,2020/09/01
2722200348,ライフフィールドＮｉｎｅ（田島）,06-4309-7025,06-6949-8637,大阪市生野区（以下略）,株式会社Ｎｉｎｅ,26,2020/08/01
2722200322,はるのいえ大阪Ｃ,06-7173-7754,06-7173-7754,大阪市生野区（以下略）,株式会社ＨＡＬ,16,2020/08/01
2722200330,グループホームｎｉｃｏ生野西,090-3288-0131,,大阪市生野区（以下略）,株式会社ベースマイル,8,2020/08/01
2723100133,さんさんロード,06-6967-9595,06-6967-9596,大阪市旭区（以下略）,株式会社ビィーエイト,5,2020/08/01
2729200184,グループホーム琥珀,06-7710-0739,06-7710-0739,大阪市鶴見区（以下略）,合同会社栞,11,2020/08/01
2720800263,オハナホーム,06-6719-0550,06-6719-0550,大阪市東住吉区（以下略）,株式会社古池屋,13,2020/08/01
2723300170,わおんＯＳＡＫＡ,06-6599-8081,06-6599-8331,大阪市西成区（以下略）,有限会社　アリーナオカモト,9,2020/08/01
2725900092,ヴィラミカエルＨｏｌｙＨｏｍｅ,06-7502-7887,06-6105-1918,大阪市住之江区（以下略）,一般社団法人青空,4,2020/07/01
2725800441,グループホーム海,06-7709-4849,06-6793-0330,大阪市平野区（以下略）,合同会社Ｌｉｖｅ　Ｔｏｇｅｔｈｅｒ,11,2020/07/01
2725800433,グループホームあさがお,06-7164-4413,06-7173-4157,大阪市平野区（以下略）,合同会社アスター,8,2020/07/01
2722200314,縁家,06-6756-7020,06-6756-7022,大阪市生野区（以下略）,株式会社ワークロード,10,2020/06/01
2725900084,ぬくもりの家　住之江,06-4977-1547,06-7182-4040,大阪市住之江区（以下略）,合同会社ｓｔａｂｌｅ,21,2020/06/01
2720800255,マイスマイル,06-7710-0659,06-7710-0659,大阪市東住吉区（以下略）,合同会社マイスマイル,4,2020/06/01
2725800425,り・すーむ,06-6777-5479,06-7176-3999,大阪市平野区（以下略）,株式会社グローライフ,4,2020/06/01
2723000176,りぼん,06-6195-9365,06-6195-9375,大阪市東淀川区（以下略）,合同会社アドバンス,9,2020/05/01
2724400136,ＢＲＯＯＫホーム放出,06-6809-5430,06-6809-5430,大阪市城東区（以下略）,株式会社ＢＲＯＯＫ,8,2020/05/01
2725800417,ケアホーム輝き,06-6777-3637,06-6777-3637,大阪市平野区（以下略）,合同会社ＧＬＡＮＺ,8,2020/05/01
2723300162,Ｇｒｅｅｎ　Ｌｅａｖｅｓ,06-6224-0540,06-6224-0630,大阪市西成区（以下略）,一般社団法人ひきこもりねっと,5,2020/05/01
2729100087,しろくま,06-6398-9390,06-6398-9391,大阪市淀川区（以下略）,株式会社しろくま,12,2020/04/01
2723000168,ケアホームもえぎ,06-6829-7462,06-6829-7462,大阪市東淀川区（以下略）,株式会社ルーキス,4,2020/04/01
2724400128,ＧＨほっと・ステーション,06-6936-7006,06-6936-7006,大阪市城東区（以下略）,有限会社　ほっと・ステーション,12,2020/04/01
2720800248,らいとほーむ�T,06-7222-1248,06-7222-1248,大阪市東住吉区（以下略）,株式会社おーるらいと,10,2020/04/01
2720800230,かえる,06-6699-7699,06-6699-1990,大阪市東住吉区（以下略）,社会福祉法人　ふれあい共生会,14,2020/04/01
2725800409,グループホームＡＲＯＨＡ,06-7221-0546,06-6793-0330,大阪市平野区（以下略）,有限会社パッケム,4,2020/04/01
2722200306,アイビー,06-6160-8168,06-6160-6881,大阪市平野区（以下略）,株式会社�@．ｂ．,26,2020/04/01
2725800391,ＪＵＳＴホーム,06-6210-2315,06-6210-1743,大阪市平野区（以下略）,株式会社ＳｈｉｎＣ,8,2020/04/01
2722200298,障がい者グループホーム　ＹＥＬＬ〜エール　新今里,06-4308-5560,06-4308-5561,大阪市生野区（以下略）,有信アクロス株式会社,11,2020/03/01
2724400110,えんじゅホーム今福東,06-6969-6565,06-6969-6566,大阪市城東区（以下略）,合同会社Ｍａｋｉ　Ｌａｂ,13,2020/03/01
2725800383,グループホーム　のんびり,090-7490-5947,06-6700-6613,大阪市平野区（以下略）,特定非営利活動法人まるーく,6,2020/03/01
2729100079,障がいグループホームソレイユくんのお家十三,06-6476-9798,06-6476-9799,大阪市淀川区（以下略）,株式会社トゥレジュール,9,2020/02/01
2729200176,ホーム・ゲミニ,050-3188-6222,050-6875-6879,大阪市鶴見区（以下略）,株式会社ＡＳＴＲＡ,11,2020/02/01
2725800375,ＯＳ−ＨＯＵＳＥ,080-5318-3117,06-6708-3704,大阪市平野区（以下略）,合同会社すまいる,8,2020/02/01
2725800367,グループホーム　パレット,06-6777-5050,06-6777-5050,大阪市平野区（以下略）,株式会社ＧＲＡＮＴＲＥＥ,25,2020/01/01
2722800089,エソラ此花,06-6460-2120,06-6460-2111,大阪市此花区（以下略）,一般社団法人エソラ,11,2019/12/01
2722200280,グループホームスマイル,06-6120-9125,06-6120-9125,大阪市生野区（以下略）,株式会社日本スマイル,18,2019/12/01
2720800222,セルフサポートひまわり,06-6777-8483,06-6777-8981,大阪市東住吉区（以下略）,合同会社Ｄ　ｓｅｌｆ　ｓｕｐｐｏｒｔ,4,2019/12/01
2722000185,富永グループホーム,06-7493-2051,06-7493-2051,大阪市住吉区（以下略）,社会医療法人寿会,4,2019/11/01
2720800206,グループホームぽてと,06-6776-2358,06-6776-2359,大阪市東住吉区（以下略）,株式会社Ｏ−ｅｎ,15,2019/11/01
2720800180,グループホーム　幸樹,06-7890-8415,06-7890-8419,大阪市東住吉区（以下略）,株式会社ＭＡＲＩコーポレーション,6,2019/11/01
2720800214,ウォームハート東住吉,06-6616-7462,06-6616-7462,大阪市東住吉区（以下略）,ＫＥＩ株式会社,15,2019/11/01
2720800198,めぞん・ど・ぽとふ,06-6697-1704,06-6718-6011,大阪市東住吉区（以下略）,株式会社　ぽとふカンパニー,7,2019/11/01
2722000177,グループホーム　ロング,06-6695-1115,06-6115-8177,大阪市住吉区（以下略）,株式会社ＴＡＪＩＲＩ,7,2019/09/01
2724100058,Ｅｎｊｏｙ　Ｌｉｆｅ　Ｉｎ　Ｐｅａｃｅ,06-7182-2110,06-7182-2110,大阪市北区（以下略）,株式会社ツインズ,7,2019/07/01
2729100061,ケアホーム　オアシス,06-6306-6840,06-6306-6898,大阪市淀川区（以下略）,株式会社ＲｅＧｒｏｗ,4,2019/07/01
2723100125,グループホーム　ぽえむ,06-6947-8881,06-6947-8883,大阪市旭区（以下略）,株式会社Ｈｅａｒｔ　ｆｕｌｌ　Ｈａｎｄ,4,2019/07/01
2725800359,喜連の郷,06-6760-6177,06-6760-6177,大阪市平野区（以下略）,シーケープランニング合同会社,14,2019/07/01
2722200272,ラ・ビスタ３丁目,06-4980-5660,,大阪市生野区（以下略）,一般社団法人ラ・ビスタ,4,2019/06/01
2722800071,グループホームｎｉｃｏ,06-6147-8997,06-6147-5773,大阪市此花区（以下略）,ＯＴＴＯ合同会社,4,2019/05/01
2723300147,グループホーム　ライン,06-6562-9494,06-6585-9498,大阪市西成区（以下略）,合同会社ライン,7,2019/05/01
