通し番号,事業所番号,コード,サービス種類,事業所名,郵便番号,所在市町,所在地,電話番号,FAX番号,指定年月日,法人(設置者)名
555,4120102779 ,33 ,共同生活援助,グループホームにこいち,849-0922,佐賀市,高木瀬東五丁目9番16,0952-48-0535,-,2019.10.1,一般社団法人　まんまる
553,4120200672 ,33 ,共同生活援助,グループホーム縁,847-0022,唐津市,鏡2266番地1,0955-58-8766,0955-58-8776,2019.9.1,株式会社　EDGE
551,4121400503 ,33 ,共同生活援助,ハートフルまんてん富岡２番館,843-0023,武雄市,武雄町大字富岡字山下11576-1,0954-33-1231,-,2019.7.1,株式会社　愛まんてん
552,4120102746 ,33 ,共同生活援助,COBYPLAN,840-0805,佐賀市,神野西二丁目1111-6,0952-27-4755,-,2019.7.1,一般社団法人　656
550,4121400495 ,33 ,共同生活援助,エル　シャンテ,843-0024,武雄市,武雄町大字富岡字向9841番地,0954-23-2811,-,2019.6.21,一般社団法人　シャンテ
549,4120560463 ,33 ,共同生活援助,グループホーム　ストリングス,841-0205,基山町,小倉字千夫306番地2,090-4216-0534,-,2019.6.20,特定非営利活動法人　らいふステージ
537,4120102720 ,33 ,共同生活援助,カンパネラ,840-0213,佐賀市,大和町久留間2354,0952-62-0720,0952-20-0431,2019.5.18,社会福祉法人　さくら会
436,4120102696 ,33 ,共同生活援助,グループホームかがやき木原,840-0015,佐賀市,木原3丁目46番1号,0952-97-6066,0952-97-6066,2019.5.1,株式会社　MLS
435,4121300497 ,33 ,共同生活援助,グループホームひまわり,849-4285,伊万里市,大坪町丙1211番地1,0955-22-2985,-,2019.4.1,社会福祉法人　国見の里
452,4120400090 ,33 ,共同生活援助,森荘,842-0031,吉野ヶ里町,吉田2006番地,0952-52-2537,-,2019.4.1,一般社団法人　森荘
450,4120102639 ,33 ,共同生活援助,わかば,849-0918,佐賀市,兵庫南2丁目16番16号,0952-29-1508,0952-28-6364,2019.4.1,一般社団法人　佐賀地区グループホーム
484,4120102597 ,33 ,共同生活援助,佐賀整肢学園・オークス　グループホームきらり,849-0906,佐賀市,金立町金立172番1,0952-98-2211,-,2019.4.1,社会福祉法人　佐賀整肢学園
526,4120102589 ,33 ,共同生活援助,グループホーム　にじのいえ,840-0051,佐賀市,田代二丁目4番5号,0952-24-1437,-,2019.4.1,社会福祉法人　レインボーハウス福祉会
505,4120102563 ,33 ,共同生活援助,グループホーム心和,840-0202,佐賀市,大和町大字久池井二本松1763番地3,0952-37-7537,0952-37-7532,2019.4.1,特定非営利活動法人　やまと共同作業所
438,4120102605 ,33 ,共同生活援助,グループホーム　蓮,840-0856,佐賀市,新生町4-30,0952-27-5855,-,2019.3.27,株式会社　ノーテンキ
464,4121400453 ,33 ,共同生活援助,ハートフルホーム　まんてん富岡,843-0023,武雄市,武雄町大字富岡字山下11576-2,0954-33-0201,-,2019.3.1,株式会社　愛まんてん
500,4120600301 ,33 ,共同生活援助,グループホームてんざん,845-0014,小城市,小城町晴気字徳武2033,0952-73-1318,-,2019.2.1,社会福祉法人　大空福祉会
458,4120102555 ,33 ,共同生活援助,プレイスヒル,849-0914,佐賀市,若楠二丁目8番1号,0952-32-5122,-,2019.2.1,有限会社　グローバルインフォメーション
480,4120102548 ,33 ,共同生活援助,さつき苑,840-0842,佐賀市,多布施一丁目6番55号,0952-28-5080,0952-28-5080,2019.2.1,一般社団法人　エクセル
502,4120102530 ,33 ,共同生活援助,グループホームたかきせ,849-0922,佐賀市,高木瀬東3丁目5番12号,0952-71-8370,-,2018.12.20,有限会社　フレンドリー
448,4120960333 ,33 ,共同生活援助,ワン・ハピネス,849-1204,白石町,大字坂田五本松篭251番1,0954-69-1520,-,2018.10.16,株式会社　森田
522,4120200649 ,33 ,共同生活援助,グループホーム　美,849-5131,唐津市,浜玉町横田下字吉田935番地5,0955-56-6903,-,2018.10.10,有限会社　とらやクリーニング
540,4121300463 ,33 ,共同生活援助,オリーブの樹,848-0023,伊万里市,大坪町丙1953番地4,0955-23-3224,-,2018.10.1,医療法人　博友会
499,4121700159 ,33 ,共同生活援助,グループホームピーノ,842-0052,神埼市,千代田町姉391番地1,0952-44-3611,0952-34-6322,2018.4.1,有限会社　みのり
524,4121300455 ,33 ,共同生活援助,グループホーム　ハーモニー,848-0041,伊万里市,新天町282番地2,0955-22-2128,-,2018.4.1,医療法人　山のサナーレ・クリニック
456,4121100715 ,33 ,共同生活援助,ほしぞら,841-0072,鳥栖市,村田町645-5,0942-89-2132,0942-89-2907,2018.4.1,医療法人社団　光風会
446,4120102423 ,33 ,共同生活援助,四つ葉荘,849-0937,佐賀市,鍋島3丁目3番20号,0952-36-9080,0952-36-9085,2018.4.1,社会福祉法人　ステップさが
509,4120102415 ,33 ,共同生活援助,グループホームあったか,849-0906,佐賀市,金立町大字金立172番1,0952-98-3771,-,2018.4.1,社会福祉法人　佐賀整肢学園
437,4120200615 ,33 ,共同生活援助,グループホーム　まつばら,847-0031,唐津市,原1043番地5,0955-77-3775,-,2018.1.1,株式会社　Climb
532,4121300448 ,33 ,共同生活援助,グループホーム向陽,848-0027,伊万里市,立花町2404番地123,0955-25-8005,-,2017.11.1,社会福祉法人　たちばな会
515,4121300422 ,33 ,共同生活援助,グループホームKITEN,848-0035,伊万里市,二里町大里乙403番地1,0955-25-8125,-,2017.11.1,社会福祉法人　東方会
467,4121100368 ,33 ,共同生活援助,てらす　やぶ,841-0055,鳥栖市,養父町28,0942-84-1211,0942-84-1211,2017.11.1,株式会社　てらす
487,4121100707 ,33 ,共同生活援助,ごうまちグリーンフィールド,841-0004,鳥栖市,神辺町字合町1578番地3,0942-81-0081,0942-81-3380,2017.9.1,一般社団法人　みどりの杜
478,4121100699 ,33 ,共同生活援助,スイングフェイス,841-0063,鳥栖市,下野町字五郎丸1974番地1,0942-83-7077,0942-83-7077,2017.7.1,特定非営利活動法人　スイングフェイス
451,4120102332 ,33 ,共同生活援助,リビエール,840-0913,佐賀市,大和町久池井3167-1,090-8666-3417,0952-62-0306,2017.6.1,一般財団法人　佐賀県手をつなぐ育成会
494,4120102324 ,33 ,共同生活援助,グループホームりんご,849-0906,佐賀市,金立町大字金立162番地7,0952-98-1533,-,2017.6.1,有限会社　フレンドリー
518,4120102316 ,33 ,共同生活援助,グループホームCOCORO,840-0051,佐賀市,田代2丁目4-18,0952-37-1326,0952-37-1326,2017.6.1,一般社団法人　ラミ・フルール
511,4121100657 ,33 ,共同生活援助,グループホームあさひ,841-0073,鳥栖市,"江島町字西谷3256番地727,728,729",0942-82-3473,-,2017.4.1,社会福祉法人　あさひ会
479,4121400396 ,33 ,共同生活援助,指定共同生活援助事業所　みふねの里,843-0232,武雄市,西川登町大字神六20116番地1,0954-20-6028,0954-28-3309,2017.1.6,社会福祉法人　誠和福祉会
465,4121400388 ,33 ,共同生活援助,ハートフルホーム　まんてん,843-0023,武雄市,武雄町大字昭和254,0954-33-0201,-,2017.1.6,株式会社　愛まんてん
528,4120800091 ,33 ,共同生活援助,グループホーム　楓,849-4141,有田町,二ﾉ瀬甲1048-1,0955-29-8206,0955-29-8207,2017.1.1,社会福祉法人　桑梓舎
445,4120800083 ,33 ,共同生活援助,指定共同生活援助事業所　青雲の里,844-0027,有田町,南原字西黒川甲931-27,0955-43-2650,-,2016.12.1,社会福祉法人　慈光会
514,4120600251 ,33 ,共同生活援助,グループホームRencon,845-0023,小城市,三日月町織島403-1,0952-37-0305,-,2016.12.1,一般社団法人　はすのは
470,4120102241 ,33 ,共同生活援助,たいわＣａｆé＆シェアハウス,840-0203,佐賀市,大和町大字梅野146-7,0952-65-5772,-,2016.12.1,一般社団法人　Kamin
501,4120960275 ,33 ,共同生活援助,グループホームちゅうりっぷの家,840-2201,江北町,大字山口1330,0952-20-2066,-,2016.11.1,特定非営利活動法人　ちゅうりっぷのうた
485,4120102175 ,33 ,共同生活援助,コンフォートながせ,840-0051,佐賀市,高木瀬町大字長瀬1168-1,0952-37-7078,0952-34-1024,2016.9.1,社会福祉法人　はる
534,4120102134 ,33 ,共同生活援助,楠の木ホーム,840-2201,佐賀市,川副町大字福富40番地4,0952-45-9003,-,2016.8.1,特定非営利活動法人　楠の木会
544,4120102126 ,33 ,共同生活援助,WE DO RECOVER,840-0851,佐賀市,天祐1丁目16番5号,0952-28-0121,-,2016.7.1,特定非営利活動法人　佐賀DARC
455,4120960259 ,33 ,共同生活援助,ほっとハウス,849-1221,白石町,大字新拓1481番地,0952-84-3310,0952-84-3310,2016.5.1,社会福祉法人　蓮花の会
492,4120560380 ,33 ,共同生活援助,クレア,849-0101,みやき町,大字原古賀6994番地1,0942-94-2144,-,2016.5.1,社会福祉法人　佐賀春光園
510,4121200192 ,33 ,共同生活援助,グループホームあさひ,846-0003,多久市,北多久町大字多久原2414番地1-1,0952-74-4602,-,2016.4.1,社会福祉法人　竹の里
498,4120600236 ,33 ,共同生活援助,グループホームふぁみりあ砂田,845-0002,小城市,小城町畑田763番地,0952-73-4527,-,2016.4.1,特定非営利活動法人　佐賀げんき会
497,4120960200 ,33 ,共同生活援助,グループホームふれあい,849-2102,大町町,大字福母2712-18,0952-37-6512,0952-37-6513,2016.3.15,特定非営利活動法人　ふれあい
439,4120560356 ,33 ,共同生活援助,グループホーム　弦,841-0204,基山町,宮浦1752-4,0942-92-1200,0942-92-1201,2016.2.1,特定非営利活動法人　らいふステージ
520,4120600210 ,33 ,共同生活援助,グループホーム「メイプル」,845-0032,小城市,三日月町金田1026-1,0952-97-8221,0952-97-8226,2015.10.15,特定非営利活動法人　聖凰会
531,4120200474 ,33 ,共同生活援助,グループホーム希望,847-0825,唐津市,見借4749-1,0955-58-9506,0955-58-9507,2015.10.8,株式会社　清華の森
516,4120102043 ,33 ,共同生活援助,グループホームhana,840-0851,佐賀市,天祐2丁目7番3号,0952-20-8030,0952-20-8031,2015.10.1,特定非営利活動法人　ジョブクリエイト
525,4121500294 ,33 ,共同生活援助,グループホーム パートナー,849-1314,鹿島市,山浦甲71番地,0954-62-3938,0954-62-3938,2015.7.1,株式会社　庄
546,4120101979 ,33 ,共同生活援助,OUR HOUSE,849-0936,佐賀市,鍋島町大字森田497番地3,070-5271-3113,-,2015.6.1,一般社団法人　mirai
508,4120101961 ,33 ,共同生活援助,グループホーム輝,840-0202,佐賀市,大和町大字久池井1384番地3,0952-62-8325,0952-62-1943,2015.6.1,社会福祉法人　聖母の騎士会
468,4120101938 ,33 ,共同生活援助,ディア・ライフ はーと・けあほーむ,840-0803,佐賀市,西田代2丁目5番43号,0952-98-0838,-,2015.3.6,株式会社　ディア・ライフ
530,4121300364 ,33 ,共同生活援助,グループホーム野に咲く花,848-0027,伊万里市,二里町大里甲2143-1,080-6468-4141,0955-35-4058,2015.2.13,株式会社　大空に大輪
503,4120560265 ,33 ,共同生活援助,グループホーム太陽の郷,840-1105,みやき町,大字寄人1924-4,0942-81-9091,0942-81-9092,2014.6.1,有限会社　太陽
507,4120560240 ,33 ,共同生活援助,グループホームコンチェルト,841-0201,基山町,小倉千代279番地3,0942-92-6705,0942-92-6708,2014.3.14,特定非営利活動法人　らいふステージ
512,4120101730 ,33 ,共同生活援助,グループホームあいちゃん,840-0051,佐賀市,田代2丁目3番30-2号,080-7947-4983,-,2014.3.1,一般社団法人　ミュー
495,4120101714 ,33 ,共同生活援助,グループホームメロン,849-0201,佐賀市,久保田町大字新田1343番地6,0952-51-3076,0952-51-3086,2013.12.1,社会福祉法人　さん愛
490,4121500229 ,33 ,共同生活援助,ケアホーム「鹿陽」ありおの丘・かんらんの丘,849-1311,鹿島市,大字高津原2629番地1,0954-63-1015,0954-68-0066,2013.6.1,特定非営利活動法人　鹿陽会
496,4120101649 ,33 ,共同生活援助,グループホームまごころ,840-2213,佐賀市,川副町大字鹿江1752番地9,0952-37-6608,0952-37-6609,2013.6.1,社会福祉法人　まごころ会
466,4120101607 ,33 ,共同生活援助,なでしこ佐賀,840-0027,佐賀市,本庄町大字本庄907番地,0952-26-1808,0952-26-1808,2013.4.1,合同会社　なでしこ佐賀
449,4121100475 ,33 ,共同生活援助,わかばホーム,841-0062,鳥栖市,幸津町1915番地9,0942-84-2004,0942-84-2004,2012.9.1,特定非営利活動法人　NPOわかば
475,4120101490 ,33 ,共同生活援助,スローLIFE安住,840-0052,佐賀市,今宿町13番地34,0952-24-4583,0952-24-4583,2012.9.1,特定非営利活動法人　スローLIFE
517,4121100467 ,33 ,共同生活援助,グループホームenjoy,841-0072,鳥栖市,村田町30-1サンライズ中島B-1,0942-50-8261,0942-50-8262,2012.7.1,株式会社　デンコー
529,4120101458 ,33 ,共同生活援助,グループホーム　あけぼの,849-0937,佐賀市,鍋島1丁目14番22号,0952-37-7848,0952-37-7848,2012.6.1,特定非営利活動法人　くすの木
527,4121400248 ,33 ,共同生活援助,グループホーム　しらさぎ,843-0022,武雄市,武雄町大字武雄4033番地1,0954-23-3188,0954-23-5798,2012.4.1,医療法人　浄心会
533,4121100392 ,33 ,共同生活援助,九千部寮,841-0071,鳥栖市,原古賀1307-3,0942-82-2214,0942-82-2214,2012.4.1,社会福祉法人　たちばな会
483,4121000063 ,33 ,共同生活援助,佐賀西部ホーム,849-1613,太良町,大字大浦丙35番地1,0954-68-8320,0954-68-8321,2012.4.1,社会福祉法人　佐賀西部コロニー
538,4120600129 ,33 ,共同生活援助,かるがもホーム小城,849-0302,小城市,畑田3244-3,0952-66-5121,0952-66-5121,2012.2.1,特定非営利活動法人　かるがも
474,4120101334 ,33 ,共同生活援助,スローLIFE風車（かざぐるま）,849-0937,佐賀市,鍋島5丁目10番33号,0952-65-4106,0952-31-1520,2012.2.1,特定非営利活動法人　スローLIFE
473,4121600144 ,33 ,共同生活援助,青雲荘,843-0301,嬉野市,嬉野町大字下宿乙1919番地,0954-43-0157,0954-43-3440,2011.4.1,医療法人財団　友朋会
457,4121500146 ,33 ,共同生活援助,ホームさわやか,849-1322,鹿島市,浜町甲3829番地9,0954-63-5283,0954-69-0283,2011.4.1,社会福祉法人　鹿爽会
469,4121400206 ,33 ,共同生活援助,つくしんぼ,849-2201,武雄市,北方町大字志久字高野3235番地2,0954-36-2553,0954-36-2282,2011.4.1,特定非営利活動法人　つくしのさと
519,4120560141 ,33 ,共同生活援助,グループホーム・ケアホーム風のつばさ,841-0203,基山町,園部412番地,0942-81-7814,-,2011.4.1,特定非営利活動法人　風のつばさ
535,4120101268 ,33 ,共同生活援助,金立寮,849-0906,佐賀市,金立町金立1945,0952-98-2694,0952-98-2694,2011.4.1,社会福祉法人　たちばな会
463,4120101193 ,33 ,共同生活援助,バイオレットハウス,840-0842,佐賀市,多布施4丁目7番19号,0952-65-4106,0952-31-1520,2011.4.1,特定非営利活動法人　スローLIFE
491,4120560091 ,33 ,共同生活援助,クローバー,849-0111,みやき町,大字白壁4385番地113,0942-94-3100,0942-94-3100,2010.10.1,特定非営利活動法人　earth color
543,4120101094 ,33 ,共同生活援助,愛ホーム,840-0201,佐賀市,大和町尼寺1309番地1,0952-62-3173,0952-62-3173,2010.4.1,特定非営利活動法人　愛ホーム
462,4120101086 ,33 ,共同生活援助,はなの木,840-2201,佐賀市,川副町大字福富869番地,0952-34-9088,0952-34-9095,2010.4.1,医療法人　樟風会
547,4120101078 ,33 ,共同生活援助,Ciente,840-0213,佐賀市,大和町大字久留間字行者2368番地1,0952-62-0720,0952-20-0431,2010.4.1,社会福祉法人　さくら会
513,4120101011 ,33 ,共同生活援助,グループホームあいうえお,840-0806,佐賀市,神園三丁目18番35号,0952-97-8006,0952-97-8006,2010.2.1,医療法人　杏仁会
459,4120100997 ,33 ,共同生活援助,福祉コミュニティエル,840-0201,佐賀市,大和町尼寺1585番地1,0952-62-8825,0952-62-8825,2009.12.1,特定非営利活動法人　福祉コミュニティエル
548,4121700126 ,33 ,共同生活援助,なのはな,842-0122,神埼市,神埼町城原1351-36,0952-29-7342,-,2009.4.1,一般財団法人　佐賀県手をつなぐ育成会
493,4121500120 ,33 ,共同生活援助,グループホーム鹿陽,849-1313,鹿島市,重ﾉ木乙3028番地6,0954-63-1015,-,2009.4.1,特定非営利活動法人　鹿陽会
521,4120200284 ,33 ,共同生活援助,グループホーム　我が家,847-0031,唐津市,原1043番地1,0955-80-7032,0955-80-7032,2009.4.1,特定非営利活動法人　睦
481,4120100971 ,33 ,共同生活援助,さくら,849-0911,佐賀市,兵庫町渕2815-9,0952-30-4736,0952-30-4736,2009.4.1,一般財団法人　佐賀県手をつなぐ育成会
536,4121300190 ,33 ,共同生活援助,共同生活介護事業所　楠風の里,849-4141,伊万里市,新天町長筬283番地2,0955-22-5772,0955-22-5772,2009.2.1,社会福祉法人　慈光会
489,4120100914 ,33 ,共同生活援助,グループホームBi-Bi,849-0934,佐賀市,開成2-10-39,0952-32-7065,0952-32-7065,2008.10.1,株式会社　クオリティサービス
506,4120100880 ,33 ,共同生活援助,グループホームじゅんゆう寮,840-0842,佐賀市,東佐賀町16-2,0952-28-4286,0952-20-9872,2008.8.1,特定非営利活動法人　市民生活支援センターふくしの家
441,4120100856 ,33 ,共同生活援助,田中ホーム,840-0006,佐賀市,巨勢町東西390番地,0952-97-0495,0952-97-0495,2008.5.1,有限会社　東西商店
523,4121200069 ,33 ,共同生活援助,グループホーム　ほのぼの,846-0002,多久市,北多久町大字小侍1301番地,0952-74-3085,0952-74-3085,2007.9.6,特定非営利活動法人　のんびらぁと
444,4121900015 ,33 ,共同生活援助,寺尾の里,849-4143,有田町,下山谷乙3574番地1,0955-46-3886,0955-46-3886,2007.4.1,有限会社　石橋ブロイラー
504,4120400025 ,33 ,共同生活援助,グループホームすずかけ荘,846-0003,多久市,北多久町多久原2528番地40,0952-75-2041,0952-75-2041,2007.4.1,医療法人社団　高仁会
482,4121700019 ,33 ,共同生活援助,さがんホーム,842-0035,吉野ヶ里町,田手1908-1,0952-97-5850,,2006.10.1,特定非営利活動法人　ふれあいネットサガンズ
453,4121600037 ,33 ,共同生活援助,みかざきハイツ,849-1423,嬉野市,塩田町大字谷所乙3929番地2,0954-66-4830,-,2006.10.1,社会福祉法人　たちばな会
486,4121600011 ,33 ,共同生活援助,このめホーム,843-0301,嬉野市,嬉野町大字下宿甲1512番地,0954-42-1380,0954-42-1395,2006.10.1,社会福祉法人　このめ会
476,4121400024 ,33 ,共同生活援助,すみよしの里指定共同生活介護・共同生活援助事業所,849-2304,武雄市,山内町大字大野7206番地1,0954-45-2156,0954-45-3754,2006.10.1,社会福祉法人　天童会
545,4121400016 ,33 ,共同生活援助,Warmly　ひだまり山荘,849-2305,武雄市,山内町大字宮野1888番地85,0954-20-7074,0954-20-7124,2006.10.1,社会福祉法人　正和福祉会
434,4121100079 ,33 ,共同生活援助,大木寮,841-0038,鳥栖市,古野町224-1,0942-83-6801,-,2006.10.1,特定非営利活動法人　アドバンス
542,4121100061 ,33 ,共同生活援助,あすなろホーム,841-0038,鳥栖市,古野町224-1,0942-82-9102,0942-83-4418,2006.10.1,特定非営利活動法人　アドバンス
440,4121100046 ,33 ,共同生活援助,藤ノ木ハウス,841-0048,鳥栖市,藤木町2189番地4,0942-84-0350,-,2006.10.1,社会福祉法人　西九福祉会
442,4121100038 ,33 ,共同生活援助,青葉ホーム山浦,841-0084,鳥栖市,山浦町1838番地2,0942-84-6504,0942-84-6477,2006.10.1,社会福祉法人　若楠
443,4120600020 ,33 ,共同生活援助,祥和寮,849-0305,小城市,牛津町上砥川2490番地,0952-66-0546,0952-66-1420,2006.10.1,一般財団法人　佐賀県手をつなぐ育成会
477,4120560026 ,33 ,共同生活援助,すえやす寮,849-0102,みやき町,簑原1460番地,0942-94-5182,0942-94-4652,2006.10.1,一般財団法人　佐賀県手をつなぐ育成会
447,4120200037 ,33 ,共同生活援助,共同生活ホームみずき,847-0111,唐津市,佐志石ヶ元2114番地3,0955-74-6758,0955-74-6758,2006.10.1,社会福祉法人　まつら会
541,4120200029 ,33 ,共同生活援助,あやめ荘,847-0033,唐津市,久里沼の上2404番地1,0955-78-2520,0955-78-1019,2006.10.1,社会福祉法人　あやめ会
472,4120100245 ,33 ,共同生活援助,それいゆ成人支援センター,849-0937,佐賀市,高木瀬町長瀬2503番地1,0952-36-6868,0952-36-6870,2006.10.1,特定非営利活動法人　それいゆ
454,4120100161 ,33 ,共同生活援助,マイハウス,840-0213,佐賀市,大和町大字久留間2614番地3,0952-51-2718,0952-51-2841,2006.10.1,社会福祉法人　西九福祉会
488,4120100153 ,33 ,共同生活援助,ケアホームかしの木,840-0202,佐賀市,大和町大字久池井1686番地5,0952-62-8325,0952-62-1943,2006.10.1,社会福祉法人　聖母の騎士会
461,4120100104 ,33 ,共同生活援助,ピースハイム金立,849-0905,佐賀市,金立町大字千布2351番地1,0952-98-1024,0952-98-1024,2006.10.1,社会福祉法人　めぐみ厚生センター
460,4120100088 ,33 ,共同生活援助,ひびきホーム,849-0922,佐賀市,高木瀬東1丁目5番19号,0952-32-7237,0952-97-9175,2006.10.1,社会福祉法人　スプリングひびき
539,4120100062 ,33 ,共同生活援助,かささぎホーム,849-0905,佐賀市,金立町大字千布4300番地1,0952-98-3226,0952-98-3226,2006.10.1,社会福祉法人　かささぎ福祉会
471,4120100021 ,33 ,共同生活援助,ソロモン寮,840-2102,佐賀市,諸富町徳富156-3,0952-47-6161,0952-47-6161,2006.10.1,一般財団法人　佐賀県手をつなぐ育成会
