,,所在地,名　称,郵便番号,住　所,電話番号,共同生活住居名称,事業者名称,"代表者職名",事業所番号,枝番,指定年月日,
,62,熊本市,グループホームロフティ日向,861-8006,熊本市龍田８丁目１８番３０号　１０５号室,0964-32-8522,グループホームロフティ日向Ⅱ,特定非営利法人　ジョブパートナー,理事長,4320101217,2,2011年4月8日,外部サービス利用型
,63,熊本市,ライフサポートセンター　アメニティ,861-8082,熊本市兎谷２丁目３番２０号,096-341-5800,アメニティ２０１,ＮＰＯ法人　まちくらネットワーク熊本,理事長,4320101332,1,2011年11月1日,介護サービス包括型
,64,熊本市,ライフサポートセンター　アメニティ,861-8082,熊本市兎谷２丁目３番２０号,096-341-5800,アメニティ３０１,ＮＰＯ法人　まちくらネットワーク熊本,理事長,4320101332,2,2011年11月1日,介護サービス包括型
,65,熊本市,ライフサポートセンター　アメニティ,861-8082,熊本市兎谷２丁目３番２０号,096-341-5800,LEAD,ＮＰＯ法人　まちくらネットワーク熊本,理事長,4320101332,3,2011年11月1日,介護サービス包括型
,66,熊本市,第二大江学園グループホーム事業所,862-0970,熊本市渡鹿八丁目１４番５５号,096-372-5252,とろくガーデン,社会福祉法人　肥後自活団,理事長,4320101530,1,2012年3月1日,介護サービス包括型
,67,熊本市,第二大江学園グループホーム事業所,862-0970,熊本市渡鹿八丁目１４番５５号,096-372-5252,とろくコテージ,社会福祉法人　肥後自活団,理事長,4320101530,2,2012年3月1日,介護サービス包括型
,68,熊本市,きらら,861-5347,熊本市河内町船津２７０９－９８,096-277-3055,きらら,社会福祉法人　明悠会,理事長,4320101621,1,2014年4月1日,介護サービス包括型
,69,熊本市,きらら,861-5347,熊本市河内町船津２７０９－９８,096-277-3055,海音,社会福祉法人　明悠会,理事長,4320101621,2,2014年4月1日,介護サービス包括型
,70,熊本市,熊本県コロニー協会グループホーム,860-0051,熊本市二本木三丁目１２番３７号,096-353-1291,きずな,社会福祉法人　熊本県コロニー協会,理事長,4320101639,1,2012年4月1日,外部サービス利用型
,71,熊本市,熊本県コロニー協会グループホーム,860-0051,熊本市二本木三丁目１２番３７号,096-353-1291,きずな野中,社会福祉法人　熊本県コロニー協会,理事長,4320101639,2,2012年4月1日,外部サービス利用型
,72,熊本市,熊本県コロニー協会グループホーム,860-0051,熊本市二本木三丁目１２番３７号,096-353-1291,きずな二本木,社会福祉法人　熊本県コロニー協会,理事長,4320101639,3,2012年4月1日,外部サービス利用型
,73,熊本市,グループホーム　ヴィエント,861-8045,熊本市小山１丁目３番３０号,0964-27-8252,グループホーム　ヴィエント　Ⅰ,ＮＰＯ法人　障がい者支援の会　いきいき,理事長,4320101654,1,2012年4月1日,外部サービス利用型
,74,熊本市,グループホーム すまいる１,861-4133,熊本市島町一丁目４番３号,096-311-3332,ケアホーム すまいる１,社会福祉法人 熊本市社会福祉事業団,理事長,4320101837,1,2014年4月1日,介護サービス包括型
,75,熊本市,グループホームしんせい,861-5273,熊本市西区沖新町３９９５番地４,096-329-6336,グループホームしんせい,社会福祉法人　新生会,理事長,4320102009,1,2013年4月1日,介護サービス包括型
,76,熊本市,グループホームしんせい,861-5273,熊本市西区沖新町３９９５番地４,096-329-6336,グループホームしんせいⅡ,社会福祉法人　新生会,理事長,4320102009,2,2013年4月1日,介護サービス包括型
,77,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな４０５,特定非営利活動法人　グループホームきづな,理事長,4320102041,1,2013年4月1日,外部サービス利用型
,78,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな４０６,特定非営利活動法人　グループホームきづな,理事長,4320102041,2,2013年4月1日,外部サービス利用型
,79,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな５０５,特定非営利活動法人　グループホームきづな,理事長,4320102041,3,2013年4月1日,外部サービス利用型
,80,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな５０６号,特定非営利活動法人　グループホームきづな,理事長,4320102041,4,2013年4月1日,外部サービス利用型
,81,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな３１０,特定非営利活動法人　グループホームきづな,理事長,4320102041,5,2013年4月1日,外部サービス利用型
,82,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな５１０,特定非営利活動法人　グループホームきづな,理事長,4320102041,6,2013年4月1日,外部サービス利用型
,83,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな６１０,特定非営利活動法人　グループホームきづな,理事長,4320102041,7,2013年4月1日,外部サービス利用型
,84,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな２１０,特定非営利活動法人　グループホームきづな,理事長,4320102041,8,2013年4月1日,外部サービス利用型
,85,熊本市,共同生活援助事業所　グループホームきづな,862-0976,熊本市中央区九品寺６丁目６番７９－４０５号,096-371-5175,グループホームきづな５０８,特定非営利活動法人　グループホームきづな,理事長,4320102041,9,2013年4月1日,外部サービス利用型
,86,熊本市,ねむの樹,861-8028,熊本市新南部３丁目７－４５,096-221-7003,ねむの樹①,一般社団法人　結井の郷,代表理事,4320102108,1,2013年5月1日,外部サービス利用型
,87,熊本市,ねむの樹,861-8028,熊本市新南部３丁目７－４５,096-221-7003,ねむの樹②,一般社団法人　結井の郷,代表理事,4320102108,3,2013年5月1日,外部サービス利用型
,88,熊本市北区,グループホームのはら荘,861-5503,熊本市北区明徳町字上市原１３０６番４,096-342-5131,グループホームのはら荘,有限会社　オー・エス収集センター,代表取締役,4320102116,1,2014年4月1日,外部サービス利用型
,89,熊本市西区,衆星,860-0082,熊本市西区池田二丁目２５番４５号,096-384-3336,衆星,一般社団法人　グランパ,代表理事,4320102124,1,2014年12月1日,外部サービス利用型
,90,熊本市中央区,ルミエール帯山,862-0924,熊本市中央区帯山五丁目３番９号,096-387-5717,ルミエール帯山,株式会社 B.Advance,代表取締役,4320102140,1,2015年10月1日,介護サービス包括型
,91,熊本市中央区,グループホームＤ．Ｐ,860-0831,熊本市中央区八王寺町14-34,096-378-5001,グループホームＤ．Ｐ,株式会社　Ｄ．Ｐワークサービス,代表取締役,4320102165,1,2016年3月1日,外部サービス利用型
,92,熊本市南区,シェアハウス　Ｇｏｎｄｏ,861-4117,熊本市南区護藤町１５８６番地４,096-342-6624,シェアハウス　Ｇｏｎｄｏ,社会福祉法人　上ノ郷福祉会,理事長,4320102173,1,2016年4月1日,介護サービス包括型
,93,熊本市南区,グループホーム　すまいる２,861-4133,熊本市南区薄場町二丁目１０番５３号,096-342-4430,グループホーム　すまいる２,社会福祉法人 熊本市社会福祉事業団,理事長,4320102207,1,2016年12月1日,介護サービス包括型
,94,熊本市中央区,グループホーム　リボーン,862-0956,熊本市中央区水前寺公園１６番２号,096-384-6151,グループホーム　リボーン,社会福祉法人　グリーンコープ,理事長,4320102215,1,2017年10月1日,介護サービス包括型
,95,熊本市中央区,グループホーム　リボーン,862-0956,熊本市中央区水前寺公園１６番２号,096-384-6151,グループホーム　リボーンⅡ,社会福祉法人　グリーンコープ,理事長,4320102215,2,2017年10月1日,介護サービス包括型
,96,熊本市西区,グループホーム　オリーブの家,860-0082,熊本市西区池田二丁目９番１号,096-342-4123,オリーブハウス,ＮＰＯ法人オリーブの家,理事長,4320102223,1,2017年12月1日,介護サービス包括型
,97,熊本市西区,グループホーム　オリーブの家,860-0082,熊本市西区池田二丁目９番１号,096-342-4123,オリーブハウス２,ＮＰＯ法人オリーブの家,理事長,4320102223,2,2017年12月1日,介護サービス包括型
,98,熊本市東区,グループホームひなた園,862-0918,熊本市東区花立六丁目３番７号,096-365-1600,グループホームひなた園花立,合同会社ひなた園,代表社員,4320102231,1,2018年9月1日,介護サービス包括型
,99,熊本市東区,グループホームひなた園,862-0918,熊本市東区花立六丁目３番７号,096-365-1600,グループホームひなた園月出,合同会社ひなた園,代表社員,4320102231,2,2018年9月1日,介護サービス包括型
,100,熊本市西区,障がい者ホームあゆみ,861-5271,熊本市西区中原町３７０番地１,096-273-6518,障がい者ホームあゆみ,ＮＰＯ法人　あゆみ,理事長,4320102249,1,2018年10月1日,介護サービス包括型
,101,熊本市中央区,共同生活援助　ここのわ,862-0941,熊本市中央区出水七丁目５６番１０号,096-288-6877,ここのわ,一般社団法人福幸会,代表理事,4320102256,1,2018年10月16日,外部サービス利用型
,102,熊本市中央区,共同生活援助　ここのわ,862-0941,熊本市中央区出水七丁目５６番１０号,096-288-6877,ここのわ２号館,一般社団法人福幸会,代表理事,4320102256,2,2018年10月16日,外部サービス利用型
,103,熊本市東区,グループホーム　コンパス,862-0914,熊本市東区山ノ内二丁目２番１１２号,09086244041,山ノ内Ⅰ,株式会社　パワー・オブ・スマイル,代表取締役,4320102264,1,2019年8月1日,介護サービス包括型
,104,熊本市東区,グループホーム　コンパス,862-0914,熊本市東区山ノ内二丁目２番１１２号,09086244041,山ノ内Ⅱ,株式会社　パワー・オブ・スマイル,代表取締役,4320102264,2,2019年8月1日,介護サービス包括型
,105,熊本市東区,グループホーム　コンパス,862-0914,熊本市東区山ノ内二丁目２番１１２号,09086244041,山ノ内Ⅲ,株式会社　パワー・オブ・スマイル,代表取締役,4320102264,3,2019年8月1日,介護サービス包括型
,106,熊本市東区,グループホーム　コンパス,862-0914,熊本市東区山ノ内二丁目２番１１２号,09086244041,高平Ⅰ,株式会社　パワー・オブ・スマイル,代表取締役,4320102264,4,2019年8月1日,介護サービス包括型
,107,熊本市中央区,グループホーム　ふとりねこ,860-0863,熊本市中央区坪井４丁目１番２７号コーポアルム１０１号,096-344-5539,グループホーム　ふとりねこ,ＮＰＯ法人　ＵＤくまもと,代表理事,4320102280,1,2020年4月1日,介護サービス包括型
,108,熊本市中央区,グループホーム　ふとりねこ,860-0863,熊本市中央区坪井４丁目１番２７号コーポアルム１０１号,096-344-5539,グループホーム　ふとりねこⅡ,ＮＰＯ法人　ＵＤくまもと,代表理事,4320102280,2,2020年4月1日,介護サービス包括型
,109,熊本市中央区,めぐみ一号館,860-0832,熊本市中央区萩原町１－３,096-378-4294,めぐみ一号館,社会福祉法人　恵熊会,理事長,4320102298,1,2020年4月1日,介護サービス包括型
,110,熊本市中央区,てらすハウス,860-0821,熊本市中央区本山一丁目７番５号メゾン本山１０１,096-285-9024,てらすハウス本山１,株式会社　Sinryou,代表取締役,4320102306,1,2020年5月1日,介護サービス包括型
,111,熊本市中央区,てらすハウス,860-0821,熊本市中央区本山一丁目７番５号メゾン本山１０１,096-285-9024,てらすハウス本山２,株式会社　Sinryou,代表取締役,4320102306,2,2020年5月1日,介護サービス包括型
,112,熊本市中央区,てらすハウス,860-0821,熊本市中央区本山一丁目７番５号メゾン本山１０１,096-285-9024,てらすハウス本山３,株式会社　Sinryou,代表取締役,4320102306,3,2020年5月1日,介護サービス包括型
,113,熊本市中央区,てらすハウス,860-0821,熊本市中央区本山一丁目７番５号メゾン本山１０１,096-285-9024,てらすハウス本山４,株式会社　Sinryou,代表取締役,4320102306,4,2020年5月1日,介護サービス包括型
,114,熊本市中央区,てらすハウス,860-0821,熊本市中央区本山一丁目７番５号メゾン本山１０１,096-285-9024,てらすハウス尾ノ上1,株式会社　Sinryou,代表取締役,4320102306,5,2020年5月1日,介護サービス包括型
,115,熊本市中央区,てらすハウス,860-0821,熊本市中央区本山一丁目７番５号メゾン本山１０１,096-285-9024,てらすハウス尾ノ上2,株式会社　Sinryou,代表取締役,4320102306,6,2020年5月1日,介護サービス包括型
,116,熊本市南区,イドコロ,861-4114,熊本市南区野田3丁目9番96号,096-200-9600,イドコロ,一般社団法人　優心会,代表理事,4320102314,1,2020年6月1日,介護サービス包括型
,117,熊本市中央区,グループホーム風月,860-0862,熊本市中央区黒髪６丁目２番１７号,096-346-0540,グループホーム風月,特定非営利活動法人　イルカの会,理事長,4320102322,1,2020年7月1日,介護サービス包括型
,118,熊本市中央区,グループホーム風月,860-0862,熊本市中央区黒髪６丁目２番１７号,096-346-0540,グループホーム風月３,特定非営利活動法人　イルカの会,理事長,4320102322,2,2020年7月1日,介護サービス包括型
,119,熊本市中央区,グループホーム『みらい』,860-0863,熊本市中央区坪井二丁目１番２９号,096-295-2828,グループホーム『みらい』,株式会社医療福祉エンジニアリング,代表取締役,4320102330,1,2020年10月1日,介護サービス包括型
,120,熊本市中央区,つみきホーム　しまさき,860-0073,熊本市中央区島崎一丁目１９番２７号２階,096-201-1566,つみきホーム　しまさき,株式会社　ハッピープランニング,代表取締役,4320102348,1,2020年10月1日,外部サービス利用型
,121,熊本市東区,エントリィはうす,862-0910,熊本市東区健軍本町２８番５０号ボヌールシャトー健軍２０１号,096-235-6229,エントリィはうす1,特定非営利活動法人くまもとライフボード,理事長,4320102355,1,2020年10月1日,介護サービス包括型
,122,熊本市東区,エントリィはうす,862-0910,熊本市東区健軍本町２８番５０号ボヌールシャトー健軍２０１号,096-235-6229,エントリィはうす2,特定非営利活動法人くまもとライフボード,理事長,4320102355,2,2020年10月1日,介護サービス包括型
,123,熊本市南区,共同生活援助　みのりホーム,861-5255,熊本市南区砂原町５４番地,096-288-3007,共同生活援助　みのりホーム,ＮＰＯ法人みのり,理事長,4320102363,1,2021年1月1日,介護サービス包括型
,124,熊本市中央区,グループホーム　轍,860-0863,熊本市中央区坪井一丁目７番６号,096-288-2385,グループホーム轍（坪井）,合同会社　轍,代表社員,4320102371,1,2021年1月1日,外部サービス利用型
,125,熊本市中央区,グループホーム　轍,860-0863,熊本市中央区坪井一丁目７番６号,096-288-2385,グループホーム轍（池田）,合同会社　轍,代表社員,4320102371,2,2021年1月1日,外部サービス利用型
,126,熊本市南区,星のいえ熊本,861-4203,熊本市南区城南町隈庄７４４番地２,047-458-1230,星のいえ熊本,ＦａｎｄＳ株式会社,代表取締役,4320102389,1,2021年2月1日,介護サービス包括型
,127,熊本市東区,メゾンくまポン,861-8019,熊本市東区下南部二丁目１８番２１号,0903070-9868,くまポン,株式会社　皇帝塩本舗,代表取締役,4320102397,1,2021年2月1日,介護サービス包括型
,128,熊本市東区,グループホーム　叶鈴,861-8039,熊本市東区長嶺南七丁目８番２８号クレールみなみたくま１０１号,096-273-8440,グループホーム叶鈴ルアナ1号,合同会社　ＰＯＮＯ　ＰＬＡＣＥ,代表社員,4320102405,1,2021年4月1日,介護サービス包括型
