事業所番号,事業所名,障害福祉サービスの種類,市町村番号,事業所郵便番号,事業所住所,電話番号,FAX番号,設置者,代表者職名,代表者氏名,設置者郵便番号,設置者住所,設置者電話番号,設置者FAX番号,指定年月日,有効期限,備考
02-2-02-0008-3,りんごの里「松森」,33共同生活援助（介護サービス包括型）,202弘前市,036-8184,弘前市大字松森町163,0172-55-8251,0172-32-3202,社会福祉法人　一葉会,理事長,長尾春夫,036-8082,弘前市大字福村字新舘添50-8,0172-28-0900,0172-28-2922,2012/05/01,2024/04/30,
02-2-02-0010-9,グループホームはるなの里「桜ヶ丘」,33共同生活援助（介護サービス包括型）,202弘前市,036-8241,弘前市大字桜ケ丘４丁目1-9,0172-88-6361,0172-88-3833,社会福祉法人　一葉会,理事長,長尾春夫,036-8082,弘前市大字福村字新舘添50-8,0172-28-0900,0172-28-2922,2016/04/01,2022/03/31,
02-2-02-0019-0,はるなの里「自由ヶ丘」,33共同生活援助（介護サービス包括型）,202弘前市,036-8266,弘前市大字自由ケ丘３丁目15-9,0172-32-3331,0172-31-0211,社会福祉法人　一葉会,理事長,長尾春夫,036-8082,弘前市大字福村字新舘添50-8,0172-28-0900,0172-28-2922,2007/04/01,2025/03/31,
02-2-02-0014-1,グループホーム櫻舞う郷,33共同生活援助（介護サービス包括型）,202弘前市,036-8095,弘前市大字城東３丁目5-1,0172-40-2770,0172-40-2771,株式会社　うぇるかむ,代表取締役,齋藤芳次,036-0145,平川市岩館藤巻81-2,0172-40-2770,0172-40-2771,2017/06/01,2023/05/31,
02-2-02-0015-8,グループホーム櫻舞う郷弘前石川,33共同生活援助（介護サービス包括型）,202弘前市,036-8124,弘前市大字石川字岸田13-2,0172-55-8701,0172-40-2771,株式会社　うぇるかむ,代表取締役,齋藤芳次,036-0145,平川市岩館藤巻81-2,0172-40-2770,0172-40-2771,2018/07/01,2024/06/30,
02-2-04-0015-4,ケアホームうるしかわ,33共同生活援助（介護サービス包括型）,205五所川原市,037-0017,五所川原市大字漆川字浅井122-1,0173-26-6570,0173-26-6571,社会福祉法人　内潟療護園,理事長,野上一幸,037-0308,北津軽郡中泊町大字深郷田字甘木120-2,0173-57-3100,0173-57-3102,2011/02/01,2023/01/31,
02-2-16-0003-4,株式会社エンジェルスグループホーム天使の家,33共同生活援助（外部サービス利用型）,208むつ市,035-0031,むつ市柳町４丁目2-13,0175-23-9700,0175-23-5396,株式会社　エンジェルス,代表取締役,菊池正光,035-0031,むつ市柳町４丁目3-3,0175-23-9700,0175-23-5396,2007/05/01,2025/04/30,
02-2-06-0006-8,ぱれっと,33共同生活援助（介護サービス包括型）,206十和田市,034-0301,十和田市大字奥瀬字下川目10-5,0176-74-1332,0176-74-1332,特定非営利活動法人　おいらせサポートハウスＫの家,理事長,服部知子,034-0301,十和田市大字奥瀬字下川目10-6,0176-27-0456,0176-27-0456,2013/10/01,2025/09/30,
02-2-12-0006-6,ＯＨＡＮＡ,33共同生活援助（介護サービス包括型）,445南部町,039-0612,三戸郡南部町剣吉字大坊10-12,0178-32-6926,0178-32-6926,一般社団法人　扇会,代表理事,佐々木正和,039-1111,八戸市東白山台３丁目2-6,0178-32-7844,0178-32-7844,2021/05/01,2027/04/30,
02-2-06-0003-5,グループホームひばり野・ケアホームぬくもり,33共同生活援助（介護サービス包括型）,206十和田市,034-0105,十和田市大字八斗沢字家ノ下311-1,0176-22-9313,0176-22-8577,社会福祉法人　恩和会,理事長,坂本清枝,034-0105,十和田市大字八斗沢字家ノ下310-1,0176-22-9313,0176-22-8577,2011/11/01,2023/10/31,
02-2-11-0004-3,ケアホームふきのとう,33共同生活援助（介護サービス包括型）,402七戸町,039-2526,上北郡七戸町字上町野131-3,0176-62-3161,0176-62-9990,上北地方教育・福祉事務組合,理事会理事長,小又　勉,039-2571,上北郡七戸町字蛇坂55-8,0176-62-5154,0176-62-9587,2012/04/01,2024/03/31,
02-2-11-0005-0,きぼう,33共同生活援助（外部サービス利用型）,402七戸町,039-2523,上北郡七戸町字影津内63-2,0176-56-5121,0176-56-5119,上北地方教育・福祉事務組合,理事会理事長,小又　勉,039-2571,上北郡七戸町字蛇坂55-8,0176-62-5154,0176-62-9587,2012/04/01,2024/03/31,
02-2-11-3005-7,あさひ荘,33共同生活援助（外部サービス利用型）,408東北町,039-2664,上北郡東北町字乙供125-1,0176-56-5121,0176-56-5119,上北地方教育・福祉事務組合,理事会理事長,小又　勉,039-2571,上北郡七戸町字蛇坂55-8,0176-62-5154,0176-62-9587,2006/10/01,2024/09/30,
02-2-11-0002-7,グループホームたんぽぽ,33共同生活援助（介護サービス包括型）,402七戸町,039-2531,上北郡七戸町字太田128-56,0176-60-8012,-,社会福祉法人　求道舎,理事長,小原義夫,039-2516,上北郡七戸町字舘野32-15,0176-62-3631,0176-62-3694,2009/02/01,2027/01/31,
02-2-10-3001-8,共同生活事業はばたけ寮,33共同生活援助（介護サービス包括型）,384鶴田町,038-3503,北津軽郡鶴田町大字鶴田字沖津194-3,0173-22-2929,0173-22-2929,社会福祉法人　共生会,理事長,三上孝生,038-3503,北津軽郡鶴田町大字鶴田字押上52,0173-23-1030,0173-23-1033,2006/10/01,2022/06/30,
02-2-06-0010-0,ライズハウス,33共同生活援助（外部サービス利用型）,206十和田市,034-0089,十和田市西二十三番町1-43,0176-51-5341,0176-51-5342,社会福祉法人　共生の杜,理事長,三浦親堂,034-0001,十和田市大字三本木字一本木沢103-8,0176-51-5341,0176-51-5342,2019/07/01,2025/06/30,
02-2-15-0004-4,喜望の家,33共同生活援助（介護サービス包括型）,207三沢市,033-0042,三沢市栄町３丁目140-589,0176-51-4187,0176-51-4187,合同会社　協和,代表社員,柴田浩喜,033-0041,三沢市大町３丁目9-30,080-3190-5645,050-1262-0810,2020/03/01,2026/02/28,
02-2-09-0001-3,玄輝門住宅Ａ,33共同生活援助（介護サービス包括型）,361藤崎町,038-3811,南津軽郡藤崎町大字中島字種元31-5,0172-75-9513,0172-75-9513,社会福祉法人　極光の会,理事長,成田和歌子,038-1216,南津軽郡藤崎町大字榊字植田33-1,0172-65-4187,0172-65-4193,2006/10/01,2023/08/31,
02-2-06-0002-7,グループホームあじさい館,33共同生活援助（介護サービス包括型）,206十和田市,034-0001,十和田市大字三本木字里ノ沢1-530,0176-24-2421,0176-24-2423,社会福祉法人　恵仁会,理事長,高松幸作,034-0001,十和田市大字三本木字里ノ沢1-62,0176-20-2822,0176-20-2823,2007/04/01,2025/03/31,
02-2-06-0008-4,グループホームつばき,33共同生活援助（介護サービス包括型）,206十和田市,034-0001,十和田市大字三本木字里ノ沢1-431,0176-58-7380,0176-58-7381,社会福祉法人　恵仁会,理事長,高松幸作,034-0001,十和田市大字三本木字里ノ沢1-62,0176-20-2822,0176-20-2823,2016/06/01,2022/05/31,
02-2-11-0003-5,グループホーム支援センターけやき,33共同生活援助（介護サービス包括型）,408東北町,039-2624,上北郡東北町字古屋敷45-1,0175-62-2484,0175-62-2485,社会福祉法人　恵徳会,理事長,沼山助直,039-2624,上北郡東北町字古屋敷45-1,0175-62-2484,0175-62-2485,2009/05/01,2027/04/30,
02-2-04-0011-3,みなと荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田町森田屏風山1-144,0173-26-2634,0173-49-7000,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2010/01/01,2021/12/31,
02-2-20-0003-6,グループホーム屏風荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田町森田月見野471-3,0173-26-2634,0173-49-7000,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2006/04/01,2024/09/30,
02-2-20-0004-4,さわやか荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田町森田月見野471-4,0173-26-4537,-,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2006/05/01,2024/09/30,
02-2-20-0006-9,グループホーム月見野荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田村森田月見野472,0173-26-5505,-,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2006/10/01,2024/09/30,
02-2-20-0007-7,グループホームたのし荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田町森田屏風山1-145,0173-26-2634,0173-49-7000,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2008/09/01,2026/08/31,
02-2-20-0011-9,グループホーム「きずな」,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田町森田屏風山1-147,0173-26-2634,0173-49-7000,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2006/10/01,2024/09/30,
02-2-20-0012-7,グループホーム駅前荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2815,つがる市森田町山田村雲19-1,0173-26-2634,0173-49-7000,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2007/04/01,2025/03/31,
02-2-20-0013-5,グループホームふくし荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田町森田屏風山1-1,0173-26-2634,0173-49-7000,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2007/04/01,2025/03/31,
02-2-20-0014-3,第２もりた荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田町森田月見野8-1,0173-26-2703,-,社会福祉法人　健誠会,理事長,瓜田育男,038-2816,つがる市森田町森田月見野473-2,0173-26-2634,0173-49-7000,2013/09/01,2025/08/31,
02-2-17-0001-6,せせらぎの里　きざくら,33共同生活援助（介護サービス包括型）,405六戸町,033-0074,上北郡六戸町小松ケ丘３丁目77-913,0176-58-5375,0176-58-5376,有限会社　コマイ,代表取締役,駒井光広,033-0022,三沢市大字三沢字堀口164-121,0176-53-8860,0176-53-8903,2013/08/01,2025/07/31,
02-2-09-0004-7,共同生活援助駒のまほろば,33共同生活援助（介護サービス包括型）,362大鰐町,038-0211,南津軽郡大鰐町大字大鰐字前田35-8,0172-55-6866,0172-55-6866,株式会社　駒のまほろば,代表取締役,渡邊敏博,038-0233,南津軽郡大鰐町大字居土字宮本49-4,0172-55-6866,0172-55-6866,2015/04/01,2027/03/31,
02-2-02-0027-3,グループホームアンサンブル,33共同生活援助（日中サービス支援型）,202弘前市,036-1501,弘前市大字湯口字一ノ細川81-25,0172-84-2055,0172-84-2117,有限会社　さいとう重機,代表取締役,熊谷一成,017-0203,鹿角郡小坂町大字上向字子坂3-2,0186-29-2869,0186-29-2718,2020/10/01,2026/09/30,
02-2-12-0005-8,サポートセンターみらい,33共同生活援助（介護サービス包括型）,442五戸町,039-1701,三戸郡五戸町大字倉石石沢字石沢72-1,0178-38-3900,0178-38-3903,社会福祉法人　サポートセンター虹,理事長,湖東正美,039-1101,八戸市大字尻内町字鴨ヶ池117-1,0178-70-1360,0178-70-1361,2019/04/01,2025/03/31,
02-2-11-0006-8,サンライズ・ケア　サービス,33共同生活援助（外部サービス利用型）,408東北町,039-2407,上北郡東北町旭南３丁目296-2,0176-58-1551,0176-58-1060,株式会社　サンライズ,代表取締役,加藤直樹,039-2407,上北郡東北町旭南３丁目296-2,0176-56-5829,0176-58-1060,2012/06/01,2024/05/31,
02-2-04-0007-1,ケアホーム静荘２,33共同生活援助（介護サービス包括型）,205五所川原市,037-0033,五所川原市鎌谷町146-5,0173-33-8323,0173-33-8323,有限会社　サンライズ,取締役,福士浩子,037-0015,五所川原市大字姥萢字桜木255,0173-34-8701,0173-34-8705,2006/10/01,2024/09/30,
02-2-04-0016-2,ケアホームひなた１,33共同生活援助（介護サービス包括型）,205五所川原市,037-0035,五所川原市大字湊字船越311-1,0173-33-8322,0173-33-8323,有限会社　サンライズ,取締役,福士浩子,037-0015,五所川原市大字姥萢字桜木255,0173-34-8701,0173-34-8705,2011/08/01,2023/07/31,
02-2-04-0017-0,ケアホームひなた２,33共同生活援助（介護サービス包括型）,205五所川原市,037-0035,五所川原市大字湊字船越311-1,0173-33-8323,0173-33-8323,有限会社　サンライズ,取締役,福士浩子,037-0015,五所川原市大字姥萢字桜木255,0173-34-8701,0173-34-8705,2011/08/01,2023/07/31,
02-2-11-3004-0,グループホーム卯の花,33共同生活援助（外部サービス利用型）,402七戸町,039-2516,上北郡七戸町字舘野32-163,0176-60-1377,0176-60-1378,社会福祉法人　七戸福祉会,理事長,藤田泰規,039-2514,上北郡七戸町字太田野19-4,0176-62-5200,0176-62-5219,2006/10/01,2024/09/30,
02-2-02-0013-3,拓光園共同生活援助事業所アバンセ,33共同生活援助（介護サービス包括型）,202弘前市,036-1343,弘前市大字百沢字東岩木山2628,0172-96-2331,0172-96-2332,社会福祉法人　七峰会,理事長,大平和夫,036-8356,弘前市大字下白銀町21-8,0172-33-8861,0172-33-8862,2006/10/01,2024/09/30,
02-2-02-0018-2,津軽生活支援センター,33共同生活援助（介護サービス包括型）,202弘前市,036-1321,弘前市大字熊嶋字亀田183-1,0172-82-4520,0172-82-5544,社会福祉法人　七峰会,理事長,大平和夫,036-8356,弘前市大字下白銀町21-8,0172-33-8861,0172-33-8862,2006/10/01,2024/09/30,
02-2-05-0001-1,山郷館くろいし　共同生活援助,33共同生活援助（介護サービス包括型）,204黒石市,036-0383,黒石市緑町３丁目16-16,0172-53-2344,0172-88-5018,社会福祉法人　七峰会,理事長,大平和夫,036-8356,弘前市大字下白銀町21-8,0172-33-8861,0172-33-8862,2010/09/20,2022/09/19,
02-2-04-0013-9,グループホームメイ,33共同生活援助（介護サービス包括型）,205五所川原市,037-0202,五所川原市金木町芦野200-995,0173-52-3355,0173-52-3355,有限会社　修清,代表取締役,工藤清子,037-0305,北津軽郡中泊町大字中里字宝森291-3,0173-69-1195,0173-69-1197,2010/04/01,2023/12/31,
02-2-04-0021-2,グループホーム夢の森　かなぎ,33共同生活援助（介護サービス包括型）,205五所川原市,037-0202,五所川原市金木町芦野200-122,0173-26-7632,0173-26-7633,有限会社　修清,代表取締役,工藤清子,037-0305,北津軽郡中泊町大字中里字宝森291-3,0173-69-1195,0173-69-1197,2013/10/01,2025/09/30,
02-2-10-0002-9,グループホーム夢の森,33共同生活援助（介護サービス包括型）,387中泊町,037-0311,北津軽郡中泊町大字大沢内字海原213-2,0173-57-5151,0173-57-5151,有限会社　修清,代表取締役,工藤清子,037-0305,北津軽郡中泊町大字中里字宝森291-3,0173-69-1195,0173-69-1197,2007/05/01,2021/12/31,
02-2-15-0001-0,おおぞら,33共同生活援助（介護サービス包括型）,207三沢市,033-0153,三沢市泉町１丁目117-106,0176-57-0064,,特定非営利活動法人　障害者地域生活支援センターぴあ,理事長,髙橋　等,039-1111,八戸市東白山台３丁目21-25,0178-27-6578,0178-27-6578,2006/10/01,2024/09/30,
02-2-17-5001-1,すみれハイツ,33共同生活援助（介護サービス包括型）,412おいらせ町,039-2173,上北郡おいらせ町瓢163-27,0178-56-4100,,社会福祉法人　昭壽会,理事長,寺澤昭二,039-2184,上北郡おいらせ町浜道133-3,0178-56-2676,0178-56-2619,2006/10/01,2024/09/30,
02-2-18-0001-4,共同生活介護・援助事業所かけはし,33共同生活援助（介護サービス包括型）,411六ヶ所村,039-3212,上北郡六ヶ所村大字尾鮫字猿子沢2-135,0175-72-4700,0175-72-4701,社会福祉法人　松緑福祉会,理事長,木村廣正,039-3211,上北郡六ヶ所村大字出戸字棚沢130-23,0175-72-4700,0175-72-4701,2009/04/01,2027/03/31,
02-2-02-0022-4,障害者ケアホームらぽーる宮園,33共同生活援助（介護サービス包括型）,202弘前市,036-8063,弘前市大字宮園３丁目2-54,0172-38-7630,0172-38-7630,社会福祉法人　伸康会,理事長,蒔苗俊二,036-8381,弘前市大字独狐字石田121-1,0172-95-3981,0172-95-3982,2019/04/01,2025/03/31,休止(2021/01/11～)
02-2-02-0024-0,障害者ケアホームらぽーる石渡,33共同生活援助（介護サービス包括型）,202弘前市,036-8316,弘前市大字石渡４丁目13-7,0172-32-2317,0172-32-2318,社会福祉法人　伸康会,理事長,蒔苗俊二,036-8381,弘前市大字独狐字石田121-1,0172-95-3981,0172-95-3982,2019/10/01,2025/09/30,
02-2-20-0015-0,グループホームやすらぎ荘,33共同生活援助（介護サービス包括型）,209つがる市,038-2816,つがる市森田町森田月見野475-7,0173-49-7777,0173-49-7777,合同会社　心友,代表社員,山﨑さかえ,038-2816,つがる市森田町森田月見野475-7,0173-49-7777,0173-49-7777,2017/01/01,2022/12/31,
02-2-12-0002-5,共同生活ホーム移山寮,33共同生活援助（介護サービス包括型）,442五戸町,039-1545,三戸郡五戸町字正場沢長根20-1,0178-62-6500,0178-62-4996,社会福祉法人　生活・文化研究所,理事長,大西一男,039-1545,三戸郡五戸町字正場沢長根8-1,0178-62-6500,0178-62-4996,2006/10/01,2024/09/30,
02-2-02-0007-5,さくら寮,33共同生活援助（介護サービス包括型）,202弘前市,036-8381,弘前市大字独狐字山辺197-1,0172-95-3434,0172-95-3477,社会福祉法人　聖康会,理事長,小田桐匡希,036-8381,弘前市大字独狐字山辺183,0172-95-3434,0172-95-3477,2012/02/01,2024/01/31,
02-2-02-0012-5,さくら草,33共同生活援助（介護サービス包括型）,202弘前市,036-8381,弘前市大字独狐字山辺183,0172-88-6550,0172-95-3477,社会福祉法人　聖康会,理事長,小田桐匡希,036-8381,弘前市大字独狐字山辺183,0172-95-3434,0172-95-3477,2016/04/01,2022/03/31,
02-2-12-0001-7,ケアホーム清岳園,33共同生活援助（介護サービス包括型）,445南部町,039-0503,三戸郡南部町大字平字広場21-4,0178-32-6155,0178-32-6779,社会福祉法人　清慈会,理事長,工藤清太郎,031-0813,八戸市大字新井田字松山下野場7-15,0178-76-2467,0178-76-3227,2006/10/01,2024/09/30,
02-2-04-0019-6,共同生活事業所　ラ・プリマベラ,33共同生活援助（介護サービス包括型）,205五所川原市,037-0085,五所川原市字芭蕉48-2,0173-38-1331,0173-38-1333,医療法人社団　清泉会,理事長,布施　泉,037-0085,五所川原市字芭蕉18-4,0173-35-3470,0173-35-6419,2012/04/01,2024/03/31,
02-2-20-0008-5,グループホーム太陽の家,33共同生活援助（外部サービス利用型）,209つがる市,038-2818,つがる市森田町大館千歳10-4,0173-26-2349,0173-26-2349,西北五広域福祉事務組合,管理者,倉光弘昭,038-2817,つがる市森田町床舞字鶴喰104-2,0173-26-3100,0173-26-2396,2006/10/01,2024/09/30,
02-2-15-0002-8,木崎野の家,33共同生活援助（外部サービス利用型）,207三沢市,033-0042,三沢市栄町３丁目140-621,0176-27-6246,,社会福祉法人　誠友会,理事長,苫米地義之,039-2151,上北郡おいらせ町向山東２丁目2-1263,0178-56-4131,0178-56-2608,2009/08/01,2027/07/31,
02-2-06-0005-0,ケアホーム・雑木林,33共同生活援助（介護サービス包括型）,206十和田市,034-0071,十和田市大字赤沼字前川原269-1,0176-22-9612,0176-22-9612,特定非営利活動法人　雑木林,理事長,成重良恵,034-0071,十和田市大字赤沼字前川原47,0176-22-9612,0176-22-9612,2012/09/01,2024/08/31,
02-2-09-3002-8,さくら荘,33共同生活援助（外部サービス利用型）,362大鰐町,038-0201,南津軽郡大鰐町大字苦木字野尻172-5,0172-48-3134,0172-48-4488,社会福祉法人　素樸会,理事長,櫻田　高,038-0201,南津軽郡大鰐町苦木字野尻170-1,0172-48-3134,0172-48-4488,2006/10/01,2024/09/30,
02-2-07-0004-1,外ヶ浜花ＮＥＴ,33共同生活援助（介護サービス包括型）,307外ヶ浜町,030-1411,東津軽郡外ヶ浜町字平舘根岸小川20-1,0174-25-2898,0174-25-3212,社会福祉法人　平舘福祉会,理事長,永澤公光,030-1411,東津軽郡外ヶ浜町字平舘根岸小川20-1,0174-25-3211,0174-25-3212,2006/10/01,2024/09/30,
02-2-04-0008-9,クローバーハウス,33共同生活援助（介護サービス包括型）,205五所川原市,037-0016,五所川原市一ツ谷505-3,0173-26-7101,0173-26-7102,社会福祉法人　拓心会,理事長,島村美由紀,037-0012,五所川原市大字水野尾字懸樋222-3,0173-26-6564,0173-26-6569,2007/04/01,2025/03/31,
02-2-04-0014-7,メゾネット・コパン,33共同生活援助（介護サービス包括型）,205五所川原市,037-0053,五所川原市布屋町9-3,0173-33-8292,0173-33-8292,社会福祉法人　拓心会,理事長,島村美由紀,037-0012,五所川原市大字水野尾字懸樋222-3,0173-26-6564,0173-26-6569,2010/12/01,2022/11/30,
