番号,圏域,事業所番号,ｻｰﾋﾞｽ種類,事業所名,事業所郵便番号,事業所所在地1,事業所所在地2,事業所所在地3,事業所電話,指定後状態名,指定年月日
35,県南,0722830312,共同生活援助,共同生活援助事業所コラボ,9690203,福島県西白河郡矢吹町,北浦６３番地,,0248-21-5967,提供中,2015/6/1
48,会津,0720200708,共同生活援助,グループホームＴＯＭＯ,9693471,福島県会津若松市,河東町広田字沢目56番地,,0242-23-8517,提供中,2015/4/1
4,県北,0721301281,共同生活援助,掛田ホーム,9600600,福島県伊達市,霊山町掛田字辻向38,,024-577-2231,提供中,2014/5/1
77,相双,0720900224,共同生活援助,共同生活援助事業所プチトマト,9760042,福島県相馬市,中村字新町191番地,,0244-26-7281,提供中,2014/5/1
8,県北,0721400083,共同生活援助,サンハイツ葭ケ入　Ⅱ,9691145,福島県本宮市,本宮葭ヶ入４７－２,,0243-33-6181,提供中,2014/4/1
12,県北,0722120029,共同生活援助,まきびとホームあだたら,9691302,福島県安達郡大玉村,玉井字北東町１２２－１　北東壱番館内,,0243-48-4600,提供中,2014/4/1
47,会津,0720200617,共同生活援助,グループホーム　マミヤ,9650102,福島県会津若松市,真宮新町北２丁目６－３,,0242-58-2422,提供中,2013/11/13
66,会津,0720800192,共同生活援助,グループホームフォルテ,9660066,福島県喜多方市,字宮西2570,,0241-23-7170,提供中,2013/11/8
46,会津,0720200559,共同生活援助,ネバーランド,9650844,福島県会津若松市,門田町大字一ノ堰字村西686番地18,,0242-85-8091,提供中,2013/5/1
17,県中,0720700418,共同生活援助,サザーンホーム,9620403,福島県須賀川市,滑川字西山78,,0248-76-6062,提供中,2013/4/1
45,会津,0720200526,共同生活援助,青木ホーム,9650824,福島県会津若松市,北青木2番3号,,0242-23-7503,提供中,2013/1/10
65,会津,0720800184,共同生活援助,ふきのとう,9660931,福島県喜多方市,上三宮町上三宮字東川原3418-73,,0241-21-1066,提供中,2012/11/13
22,県中,0721100204,共同生活援助,優の里,9634435,福島県田村市,船引町大倉字伊後田193番地8,,090-36494301,提供中,2012/5/23
16,県中,0720700384,共同生活援助,パインフォレスト,9620403,福島県須賀川市,滑川字池田９１,,0248-73-4182,提供中,2012/4/1
27,県南,0720500206,共同生活援助,福祉ホームひもろぎの園,9610021,福島県白河市,関辺引目橋34-6,,0248-21-0211,提供中,2012/4/1
64,会津,0720800176,共同生活援助,ここぺり　ひだまり,9694122,福島県喜多方市,山都町木曽512番地,,0241-38-3610,提供中,2012/4/1
63,会津,0720800150,共同生活援助,グループホームさざんか,9660902,福島県喜多方市,松山町村松字上川原3392-10,,0241-22-0222,提供中,2011/10/1
21,県中,0721100188,共同生活援助,さくら荘船引,9634300,福島県田村市,船引町船引字安久津１２６,,080-60368825,提供中,2011/4/1
32,県南,0722830197,共同生活援助,共同生活住居こころん,9690101,福島県西白河郡泉崎村,泉崎字下根岸３５－１,,0248-54-1115,提供中,2011/4/1
76,南会津,0722330099,共同生活援助,グループホーム・パンプキン,9670005,福島県南会津郡南会津町,中荒井,西原47番地,0241-62-6211,提供中,2011/4/1
71,会津,0722620069,共同生活援助,ホームこころ,9696576,福島県河沼郡会津坂下町,牛川字寿ノ宮1530番地1,,0242-83-3323,提供中,2011/3/15
68,会津,0722530078,共同生活援助,グループホーム西原寮,9694402,福島県耶麻郡西会津町,尾野本字西原甲364番地　30号棟,,0241-45-2664,提供中,2011/3/1
73,会津,0722730116,共同生活援助,ティンカーベルの森,9696115,福島県大沼郡会津美里町,新町333番地　星の子ハイツ,,0242-93-9357,提供中,2010/12/1
86,相双,0723250148,共同生活援助,障害者指定共同生活援助施設　そよ風,9791308,福島県双葉郡大熊町,下野上字原１２７－５,,0240-32-7170,休止,2010/7/12
62,会津,0720800101,共同生活援助,あさひ荘,9660931,福島県喜多方市,上三宮町上三宮字東川原３４１８－７４,,0241-21-1066,提供中,2009/8/20
44,会津,0720200385,共同生活援助,グループホーム「ＣＨＡＮＴ」,9650855,福島県会津若松市,住吉町17-6,,0242-85-6353,提供中,2009/5/1
43,会津,0720200336,共同生活援助,グループホームすまいる,9650009,福島県会津若松市,八角町5番4号,,0242-24-3704,提供中,2008/7/1
10,県北,0722020039,共同生活援助,障がい者グループホーム・ハイジ,9691627,福島県伊達郡桑折町,諏訪３－１,,024-582-3111,提供中,2008/4/1
42,会津,0720200328,共同生活援助,ココ,9650843,福島県会津若松市,門田町大字徳久字竹之元５６５－１,,0242-27-2365,提供中,2008/4/1
61,会津,0720800093,共同生活援助,あけぼの荘,9660901,福島県喜多方市,松山町鳥見山字柳原道下４９６１－１,,0241-21-1066,提供中,2008/4/1
26,県南,0720500115,共同生活援助,すまい・る　遊遊,9610416,福島県白河市,表郷金山字竹ノ内53番地,,0248-32-4478,提供中,2008/1/1
70,会津,0722530052,共同生活援助,ＢＯＳＣＯＨＯＭＥ,9693123,福島県耶麻郡猪苗代町,大字城南１４２－１,,0242-62-5223,提供中,2007/4/1
3,県北,0721300028,共同生活援助,伊達ホーム,9600463,福島県伊達市,田町４１－３,,024-583-5765,提供中,2006/11/1
74,南会津,0722330016,共同生活援助,すみれ荘,9695206,福島県南会津郡下郷町,湯野上字居平836-3-2,,0241-68-3633,提供中,2006/11/1
80,相双,0721200038,共同生活援助,いやしの家,9792334,福島県南相馬市,鹿島区西町２－２,,0244-46-2527,提供中,2006/11/1
1,県北,0721000024,共同生活援助,グループホームおおすぎ,9640314,福島県二本松市,西勝田字山下２－１,,0243-55-3213,提供中,2006/10/1
7,県北,0721400018,共同生活援助,グループホームまゆみ,9691145,福島県本宮市,本宮葭ヶ入48　サンハイツ葭ケ入206号,,0243-33-2588,提供中,2006/10/1
13,県中,0720700020,共同生活援助,グループホームヴィレッジ,9620825,福島県須賀川市,大字和田字六軒１８９番地,,0248-72-7505,提供中,2006/10/1
14,県中,0720700038,共同生活援助,コーポラスいちの,9620727,福島県須賀川市,小作田字西舘８７番地,,0248-79-3009,提供中,2006/10/1
15,県中,0720700053,共同生活援助,まきびとホームすかがわ,9620853,福島県須賀川市,前川１９番地,,0248-76-4155,提供中,2006/10/1
23,県中,0723200028,共同生活援助,グループホーム富岡事業所,9634312,福島県田村市,船引町船引字屋頭清水２０４番地,,0247-82-6945,提供中,2006/10/1
25,県中,0723000014,共同生活援助,グループホームフロンティア２１,9637847,福島県石川郡石川町,字古舘３３７番地,,0247-26-0081,提供中,2006/10/1
30,県南,0722800018,共同生活援助,茗荷寮,9618061,福島県西白河郡西郷村,大字小田倉字上野原164番地5,,0248-25-5409,提供中,2006/10/1
31,県南,0722800026,共同生活援助,共同生活事業所にしごう,9618061,福島県西白河郡西郷村,大字小田倉字上上野原１５０,,0248-25-3105,提供中,2006/10/1
33,県南,0722800034,共同生活援助,共同生活事業所やぶき,9690222,福島県西白河郡矢吹町,八幡町565-1,,0248-42-2012,提供中,2006/10/1
34,県南,0722830023,共同生活援助,医療法人櫻仁会グループホーム,9690271,福島県西白河郡矢吹町,小松349,,0248-44-5405,提供中,2006/10/1
36,県南,0722900016,共同生活援助,福祉ホーム・ウッドピアはなわ,9635405,福島県東白川郡塙町,大字塙字材木町12,,0247-43-2160,提供中,2006/10/1
38,会津,0720200013,共同生活援助,コーポふるたて,9696188,福島県会津若松市,北会津町東小松字北古川５５－３,,0242-56-5525,提供中,2006/10/1
39,会津,0720200021,共同生活援助,あいづ寮,9650822,福島県会津若松市,花見ケ丘1丁目１２－８,,0242-29-1334,提供中,2006/10/1
40,会津,0720200039,共同生活援助,なの花ホーム,9650037,福島県会津若松市,中央三丁目３番１４号,,0242-24-8260,提供中,2006/10/1
41,会津,0720200054,共同生活援助,むつみ寮,9650031,福島県会津若松市,相生町5番31号,,0242-23-7466,提供中,2006/10/1
58,会津,0722600012,共同生活援助,木の実寮,9650005,福島県会津若松市,一箕町大字亀賀字藤原２５８番地４,,0242-24-6554,提供中,2006/10/1
59,会津,0720800010,共同生活援助,さつき荘,9660901,福島県喜多方市,松山町鳥見山字街道西５０１５－１０５,,0241-21-1066,提供中,2006/10/1
60,会津,0720800028,共同生活援助,こぶし荘,9660901,福島県喜多方市,松山町鳥見山字上堰下４９１１－９,,0241-21-1066,提供中,2006/10/1
69,会津,0722530011,共同生活援助,共同生活事業所いなわしろ,9693121,福島県耶麻郡猪苗代町,芦原６５－２,,0242-65-2711,提供中,2006/10/1
81,相双,0721200046,共同生活援助,グループホーム原町事業所,9750032,福島県南相馬市,原町区桜井町一丁目７７番地２号,,0244-24-3553,提供中,2006/10/1
82,相双,0721200053,共同生活援助,なごみの里,9750013,福島県南相馬市,原町区上町２－７４－３,,0244-23-4166,提供中,2006/10/1
84,相双,0723200010,共同生活援助,サポートセンターゆうあい,9790406,福島県双葉郡広野町,大字浅見川字大谷内１０６番地,,0240-23-6233,提供中,2006/7/1
