事業所番号,ｻｰﾋﾞｽ種類,事業所名,事業所郵便番号,事業所所在地1,事業所所在地2,事業所所在地3,事業所電話,事業所FAX,指定後状態名,指定年月日,法人種別名,法人(設置者)名,法人(設置者)所在地1,法人(設置者)所在地2,法人(設置者)所在地3,利用定員,施設等の区分
0120301635,共同生活援助,ベース,0650027,北海道札幌市東区,北二十七条東１７丁目１－１６,,011-792-1997,011-792-1997,提供中,2021/10/1,営利法人,合同会社札幌ベース,北海道札幌市豊平区,美園三条４丁目１－１－１００,,8,外部サービス利用型
0120204763,共同生活援助,アンリーホーム,0010045,北海道札幌市北区,麻生町６丁目５－１３,ロジェ麻生,011-214-0918,011-214-0964,提供中,2021/10/1,営利法人,合同会社アンリーホーム,北海道札幌市北区,麻生町６丁目５－１３,ロジェ麻生,4,介護サービス包括型
0121100739,共同生活援助,グループホームエミット,0660047,北海道千歳市,本町１丁目７番１号,アーバンポイント千歳,0123-25-8837,0123-25-8837,提供中,2021/9/15,社団・財団,一般社団法人深山福祉会,北海道札幌市中央区,南二条西１丁目２番１号,,4,介護サービス包括型
0126100437,共同生活援助,ホープ,0680808,北海道岩見沢市,南町八条２丁目３番１７号,,0126-35-4444,0126-35-4464,提供中,2021/9/1,営利法人,株式会社アクシズ,北海道美唄市,大通西一条南３丁目１番３号,就労継続支援B型ジパング内,4,介護サービス包括型
0122909237,共同生活援助,共同生活援助グループホーム　りっく,0798402,北海道旭川市,秋月２条２丁目１０番２号,,0166-74-3706,0166-74-3707,提供中,2021/9/1,営利法人,株式会社稜広会,北海道旭川市,南５条通２１丁目２番地１４２,,6,介護サービス包括型
0122909229,共同生活援助,グループホーム　つばさ,0788822,北海道旭川市,西御料２条１丁目２番３号,,0166-65-7227,0166-65-7227,提供中,2021/9/1,営利法人,合同会社つつみ,北海道旭川市,末広１条２丁目６番２２号,デスパシオ２　１０２,10,介護サービス包括型
0120701115,共同生活援助,グループホーム　希望の轍,0630040,北海道札幌市西区,西野１０条９丁目１２番１４号,,011-676-3850,011-676-3853,提供中,2021/9/1,営利法人,株式会社アクア・フィールズ,北海道札幌市西区,西野１０条９丁目１４番３号,,5,介護サービス包括型
0120506589,共同生活援助,ナインはうす,0620935,北海道札幌市豊平区,平岸５条７丁目３－２９,イーハウス平岸,090-15209628,,提供中,2021/9/1,営利法人,株式会社Trick ster,北海道札幌市西区,山の手６条６丁目２番１１号,,6,介護サービス包括型
0120506571,共同生活援助,共同生活援助ホーム　Ｍ’ｓＢｌｕｅ,0620024,北海道札幌市豊平区,月寒西４条５丁目１－７,,011-598-6360,011-598-6338,提供中,2021/9/1,営利法人,合同会社りふぉらす,北海道札幌市豊平区,美園７条１丁目１－１２,藤屋ビル２階,9,外部サービス利用型
0120301627,共同生活援助,グループホームほほえみポッシュ,0650022,北海道札幌市東区,北２２条東１５丁目４－１１,シティＰＯＳＨβ,011-702-7777,011-702-7778,提供中,2021/9/1,営利法人,株式会社　こころ,北海道札幌市東区,北２３条東１２丁目３番１５号,,4,外部サービス利用型
0120301619,共同生活援助,グループホーム椿,0070839,北海道札幌市東区,北三十九条東８丁目１－１８,,011-218-0099,,提供中,2021/9/1,営利法人,株式会社スタート,北海道札幌市中央区,大通西５丁目１－１,桂和大通３８ビル８階,4,外部サービス利用型
0120103973,共同生活援助,リエゾン２４,0600042,北海道札幌市中央区,大通西１７丁目２－３０,メゾンドセピア１０１号,011-623-2255,011-623-2257,提供中,2021/9/1,営利法人,ＨＲエデュケーション株式会社,北海道札幌市中央区,旭ケ丘５丁目２－２,,9,日中サービス支援型
0120103965,共同生活援助,わおん札幌中央,0640954,北海道札幌市中央区,宮の森４条５丁目１番１０号,プレステージ宮の森３０１号,011-600-1556,011-600-1557,提供中,2021/9/1,営利法人,株式会社　ライブリリーフ,北海道札幌市中央区,宮の森１条３丁目１番６号,シエル宮の森２０３号,4,介護サービス包括型
0121001481,共同生活援助,ぐるーぷほーむ　ここから,0670025,北海道江別市,あけぼの町25番12,,011-382-1234,011-382-1238,提供中,2021/8/27,営利法人,株式会社マザー・リーフ,北海道江別市,萌えぎ野中央18番地の21,,7,介護サービス包括型
0121001473,共同生活援助,ヒルズ生活支援ステーション,0690834,北海道江別市,文京台東町１番地の８,Ｒ４ＴＭ文京台　２１７号室,011-375-9974,011-375-9974,提供中,2021/8/1,営利法人,株式会社ヒルズ生活支援ステーション,北海道江別市,文京台東町１番地の８,Ｒ４ＴＭ文京台　２１７号室,6,介護サービス包括型
0120600861,共同生活援助,ほわいとはうすダイチ,0050002,北海道札幌市南区,澄川二条３丁目８番２１号,,011-827-6922,011-827-6966,提供中,2021/8/1,営利法人,ダイチメディカル株式会社,北海道札幌市豊平区,平岸四条８丁目６－１－１０６,,8,介護サービス包括型
0120506563,共同生活援助,Ｈ　home 平岸,0620932,北海道札幌市豊平区,平岸２条９丁目３－１２,,080-55830007,,提供中,2021/8/1,営利法人,株式会社　Ｈ,北海道札幌市中央区,南１６条西１３丁目１番５号,,7,介護サービス包括型
0120506555,共同生活援助,共同生活援助札幌記念ホーム平岸,0620933,北海道札幌市豊平区,平岸３条１７丁目４番２８号,,011-850-0222,011-850-0223,提供中,2021/8/1,営利法人,株式会社ｍａｓｔｅｒｐｉｅｃｅ,北海道札幌市白石区,栄通８丁目６番２号,,7,介護サービス包括型
0120301601,共同生活援助,藍ホーム,0650032,北海道札幌市東区,北三十二条東１丁目７－２２,,011-212-1909,011-212-1909,提供中,2021/8/1,営利法人,合同会社　藍,北海道札幌市中央区,南十四条西１６丁目３－８－３０１,,4,介護サービス包括型
0120103957,共同生活援助,グループホームＯＮＥＲＯＯＦ山鼻,0640810,北海道札幌市中央区,南１０条西１３丁目２－１４,,011-206-8265,011-206-9245,提供中,2021/8/1,営利法人,合同会社ONEROOF,北海道札幌市中央区,南２３条西１５丁目１－１,ダイアナ南山鼻ヒルズB　３F,4,介護サービス包括型
0120103940,共同生活援助,共同生活援助ホームサンコート山鼻,0640923,北海道札幌市中央区,南二十三条西１４丁目２－７,,011-522-5603,011-522-5783,提供中,2021/8/1,営利法人,合同会社りふぉらす,北海道札幌市豊平区,美園７条１丁目１－１２,藤屋ビル２階,4,外部サービス利用型
0120103932,共同生活援助,山鼻てらす,0640918,北海道札幌市中央区,南１８条西１０丁目２－１,,080-40945332,,提供中,2021/8/1,営利法人,合同会社テラス,北海道札幌市清田区,北野６条１丁目１５－２４－１０１,,4,外部サービス利用型
0127400471,共同生活援助,グループホーム　夢の杜,0790500,北海道雨竜郡妹背牛町,字妹背牛469番地,,0164-34-6607,0164-34-6608,提供中,2021/7/1,営利法人,株式会社　なごみの杜,北海道江別市,元江別本町34番地の10,,10,外部サービス利用型
0122909211,共同生活援助,共同支援生活グループホーム　jump,0708240,北海道旭川市,豊岡１０条６丁目３番２０号　ビエナＢ,,0166-85-6882,0166-85-6892,提供中,2021/7/1,営利法人,株式会社ＩＣ,北海道旭川市,豊岡１０条６丁目３番１９号　ビエナＣ１０６号,,7,介護サービス包括型
0121402333,共同生活援助,障がい者グループホーム　ピアポート昭和,0410812,北海道函館市,昭和３丁目３１番２４号,,0138-76-3197,0138-76-3197,提供中,2021/7/1,営利法人,株式会社絆メディカルグループ,北海道函館市,新川町４番３号　新川町ビル２階,,10,介護サービス包括型
0121402325,共同生活援助,あまいろ,0400061,北海道函館市,海岸町１８番２３号,,0138-85-8515,0138-85-8515,提供中,2021/7/1,営利法人,株式会社　おりづる,埼玉県蕨市,錦町１丁目１２番４０号　アーバンラフレ戸田９１０号,,11,介護サービス包括型
0121402317,共同生活援助,グループホーム　ブライトone,0410812,北海道函館市,昭和４丁目６番１７号,,08054653549,,提供中,2021/7/1,営利法人,合同会社　ブライト,北海道函館市,美原５丁目１５番１号,,5,介護サービス包括型
0121100721,共同生活援助,共同生活援助わかち愛の家,0660039,北海道千歳市,富士４丁目１２－１５,,0123-25-1010,0123-25-1011,提供中,2021/7/1,営利法人,株式会社わかち愛ケアサービス,北海道千歳市,文京３丁目２４番地の５,,6,介護サービス包括型
0120701107,共同生活援助,障がい者グループホーム　Porte,0630870,北海道札幌市西区,八軒１０条東４丁目３－３６,,090-59849133,,提供中,2021/7/1,社団・財団,一般社団法人　スポットウォーキングさっぽろ,北海道札幌市西区,二十四軒２条５丁目４番１号,２階,4,外部サービス利用型
0120506548,共同生活援助,ヨツバメイツ　豊平,0620901,北海道札幌市豊平区,豊平１条３丁目１－４０,,011-857-9570,011-856-9574,提供中,2021/7/1,営利法人,株式会社ＴＣＳ　international,北海道札幌市豊平区,月寒中央通７丁目６番２０号,ＪＡ月寒中央ビル２Ｆ,15,介護サービス包括型
0120506530,共同生活援助,共同生活援助ホームＡＭＳ中の島,0620921,北海道札幌市豊平区,中の島一条７丁目２－２１,ＡＭＳ中の島１－７Ａ１０５,011-827-8325,011-827-8306,提供中,2021/7/1,営利法人,合同会社りふぉらす,北海道札幌市豊平区,美園７条１丁目１－１２,藤屋ビル２階,4,外部サービス利用型
0120404249,共同生活援助,サンビタリア本郷通,0030025,北海道札幌市白石区,本郷通６丁目北５－１１,シティ本郷３４,011-376-5775,011-376-5776,提供中,2021/7/1,営利法人,株式会社　シェノス,北海道札幌市東区,北十三条東１６丁目１－２０,高岡ビル,5,介護サービス包括型
0120404231,共同生活援助,サンビタリア栄通,0030021,北海道札幌市白石区,栄通１６丁目６－１２,ツイン中根,011-826-5111,011-826-5139,提供中,2021/7/1,営利法人,株式会社　シェノス,北海道札幌市東区,北十三条東１６丁目１－２０,高岡ビル,4,介護サービス包括型
0120404223,共同生活援助,グループホーム　ドルフィン,0030021,北海道札幌市白石区,栄通３丁目１－１０,レジデンス白石Ｃ,011-376-1133,011-376-1143,提供中,2021/7/1,営利法人,株式会社　Ｌｉｌｙ　Ｃａｒｅ　Ｍａｎａｇｅｍｅｎｔ,北海道札幌市中央区,北四条東２丁目８番地６－３０５,,4,介護サービス包括型
0120301593,共同生活援助,きらねるⅡ,0650020,北海道札幌市東区,北二十条東２丁目１－１４,,011-600-1634,,提供中,2021/7/1,営利法人,株式会社ＩＸＣＯＯＲＥ,北海道札幌市北区,屯田６条５丁目７－１５,,4,介護サービス包括型
0120204755,共同生活援助,障がい者グループホーム　ピアポート北２７条,0010027,北海道札幌市北区,北２７条西９丁目４－２２,,011-788-9522,011-788-9522,提供中,2021/7/1,営利法人,株式会社　絆メディカルグループ,北海道函館市,新川町４－３,,4,介護サービス包括型
0121402309,共同生活援助,障がい者グループホーム　ピアポート本通,0410851,北海道函館市,本通丁４目８番２号,,0138-83-5518,,提供中,2021/6/1,営利法人,株式会社絆メディカルグループ,北海道函館市,新川町４番３号　新川町ビル２階,,4,介護サービス包括型
0120701099,共同生活援助,Ｌａ．Ｓｉｃ,0630814,北海道札幌市西区,琴似四条６丁目２－２１,,090-82718369,,提供中,2021/6/1,営利法人,株式会社　朋,北海道札幌市西区,琴似四条６丁目２－２１,,12,介護サービス包括型
0120506522,共同生活援助,グループホーム　すまいるハウス,0620055,北海道札幌市豊平区,月寒東５条１７丁目８－１８　２０５号室,,070-31130761,,提供中,2021/6/1,営利法人,株式会社　パーソナルサポート,北海道札幌市白石区,平和通２丁目北８番２６号,,4,介護サービス包括型
0120404215,共同生活援助,共同生活援助札幌記念ホーム栄通８丁目,0030021,北海道札幌市白石区,栄通８丁目６番２－２１１号室,,011-850-0222,011-850-0223,提供中,2021/6/1,営利法人,株式会社ｍａｓｔｅｒｐｉｅｃｅ,北海道札幌市白石区,栄通８丁目６番２号,,9,介護サービス包括型
0120301585,共同生活援助,きらねる,0070838,北海道札幌市東区,北３８条東２丁目１－１２　Ｂ棟　１０２号室,,011-600-1634,,提供中,2021/6/1,営利法人,株式会社ＩＸＣＯＯＲＥ,北海道札幌市北区,屯田６条５丁目７－１５,,4,介護サービス包括型
0120103924,共同生活援助,グループホームベッカウス２１,0640824,北海道札幌市中央区,北四条西２１丁目２－３,プレステージ２１,080-40462309,,提供中,2021/6/1,営利法人,株式会社夢かがりベッカウス,北海道札幌市西区,西野八条１０丁目４番５号,,4,介護サービス包括型
0122001357,共同生活援助,AK小樽,0470036,北海道小樽市,長橋3丁目17番14,,0134-64-6805,0134-64-6808,提供中,2021/5/28,営利法人,合同会社　ＨＯＳ,北海道札幌市東区,東苗穂６条１丁目７－９,,8,外部サービス利用型
0122001340,共同生活援助,障害者支援事業otaruARS,0470032,北海道小樽市,稲穂2丁目20-1,,0134-65-0101,0134-65-0111,提供中,2021/5/26,営利法人,株式会社ウィンクルム,北海道小樽市,稲穂2丁目20-1,,9,介護サービス包括型
0123100752,共同生活援助,グループホームさんれっど,0781314,北海道上川郡当麻町,４条東４丁目１番１９号,,0166-73-6214,0166-73-6214,提供中,2021/5/17,営利法人,合同会社まっかなタイヨウ,北海道旭川市,緑町１２丁目３８６０番地の９,,7,介護サービス包括型
0125900217,共同生活援助,日中サービス支援型グループホームライフネットゆうばり,0680536,北海道夕張市,夕張市南清水沢４丁目６３番地,,0123-59-7855,0123-59-6196,提供中,2021/5/1,社会福祉法人（社協以外）,社会福祉法人　雪の聖母園,北海道樺戸郡月形町,字当別原野２１５番地４,,20,日中サービス支援型
0124300781,共同生活援助,グループホーム　ゆあん,0880626,北海道釧路郡釧路町,桂3丁目1番4,,0154-35-3219,0154-35-0615,提供中,2021/5/1,社団・財団,一般社団法人　HAGU.net,北海道釧路市,南浜町6丁目17番地,,6,介護サービス包括型
0122909203,共同生活援助,ケアホーム　にーな,0788324,北海道旭川市,神楽岡１４条６丁目２番１７号,,0166-76-7627,0166-76-7608,提供中,2021/5/1,営利法人,株式会社ピッチ＆パッチ,北海道釧路郡釧路町,睦３丁目３番地１,,19,日中サービス支援型
0120701081,共同生活援助,グループホーム　エムズイン西野,0630036,北海道札幌市西区,西野６条２丁目８番８号,,011-671-8240,011-671-8240,提供中,2021/5/1,営利法人,株式会社Ｔ’ｓ,北海道札幌市西区,西野８条４丁目６番１９－１号,,7,介護サービス包括型
0120701073,共同生活援助,グループホームはっぴーらいふ西野,0630036,北海道札幌市西区,西野６条２丁目８番８号,,011-827-6497,011-827-6498,提供中,2021/5/1,非営利法人（ＮＰＯ）,特定非営利活動法人はっぴーらいふ,北海道札幌市豊平区,月寒東２条７丁目２番１４号,,7,介護サービス包括型
0120701065,共同生活援助,ケアホームゆうあい,0630804,北海道札幌市西区,二十四軒四条６丁目３－４,,011-615-7824,011-632-7066,提供中,2021/5/1,社会福祉法人（社協以外）,社会福祉法人　ＨＯＰ,北海道札幌市東区,北１４条東１４丁目２番５号,,6,日中サービス支援型
0120600853,共同生活援助,しろくま澄川,0050004,北海道札幌市南区,澄川四条２丁目９番１７号,シティＮＯ．１５　１０５号室,080-28735940,,提供中,2021/5/1,営利法人,合同会社　ＨＯＳ,北海道札幌市東区,東苗穂６条１丁目７番９号,,25,外部サービス利用型
0120301577,共同生活援助,グループホームほほえみ元町,0650023,北海道札幌市東区,北２３条東１４丁目４－１３,ヴェルウッド元町,011-702-7777,011-702-7778,提供中,2021/5/1,営利法人,株式会社　こころ,北海道札幌市東区,北２３条東１２丁目３番１５号,,5,外部サービス利用型
0120103916,共同生活援助,共同生活援助　ひだまりの詩,0640913,北海道札幌市中央区,南十三条西６丁目５－３,第２コスモハイツ,080-95060922,011-598-6332,提供中,2021/5/1,営利法人,合同会社Ｓ－ｈｏｕｓｅ,北海道札幌市豊平区,西岡四条２丁目７番１２号,,4,外部サービス利用型
0120103908,共同生活援助,エルシー南５条,0640805,北海道札幌市中央区,南五条西１７丁目２－２６,アルカサールＮＯ３,080-32959773,011-598-7648,提供中,2021/5/1,営利法人,合同会社リンクルーズ,北海道札幌市白石区,南郷通６丁目北３番２７号,サウスビル２階,7,介護サービス包括型
0120103890,共同生活援助,しろくま中央,0600006,北海道札幌市中央区,北六条西２５丁目３－３０,フェニックス円山６０６,080-28729815,,提供中,2021/5/1,営利法人,合同会社　ＨＯＳ,北海道札幌市東区,東苗穂６条１丁目７番９号,,30,外部サービス利用型
0124602244,共同生活援助,ホープ,0800018,北海道帯広市,西八条南９丁目５番地２５,,0155-35-7066,0155-94-3278,提供中,2021/4/19,営利法人,株式会社　エースフロンティア,北海道帯広市,西十六条南４丁目７－４,,4,介護サービス包括型
0124602236,共同生活援助,グループホーム ピカリ,0802471,北海道帯広市,西二十一条南３丁目１０番地１０,,05032042999,0155-29-0028,提供中,2021/4/19,営利法人,株式会社ピカリトカチ,北海道河西郡芽室町,東めむろ一条南１丁目1-19,,7,介護サービス包括型
0126400332,共同生活援助,日中サービス支援型共同生活援助　彩葉,0770007,北海道留萌市,栄町2丁目5番21号,,0164-56-0206,0164-56-1551,提供中,2021/4/1,非営利法人（ＮＰＯ）,特定非営利活動法人ウェルアナザーデザイン,北海道留萌市,栄町2丁目6番3号,,7,日中サービス支援型
0125001560,共同生活援助,ふわり,0900803,北海道北見市,朝日町４８番地１９５,,0157-31-0707,0157-57-4457,提供中,2021/4/1,社会福祉法人（社協以外）,社会福祉法人　川東の里,北海道北見市,川東226番地2,,16,日中サービス支援型
0124200338,共同生活援助,夢ふうせん　カント,0861655,北海道標津郡標津町,南５条西２丁目１番３４号,,0153-82-7261,0153-85-7262,提供中,2021/4/1,営利法人,株式会社標津介護サービス,北海道標津郡標津町,字標津１３２６－３１,,9,介護サービス包括型
0124102096,共同生活援助,共同生活援助　ホームはばたき,0850805,北海道釧路市,桜ケ岡6丁目15番6号,,0154-41-5640,0154-41-6942,提供中,2021/4/1,社会福祉法人（社協以外）,社会福祉法人釧路愛育協会,北海道釧路市,紫雲台２番１８号,,5,介護サービス包括型
0124102088,共同生活援助,グループホーム　花笑み,0850803,北海道釧路市,益浦2丁目6番1号,,0154-91-7766,0154-91-7767,提供中,2021/4/1,営利法人,株式会社　やまと,北海道釧路市,鶴野東4丁目19番13号,,9,日中サービス支援型
0123602443,共同生活援助,ほわいとはうす　らぽめいと,0530816,北海道苫小牧市,日吉町４丁目１１－１８,,0144-56-5006,0144-84-7685,提供中,2021/4/1,営利法人,有限会社ＥＺＯコーポレーション,北海道苫小牧市,春日町３丁目６－８,,24,介護サービス包括型
0123100745,共同生活援助,グループホーム　わくらば,0711425,北海道上川郡東川町,西町３丁目２番１８号,,0166-74-5504,0166-74-5504,提供中,2021/4/1,営利法人,合同会社わくらば,北海道上川郡東川町,西町３丁目２番１８号,,4,介護サービス包括型
0122909195,共同生活援助,ケアホーム　にーわ,0788324,北海道旭川市,神楽岡１４条６丁目２番１８号,,0166-76-7628,0166-76-7612,提供中,2021/4/1,営利法人,株式会社ピッチ＆パッチ,北海道釧路郡釧路町,睦３丁目３番地１,,19,日中サービス支援型
0121001465,共同生活援助,グループホーム「なかま」江別,0690841,北海道江別市,大麻元町１５４番地１７,,011-887-6740,011-887-6741,提供中,2021/4/1,社会福祉法人（社協以外）,社会福祉法人　日本介護事業団,北海道空知郡奈井江町,１６１番地１,,20,日中サービス支援型
0120701057,共同生活援助,ハッピーホーム,0630813,北海道札幌市西区,琴似３条４丁目１番２４号,SONIA３４　１０２号室,080-32370448,011-552-4374,提供中,2021/4/1,営利法人,株式会社ハッピープラス,北海道札幌市西区,琴似３条４丁目１番２４号,,19,介護サービス包括型
0120506514,共同生活援助,ほわいとはうす　なのはな,0620055,北海道札幌市豊平区,月寒東５条９丁目４番１３号,ルナ５・９,011-223-7776,011-223-7786,提供中,2021/4/1,営利法人,合同会社なのはな,北海道札幌市豊平区,月寒東五条９丁目４番１３号,３１４,10,介護サービス包括型
0124702341,共同生活援助,クローバーハウス,0800101,北海道河東郡音更町,大通４丁目１番５,,0155-29-3043,0155-29-3043,提供中,2021/3/30,営利法人,株式会社　うちは,北海道河東郡音更町,大通７丁目１番地６,,30,介護サービス包括型
0124702333,共同生活援助,共同生活援助事業所ちかっと,0810012,北海道上川郡新得町,二条南１丁目１４番地,,0156-67-7722,0156-64-3500,提供中,2021/3/24,社会福祉法人（社協）,社会福祉法人　新得町社会福祉協議会,北海道上川郡新得町,三条南３丁目５番地,,7,介護サービス包括型
0124602228,共同生活援助,グループホーム　陽だまり,0800026,北海道帯広市,西十六条南４丁目３５番１号,,0155-67-0738,0155-67-0758,提供中,2021/3/17,営利法人,株式会社　Ｍ’ｓ,北海道帯広市,西十六条南５丁目１０番７号,,7,介護サービス包括型
0127500353,共同生活援助,日中サービス支援型共同生活援助事業所　暑寒の里いろどり,0730021,北海道滝川市,本町２丁目５番18号,,0125-74-5310,0125-74-5320,提供中,2021/3/11,社会福祉法人（社協以外）,社会福祉法人　雨竜園,北海道雨竜郡雨竜町,字尾白利加９４番地の１９３,,14,日中サービス支援型
0120901251,共同生活援助,グループホームONEROOF,0060820,北海道札幌市手稲区,前田１０条１４丁目１－２５,,011-206-8265,011-206-9245,提供中,2021/3/1,営利法人,合同会社ONEROOF,北海道札幌市中央区,南２３条西１５丁目１－１,ダイアナ南山鼻ヒルズB　３F,4,介護サービス包括型
0120800081,共同生活援助,Ｖａｌｏ厚別,0040003,北海道札幌市厚別区,厚別東３条４丁目２－３３,,011-598-8262,011-598-8288,提供中,2021/2/1,営利法人,株式会社ユートラスト,北海道札幌市白石区,北郷４条８丁目４番１４号,,9,介護サービス包括型
0120701040,共同生活援助,グループホーム　花あかり,0630003,北海道札幌市西区,山の手３条１２丁目３番６７号,,011-611-9301,011-621-7404,提供中,2021/2/1,社会福祉法人（社協以外）,社会福祉法人　札幌緑花会,北海道札幌市西区,山の手３条１２丁目３番１２号,,8,日中サービス支援型
0120506506,共同生活援助,HAPPYHOUSE,0620933,北海道札幌市豊平区,平岸３条８丁目２－１５,レピュート平岸,011-500-2757,,提供中,2021/2/1,営利法人,株式会社　H＆H,北海道札幌市南区,南３４条西８丁目,４番８号,4,介護サービス包括型
0120103882,共同生活援助,サマー太陽,0640915,北海道札幌市中央区,南１５条西１２丁目３－２７,IROHACOCORO　１０１号室,011-776-5515,011-774-5539,提供中,2021/2/1,営利法人,有限会社　プロケア,北海道札幌市北区,篠路二条７丁目６番３０号,,8,介護サービス包括型
0124102070,共同生活援助,共同生活援助事業所　むーさんの家,0850805,北海道釧路市,桜ケ岡1丁目9番30号,,0154-91-1116,0154-92-3227,提供中,2021/1/18,営利法人,株式会社　介護サービスわたなべ,北海道釧路市,桜ケ岡1丁目9番30号,,9,介護サービス包括型
0124102062,共同生活援助,グループホーム　みやび,0850803,北海道釧路市,益浦3-21-3,,0154-65-1483,,提供中,2021/1/5,営利法人,株式会社いまい,北海道釧路市,芦野5丁目28番4号,,9,日中サービス支援型
0124102054,共同生活援助,グループホームかがやき,0850803,北海道釧路市,益浦3丁目21番3号,,0154-92-1818,0154-92-1819,提供中,2021/1/5,営利法人,株式会社いまい,北海道釧路市,芦野5丁目28番4号,,9,日中サービス支援型
0120901244,共同生活援助,グループホームこころや清田,0040842,北海道札幌市清田区,清田２条１丁目１－１,プレジール清田,011-802-5360,011-802-6129,提供中,2021/1/1,営利法人,株式会社寿々菜,北海道札幌市清田区,清田二条１丁目１－１,,12,介護サービス包括型
0120701032,共同生活援助,ジュークの虹と森,0630040,北海道札幌市西区,西野１０条９丁目１２番５号,,011-688-8011,011-688-8014,提供中,2021/1/1,社会福祉法人（社協以外）,社会福祉法人　共友会,北海道札幌市西区,西町北１５丁目５番７号,,10,介護サービス包括型
0120301569,共同生活援助,グループホームかなた,0650016,北海道札幌市東区,北１６条東１０丁目１－７,,011-788-7804,011-788-7891,提供中,2021/1/1,営利法人,株式会社D-Connect,北海道札幌市北区,南あいの里６丁目１２番８号,,5,介護サービス包括型
0120103874,共同生活援助,H home,0600042,北海道札幌市中央区,大通西１８丁目１－１８,Massel大通２０３,080-60894980,,提供中,2021/1/1,営利法人,株式会社S・Tフーズ,北海道札幌市中央区,南１６条西１３丁目１－５,,4,介護サービス包括型
0124300773,共同生活援助,くろーばー,0880571,北海道白糠郡白糠町,西庶路西一条北1丁目1番地23,,01547-6-0045,01547-6-0045,提供中,2020/12/21,非営利法人（ＮＰＯ）,特定非営利活動法人　白糠町手をつなぐ育成会,北海道白糠郡白糠町,東一条北１丁目１番地１２号,,7,介護サービス包括型
0124702325,共同生活援助,ふぉーちゅん,0893321,北海道中川郡本別町,上本別１４番地２２,,080-60686867,,提供中,2020/12/11,営利法人,合同会社　ふぉーちゅん,北海道中川郡本別町,南２丁目１２番地１,,6,介護サービス包括型
0121300586,共同生活援助,ヨツバメイツ北広島,0611279,北海道北広島市,大曲並木３丁目１２番地１４,,011-598-9411,011-856-9574,提供中,2020/12/1,営利法人,株式会社TCSアンビシャス,北海道北広島市,大曲並木３丁目１２番地１４,,17,介護サービス包括型
