申請者－法人種別,申請者－名称,申請者－郵便番号,申請者－住所,,申請者－電話番号,事業所－名称,事業所－郵便番号,事業所－地域,事業所－住所,事業所－電話番号,ｻｰﾋﾞｽ種類,事業所番号,指定年月日
非営利法人（ＮＰＯ）,特定非営利活動法人アーテム,1400011,東京都品川区,東大井４－８－１０－２０１,03-6712-8210,海老沢寮,1400011,東京都品川区,東大井４－８－１１,03-3450-5181,共同生活援助,1320900101,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ハートフル翔,1520032,東京都目黒区,平町２－２０－８　マイコート１０１,03-3723-0571,柿の木坂グリーンハウス,1520022,東京都目黒区,＊,03-3410-0065,共同生活援助,1321000067,2006/10/1
地方公共団体（市町村）,目黒区,1538573,東京都目黒区,上目黒２－１９－１５,03-5722-9893,目黒区立のぞみ寮,1530063,東京都目黒区,目黒３－４－４,03-5722-2575,共同生活援助,1321000109,2006/10/1
社会福祉法人（社協以外）,社会福祉法人みきの会,1530061,東京都目黒区,中目黒１－４－２,03-3716-1464,サンハウスめぐろ,1530053,東京都目黒区,＊,03-3713-1559,共同生活援助,1321000117,2006/10/1
社会福祉法人（社協以外）,社会福祉法人プシケおおた,1440051,東京都大田区,西蒲田４－４－１,03-5700-6352,ホームプシケ,1440051,東京都大田区,＊,03-5700-6352,共同生活援助,1321100073,2006/10/1
社会福祉法人（社協以外）,社会福祉法人東京都手をつなぐ育成会,1600023,東京都新宿区,西新宿７－８－１０（オークラヤビル内）,03-5389-2600,城南地域生活支援センター,1430024,東京都大田区,大森東２－２７－６　コスモ３番館,03-6715-7710,共同生活援助,1321100131,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人色えんぴつ,1440054,東京都大田区,新蒲田２－１－１０－１０１,03-3734-3690,Ｋハウス,1460085,東京都大田区,＊,03-3753-1945,共同生活援助,1321100263,2006/10/1
社会福祉法人（社協以外）,社会福祉法人大田幸陽会,1430013,東京都大田区,大森南２－１５－１,03-3745-0808,山王生活ホーム,1440034,東京都大田区,西糀谷２－３１－２,03-6423-6915,共同生活援助,1321100305,2006/10/1
社会福祉法人（社協以外）,社会福祉法人東京都手をつなぐ育成会,1600023,東京都新宿区,西新宿７－８－１０（オークラヤビル内）,03-5389-2600,生活支援ホーム世田谷,1570068,東京都世田谷区,宇奈根２－７－１９,03-5727-1450,共同生活援助,1321200162,2006/10/1
医療法人,医療法人社団風鳴会,1570066,東京都世田谷区,成城２－２２－９,03-3749-1122,いちごＬｉｖｉｎｇ,1560042,東京都世田谷区,＊,03-3325-8876,共同生活援助,1321200188,2006/10/1
社会福祉法人（社協以外）,社会福祉法人めぐはうす,1560043,東京都世田谷区,松原３－４０－７　パインフィールドビル２０１,03-3325-0951,「めぐ」,1560044,東京都世田谷区,＊,03-3327-5475,共同生活援助,1321200204,2006/10/1
社会福祉法人（社協以外）,社会福祉法人ふれあい福祉協会,1510073,東京都渋谷区,笹塚３－４３－１,03-5302-8480,東梅ホーム,1510073,東京都渋谷区,＊,03-6276-4660,共同生活援助,1321300020,2006/10/1
社会福祉法人（社協以外）,社会福祉法人中野あいいく会,1640001,東京都中野区,中野１－６－１２,03-3371-5231,あいいく上高田の家,1640002,東京都中野区,上高田１－２７－１６,03-3371-5231,共同生活援助,1321400036,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人東京福祉協議会,1760002,東京都練馬区,桜台１－１２－２－４１６,03-5385-3041,グループホーム中野南台,1640014,東京都中野区,南台３－１２－１７,03-5385-3041,共同生活援助,1321400051,2006/10/1
社会福祉法人（社協以外）,社会福祉法人済美会,1660013,東京都杉並区,堀ノ内１－２６－６,03-3312-0566,宮前ホーム,1680081,東京都杉並区,宮前１－２－４,03-6768-9523,共同生活援助,1321500041,2006/10/1
社会福祉法人（社協以外）,社会福祉法人いたるセンター,1670032,東京都杉並区,天沼１－１５－１８,03-3392-7346,ジャズ,1670035,東京都杉並区,今川１－１０－９,03-6913-9800,共同生活援助,1321500124,2006/10/1
社会福祉法人（社協以外）,社会福祉法人いたるセンター,1670032,東京都杉並区,天沼１－１５－１８,03-3392-7346,ワルツ,1670043,東京都杉並区,上荻２－７－９　イタール上萩,03-6454-7505,共同生活援助,1321500132,2006/10/1
社会福祉法人（社協以外）,社会福祉法人いたるセンター,1670032,東京都杉並区,天沼１－１５－１８,03-3392-7346,ボレロ,1670043,東京都杉並区,上荻１－１４－８　メゾピアノ荻窪１階　いたる地域ケアセンター内,03-3220-4510,共同生活援助,1321500140,2006/10/1
医療法人,医療法人社団円祐会,1670022,東京都杉並区,下井草１－１０－５,03-3399-0121,メゾンユトリロ,1670022,東京都杉並区,＊,03-3399-8373,共同生活援助,1321500157,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人よつ葉会インターナショナル,1670051,東京都杉並区,荻窪５－２８－１６－３０５,03-6383-5001,笑がおの里杉並,1670022,東京都杉並区,下井草１－２４－６,03-5311-5060,共同生活援助,1321500199,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人練馬エンゼルサポート,1780063,東京都練馬区,東大泉７－５０－３１,03-3330-0688,阿佐ヶ谷ホーム我家,1660001,東京都杉並区,阿佐谷北２－３４－１３,03-3330-0688,共同生活援助,1321500215,2006/10/1
社会福祉法人（社協以外）,社会福祉法人地球郷,1710052,東京都豊島区,南長崎６－１９－５　ゆきわりそう１階,03-3950-2002,夢みる館１号館,1710052,東京都豊島区,南長崎５－２１－７,03-3950-3845,共同生活援助,1321600072,2006/10/1
社会福祉法人（社協以外）,社会福祉法人東京都手をつなぐ育成会,1600023,東京都新宿区,西新宿７－８－１０（オークラヤビル内）,03-5389-2600,城北地域生活支援センター,1700002,東京都豊島区,巣鴨４－２１－１６,03-5303-9453,共同生活援助,1321600080,2006/10/1
社会福祉法人（社協以外）,社会福祉法人恩賜財団東京都同胞援護会,1620053,東京都新宿区,原町３－８,03-3341-7161,レヂオンス巣鴨,1700002,東京都豊島区,巣鴨５－１５－８－１４０２,03-3915-5256,共同生活援助,1321600106,2006/10/1
社会福祉法人（社協以外）,社会福祉法人豊芯会,1700004,東京都豊島区,北大塚３－３４－７,03-3915-9051,グループホームつくしんぼう,1700004,東京都豊島区,＊,03-3915-9051,共同生活援助,1321600122,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人豊島区すずらんハウス運営委員会,1710014,東京都豊島区,池袋４－１１－１６小泉ビル１階,03-3981-4235,すずらんハウス,1710014,東京都豊島区,＊,03-3981-4235,共同生活援助,1321600148,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人恵友会,1700003,東京都豊島区,駒込７－１６－１９,03-5394-6533,染井荘,1700003,東京都豊島区,＊,03-5394-6533,共同生活援助,1321600155,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ＮＰＯあおぞら,1710052,東京都豊島区,南長崎５－２９－１０　コーポ島忠１階,03-6908-1661,グループホームあおぞら,1710051,東京都豊島区,＊,03-6908-1688,共同生活援助,1321600163,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人北区精神障害者を守る家族会飛鳥会,1140024,東京都北区,西ケ原２－４０－１２　パーソナルハイツ飛鳥山１階,03-3949-3867,フレンドハウス,1140024,東京都北区,＊,03-3915-5230,共同生活援助,1321700070,2006/10/1
地方公共団体（市町村）,北区,1148508,東京都北区,王子本町１－１５－２２,03-3905-7111,東京都北区立神谷ホーム,1150043,東京都北区,神谷２－３－８,03-3598-3111,共同生活援助,1321700088,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あゆみ,1140001,東京都北区,東十条６－５－１９　あゆみステーション,03-6454-4735,あゆみハウス,1140034,東京都北区,上十条４－１８－１０,03-3905-3590,共同生活援助,1321700153,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人わくわくかん,1150044,東京都北区,赤羽南２－６－６,03-3902-9996,グループホームわくわくかん,1140032,東京都北区,中十条１－１４－４,03-3902-9996,共同生活援助,1321700179,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あゆみ,1140001,東京都北区,東十条６－５－１９　あゆみステーション,03-6454-4735,まつぼっくり,1140032,東京都北区,＊,03-3905-3590,共同生活援助,1321700195,2006/10/1
社会福祉法人（社協以外）,社会福祉法人トラムあらかわ,1160012,東京都荒川区,東尾久３－２０－１０　ベルメゾンエス２階,03-3895-6149,ホームとらむ,1160001,東京都荒川区,＊,03-3810-5166,共同生活援助,1321800045,2006/10/1
社会福祉法人（社協以外）,社会福祉法人窓の陽,1160011,東京都荒川区,西尾久７－５０－６　三博ビル,03-3894-4100,ふるさとホーム荒川第２,1160011,東京都荒川区,＊,03-3894-4100,共同生活援助,1321800086,2006/10/1
社会福祉法人（社協以外）,社会福祉法人窓の陽,1160011,東京都荒川区,西尾久７－５０－６　三博ビル,03-3894-4100,ふるさとホーム荒川第５,1160011,東京都荒川区,＊,03-3894-4100,共同生活援助,1321800094,2006/10/1
医療法人,医療法人社団翠会,1750091,東京都板橋区,三園１－１９－１,03-3939-1191,成増厚生病院グリーンハウスノ－マ,1750091,東京都板橋区,＊,03-3977-3018,共同生活援助,1321900050,2006/10/1
社会福祉法人（社協以外）,社会福祉法人ＪＨＣ板橋会,1740072,東京都板橋区,南常盤台２－１－７,03-3554-8201,レヂデンス虹,1750092,東京都板橋区,＊,03-5997-5639,共同生活援助,1321900159,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人いたばし,1730037,東京都板橋区,小茂根４－１８－１４,03-3956-9521,ドリームＳ,1730037,東京都板橋区,＊,03-3554-8219,共同生活援助,1321900175,2006/10/1
社会福祉法人（社協以外）,社会福祉法人大泉旭出学園,1780063,東京都練馬区,東大泉７－２１－３２,03-3925-6166,旭出生活寮,1780063,東京都練馬区,東大泉７－２１－３２,03-3925-6166,共同生活援助,1322000090,2006/10/1
社会福祉法人（社協以外）,社会福祉法人花水木の会,1760001,東京都練馬区,練馬２－１－９,03-3991-2259,こぶしの家,1770032,東京都練馬区,谷原１－１４－５,03-3948-1640,共同生活援助,1322000173,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人練馬エンゼルサポート,1780063,東京都練馬区,東大泉７－５０－３１,03-3330-0688,グループホーム和泉,1780063,東京都練馬区,東大泉７－５０－３１,03-3921-2888,共同生活援助,1322000199,2006/10/1
社会福祉法人（社協以外）,社会福祉法人練馬山彦福祉会,1770034,東京都練馬区,富士見台２－１９－９,03-3998-5023,やまびこ三原荘,1780063,東京都練馬区,＊,03-3978-6352,共同生活援助,1322000207,2006/10/1
社会福祉法人（社協以外）,社会福祉法人江古田明和会,1760005,東京都練馬区,旭丘１－５２－２,03-6908-0600,グループホームあっとほーむ,1790083,東京都練馬区,＊,03-6913-0708,共同生活援助,1322000215,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あかねの会,1790074,東京都練馬区,春日町１－１８－３６,03-3577-7421,練馬西,1780061,東京都練馬区,大泉学園町５－３２－２２,03-3921-2779,共同生活援助,1322000231,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あかねの会,1790074,東京都練馬区,春日町１－１８－３６,03-3577-7421,練馬中央,1770035,東京都練馬区,南田中５－５－９,03-3997-3320,共同生活援助,1322000249,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ホサナ,1760002,東京都練馬区,桜台１－１２－５－２０１,03-3991-7931,ホサナホーム,1770032,東京都練馬区,＊,03-6321-9574,共同生活援助,1322000280,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ホサナ,1760002,東京都練馬区,桜台１－１２－５－２０１,03-3991-7931,第２ホサナホーム,1770032,東京都練馬区,＊,03-6321-9574,共同生活援助,1322000298,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人クララ,1230845,東京都足立区,西新井本町２－１４－７,03-3857-3093,ＮＰＯ法人クララ　グループホームクララハイツ,1230845,東京都足立区,＊,03-3857-3093,共同生活援助,1322100064,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あだちの里,1210813,東京都足立区,竹の塚７－１９－７,03-5831-1721,あだちの里北ホーム,1210064,東京都足立区,東保木間１－２５－１２,03-5831-1801,共同生活援助,1322100122,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あだちの里,1210813,東京都足立区,竹の塚７－１９－７,03-5831-1721,足立区大谷田グループホーム,1200001,東京都足立区,大谷田１－４４－３,03-3605-0343,共同生活援助,1322100148,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あだちの里,1210813,東京都足立区,竹の塚７－１９－７,03-5831-1721,あだちの里西ホーム,1230842,東京都足立区,栗原４－４－１１,03-5831-1801,共同生活援助,1322100155,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人足立区精神障害者グループホーム協議会,1210064,東京都足立区,保木間３－２５－２潤グループホーム,03-3890-7160,潤グループホーム,1210061,東京都足立区,＊,03-3858-8040,共同生活援助,1322100171,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人足立区精神障害者グループホーム協議会,1210064,東京都足立区,保木間３－２５－２潤グループホーム,03-3890-7160,特定非営利活動法人足立区精神障害者グループホーム協議会ハウス・ウイング,1230841,東京都足立区,＊,03-3890-7160,共同生活援助,1322100197,2006/10/1
社会福祉法人（社協以外）,社会福祉法人アムネかつしか,1240024,東京都葛飾区,新小岩３－２０－６,03-3674-2560,グループまどか,1250051,東京都葛飾区,＊,03-4291-2781,共同生活援助,1322200179,2006/10/1
社会福祉法人（社協以外）,社会福祉法人原町成年寮,1240013,東京都葛飾区,東立石４－５３－８,03-3697-7774,原町成年寮かつしかセンター,1240013,東京都葛飾区,東立石４－５３－８,03-3696-6872,共同生活援助,1322200195,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人グループホームこころ,1330043,東京都江戸川区,松本２－３－２０,03-5879-2556,グループホームこころ,1320024,東京都江戸川区,一之江１－１６－１７,03-3651-5843,共同生活援助,1322300037,2006/10/1
地方公共団体（市町村）,江戸川区,1328501,東京都江戸川区,中央１－４－１,03-5662-0712,江戸川区立障害者支援ハウス,1340083,東京都江戸川区,中葛西２－１１－８,03-5667-1333,共同生活援助,1322300110,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人共に生きる会,1320035,東京都江戸川区,平井７－１６－５,03-3616-6760,平井加藤寮,1320035,東京都江戸川区,平井７－１６－１１,03-3618-2429,共同生活援助,1322300128,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ジラソーレ,1330073,東京都江戸川区,鹿骨２－１３－６,03-6316-8392,ジラソーレ船堀,1330073,東京都江戸川区,鹿骨２－１３－６,03-6638-8199,共同生活援助,1322300144,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人アットホーム,1330044,東京都江戸川区,本一色３－２５－４,03-3656-4330,「けやきの家」,1320021,東京都江戸川区,中央２－２２－２７－３０２,03-3654-6630,共同生活援助,1322300151,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人愛菜会,1320025,東京都江戸川区,松江１－１－８　あみたハウス寿・光館,03-3651-3151,グループホームあい,1320025,東京都江戸川区,松江１－１－８　あみたハウス寿・光館,03-3651-3151,共同生活援助,1322300177,2006/10/1
社会福祉法人（社協以外）,社会福祉法人江戸川菜の花の会,1340083,東京都江戸川区,中葛西２－７－２,03-3680-2464,あるめりあ,1340083,東京都江戸川区,中葛西１－３８－１８,03-6663-9466,共同生活援助,1322300185,2006/10/1
社会福祉法人（社協以外）,社会福祉法人萌の会,1920015,東京都八王子市,中野町２６３２,042-623-0020,グループホームあいこう,1920015,東京都八王子市,中野町２１１４－２,042-623-0020,共同生活援助,1322400019,2006/10/1
社会福祉法人（社協以外）,社会福祉法人やまゆり福祉会,1920152,東京都八王子市,美山町７６７－２,042-652-4000,八王子美山学園,1920152,東京都八王子市,美山町１８７５－３,042-659-2299,共同生活援助,1322400050,2006/10/1
社会福祉法人（社協以外）,社会福祉法人多摩養育園,1920055,東京都八王子市,八木町８－１１,042-623-3388,輝,1930943,東京都八王子市,寺田町８７７,042-666-2366,共同生活援助,1322400068,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ＣＥＳ,1920072,東京都八王子市,南町５－１３　八王子ローヤルマンション１Ｆ,042-624-8417,きりん館,1920075,東京都八王子市,南新町２２,042-628-0152,共同生活援助,1322400076,2006/10/1
医療法人,医療法人財団緑雲会,1920015,東京都八王子市,中野町２０８２,042-623-5308,多摩ハイツ,1920015,東京都八王子市,＊,042-621-7080,共同生活援助,1322400100,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人高尾青年の家福祉会,1930844,東京都八王子市,高尾町２１０４－２,042-664-7802,高尾青年寮,1930844,東京都八王子市,高尾町２１０４－２,042-664-7802,共同生活援助,1322400159,2006/10/1
医療法人,医療法人社団光生会,1920152,東京都八王子市,美山町１０７６,042-651-3131,美山ヒルズ,1930823,東京都八王子市,＊,042-622-4226,共同生活援助,1322400167,2006/10/1
社会福祉法人（社協以外）,社会福祉法人みずき福祉会,1920152,東京都八王子市,美山町２７９,0426-52-2220,比鄰荘,1930816,東京都八王子市,大楽寺町５２４－２,042-627-9085,共同生活援助,1322400217,2006/10/1
社会福祉法人（社協以外）,社会福祉法人マインドはちおうじ,1920081,東京都八王子市,横山町２０－１９　橋本ビル２階,042-631-9404,社会福祉法人マインドはちおうじメゾンコム,1920046,東京都八王子市,＊,042-656-2689,共同生活援助,1322400233,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人あけぼの会,1920011,東京都八王子市,滝山町１－５８８－３　あけぼの寮,042-692-4113,第一あけぼの寮,1920011,東京都八王子市,滝山町１－５８８－３,042-692-0204,共同生活援助,1322400258,2006/10/1
社会福祉法人（社協以外）,社会福祉法人武蔵野会,1920083,東京都八王子市,旭町１２－４　日本生命八王子ビル２階２０１,042-631-6341,ふじもりホーム,1930931,東京都八王子市,台町１－１９－３,042-623-0634,共同生活援助,1322400282,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ＭｅＴＨｏＤ,1900032,東京都立川市,上砂町５－５９－２　ウィンテラス立川４０５,042-535-3616,ｇｒｏｕｐＨｏｍｅ　ＭｅＴＨｏＤ,1900032,東京都立川市,＊,042-535-3616,共同生活援助,1322500065,2006/10/1
社会福祉法人（社協以外）,社会福祉法人すみれ会,1900034,東京都立川市,西砂町４－７５－２,042-531-0761,すみれ寮,1900001,東京都立川市,若葉町３－５６－６,042-535-7103,共同生活援助,1322500107,2006/10/1
社会福祉法人（社協以外）,社会福祉法人滝乃川学園,1860015,東京都国立市,矢川３－１６－１,042-577-0035,滝乃川学園グループホーム,1860015,東京都国立市,矢川３－２１－２５　２０７,042-574-7031,共同生活援助,1322500115,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人モアコートグループ,1900022,東京都立川市,錦町１－１７－１１　モアコート貴１階,042-529-2863,モアコート朝貝,1900022,東京都立川市,錦町１－１７－１２　モアコート朝貝,042-529-2863,共同生活援助,1322500131,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人モアコートグループ,1900022,東京都立川市,錦町１－１７－１１　モアコート貴１階,042-529-2863,みずほ寮,1900022,東京都立川市,錦町１－１７－１１　モアコート貴２階,042-526-6312,共同生活援助,1322500149,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人モアコートグループ,1900022,東京都立川市,錦町１－１７－１１　モアコート貴１階,042-529-2863,立川寮,1900022,東京都立川市,錦町１－１７－１１　モアコート貴４階,042-525-2342,共同生活援助,1322500156,2006/10/1
社会福祉法人（社協以外）,社会福祉法人東京都手をつなぐ育成会,1600023,東京都新宿区,西新宿７－８－１０（オークラヤビル内）,03-5389-2600,多摩地域生活支援センター,1900023,東京都立川市,柴崎町５－９－２４,042-528-6445,共同生活援助,1322500164,2006/10/1
医療法人,医療法人社団東迅会,1900022,東京都立川市,錦町３－１－３３,042-525-7211,アートリング,1900022,東京都立川市,＊,042-526-8988,共同生活援助,1322500206,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ひまわり,1800013,東京都武蔵野市,西久保３－２６－４,0422-52-2664,ひまわりハウス,1800014,東京都武蔵野市,関前５－２１－９,0422-52-1266,共同生活援助,1322600030,2006/10/1
社会福祉法人（社協以外）,社会福祉法人武蔵野,1800001,東京都武蔵野市,吉祥寺北町４－１１－１６,0422-54-7666,居住支援ユニットリエゾン,1800001,東京都武蔵野市,吉祥寺北町４―１１―１６,0422-54-7666,共同生活援助,1322600048,2006/10/1
社会福祉法人（社協以外）,社会福祉法人武蔵野千川福祉会,1800023,東京都武蔵野市,境南町４－２０－５,0422-30-0022,桜寮,1800021,東京都武蔵野市,桜堤２－１１－８,0422-37-0280,共同生活援助,1322600055,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ミュー,1800006,東京都武蔵野市,中町３－４－９　ディアハイム武蔵野ビル１階,0422-38-7661,ミューのいえ,1800013,東京都武蔵野市,＊,0422-38-8155,共同生活援助,1322600071,2006/10/1
地方公共団体（市町村）,三鷹市,1818555,東京都三鷹市,野崎１－１－１,0422-45-1151,グループホーム・ピアいのかしら,1810001,東京都三鷹市,井の頭２－１３－６,0422-49-6444,共同生活援助,1322700087,2006/10/1
社会福祉法人（社協以外）,社会福祉法人三鷹ひまわり会,1810013,東京都三鷹市,下連雀４－８－２０,0422-76-0388,ひまわりの家,1810013,東京都三鷹市,＊,0422-49-8362,共同生活援助,1322700095,2006/10/1
社会福祉法人（社協以外）,社会福祉法人おおぞら会,1810014,東京都三鷹市,野崎２－６－４１,0422-30-5571,つなぐなかまの家,1810016,東京都三鷹市,深大寺２－２３－１３,0422-34-5081,共同生活援助,1322700129,2006/10/1
社会福祉法人（社協以外）,社会福祉法人巣立ち会,1810014,東京都三鷹市,野崎２－６－４２,0422-34-2761,巣立ちホーム,1810015,東京都三鷹市,＊,0422-30-2125,共同生活援助,1322700152,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人三鷹陽だまり企画,1810012,東京都三鷹市,上連雀３－２－２－２０３,0422-45-2233,ホーム陽だまり,1810012,東京都三鷹市,＊,0422-45-2233,共同生活援助,1322700186,2006/10/1
営利法人,株式会社日本クリード,1030004,東京都中央区,東日本橋３－６－１８,03-5643-6150,クリード青梅,1980023,東京都青梅市,今井３－３０－７,0428-30-7103,共同生活援助,1322800051,2006/10/1
社会福祉法人（社協以外）,社会福祉法人友愛学園,1980001,東京都青梅市,成木２－１０７,0428-74-5453,すてっぷ小中尾,1980001,東京都青梅市,成木２－３９２－４,0428-74-7377,共同生活援助,1322800077,2006/10/1
医療法人,医療法人社団幸悠会,1980052,東京都青梅市,長淵５－１０８６,0428-22-3126,ベルツリー,1980052,東京都青梅市,＊,0428-21-7950,共同生活援助,1322800085,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人源,1830041,東京都府中市,北山町２－２５－４４,042-572-2730,コスモス,1830041,東京都府中市,北山町２－２－３２,042-572-2730,共同生活援助,1322900059,2006/10/1
社会福祉法人（社協以外）,社会福祉法人仁和会,1830056,東京都府中市,寿町２－２６,042-333-7555,せんげん,1830005,東京都府中市,若松町４－８－７,042-351-0505,共同生活援助,1322900067,2006/10/1
