事業所番号,申請者－名称,事業所－名称,事業所－郵便番号,市区町村,事業所－住所,Googleマップ,事業所－電話番号,事業所－FAX番号,指定年月日
4021000247,株式会社 Re`sela Lig,医療ケア Re`sela Holmes 重留,811-1101,,福岡県福岡市早良区重留4-8-7,,092-407-8840,092-407-8841,2021/10/1
4021100211,社会福祉法人飯盛会,ハーベスト,819-0037,,福岡県福岡市西区飯盛510-9,,092-892-2331,092-892-2332,2021/10/1
4021600087,特定非営利活動法人日々草,グループホーム　モンテ,816-0873,,福岡県春日市日の出町１丁目２１番４号,,080-3441-0349,092-572-1150,2021/10/1
4022700514,医療法人社団　芳英会　宮の陣病院,グループホーム　椿ハウス,839-0801,,福岡県久留米市宮ノ陣１丁目１番１４号,,0942-65-3897,0942-65-3898,2021/10/1
4022700522,ＮＰＯ法人つながろう・アースフレンズ,ガーデンテラス・エルサ,830-0073,,福岡県久留米市大善寺町宮本３４３番地１,,0942-30-1860,0942-30-1860,2021/10/1
4020200459,ＯＵＲＴＩＭＥ株式会社,わおんグループホームみどりが丘,813-0021,,福岡県福岡市東区みどりが丘1-17-9,,090-1345-2825,050-1246-1485,2021/9/1
4021200342,株式会社希樹屋,果樹の家/南,815-0063,,福岡県福岡市南区柳河内2-11-5,,092-408-7992,092-408-7993,2021/9/1
4023400031,株式会社ＩＰＰＯ,ルーツ大木町笹渕,830-0401,,福岡県三潴郡大木町大字笹渕７８０－１,,0944-33-0308,0944-33-0308,2021/9/1
4025700198,合同会社ゲナム,りんく,820-0303,,福岡県嘉麻市中益３０２－１,,0948-52-3443,0948-52-3444,2021/9/1
4021000213,株式会社アクシュ,グループホーム　オハナ１号館,814-0022,,福岡県福岡市早良区原１丁目26-４,,092-407-8550,092-407-8550,2021/8/1
4021000221,株式会社シロケン,グループホームだんらん,814-0033,,福岡県福岡市早良区有田１丁目23-15,,092-834-3177,092-834-3125,2021/8/1
4021600079,株式会社　カグラ,KARUGAMO　１,816-0802,,福岡県春日市春日原北町五丁目42-2　コーポ春日原101 201 203 205,,092-928-2235,092-555-5222,2021/8/1
4022700498,株式会社ＭＹスタイル,和み,830-0022,,福岡県久留米市城南町８－２４　ステーションビル２　２０６号,,0942-65-7209,0942-65-7209,2021/8/1
4022700506,社会福祉法人　善正会,あっとホームきたの,830-1122,,福岡県久留米市北野町今山４５８番地２,,0942-23-1030,0942-78-6190,2021/8/1
4027800194,株式会社オヒアの木,グループホーム　オヒアの木,803-0022,,福岡県北九州市小倉北区弁天町３番３号　アビタシオン清水７０１号室,,080-5602-1858,,2021/8/1
4021700069,株式会社Ｈ＆Ｈ,愛信望二日市,818-0056,,福岡県筑紫野市二日市北４丁目２７番１２号パルル緑台第２,,090-6679-7662,092-408-7584,2021/7/1
4021700077,株式会社ケアネクスト,グループホームやよい,818-0057,,福岡県筑紫野市二日市南３丁目５番１０号　エステート天拝Ⅱ,,092-555-7765,,2021/7/1
4022600136,社会福祉法人陽だまりの風福祉会,にじ,838-0111,,福岡県小郡市吹上１０５８－１６,,0942-48-1740,0942-48-1741,2021/7/1
4020100204,株式会社ten,グループホームtenⅡ,812-0044,,福岡県福岡市博多区千代4-20-27,,092-707-0399,092-401-2822,2021/7/1
4020800076,株式会社医療福祉ホールディングス,スターホームＲＯＰＰＯＮＭＡＴＳＵ,810-0044,,福岡県福岡市中央区六本松４-３-11,,092-686-8466,092-686-8761,2021/6/1
4021000205,株式会社コレクティブ,共同生活支援住宅　十和　本館,811-1122,,福岡県福岡市早良区早良6丁目2-12,,092-407-2068,092-407-2067,2021/6/1
4021200326,株式会社らいふ・る,魂ホーム桧原,811-1355,,福岡県福岡市南区桧原4-4-13,,092-566-0688,092-566-0688,2021/6/1
4021200334,株式会社ライジングコーポレーション,野風,815-0033,,福岡県福岡市南区大橋４-18-９,,092-753-9404,092-753-9405,2021/6/1
4022400065,合同会社Ｍ＆Ｍソーシャルサービス,グループホーム　ティエラ,838-0068,,福岡県朝倉市甘木１９１９－１カーサ恵比須１０３,,080-7373-3003,,2021/6/1
4022700480,株式会社　医療福祉ホールディングス,スターハウスKURUME,839-0861,,福岡県久留米市合川町１１４－１２　ヴィラ２１０　２０６号,,0942-41-8113,0942-41-8114,2021/6/1
4020200434,株式会社　千楽,グループホームとんぼ,813-0002,,福岡県福岡市東区下原4丁目7-40-107,,070-3899-4811,,2021/5/1
4020200442,有限会社　ニチドウ建設,おひさま下原,813-0002,,福岡県福岡市東区下原4丁目8-24,,050-5375-1923,,2021/5/1
4020600153,合同会社ＢＢＫプロパティマネジメント,ミライホーム宗像,811-4156,,福岡県宗像市自由ケ丘南１丁目５－１３,,0940-35-5980,0940-35-5980,2021/5/1
4020900132,株式会社あいほーむ,あいほーむふくおか,814-0141,,福岡県福岡市城南区西片江2丁目6-10,,092-707-4175,092-707-4176,2021/5/1
4021000197,社会福祉法人　福岡障害者支援センター,グループホームなごみ,811-1103,,福岡県福岡市早良区四箇4丁目10-7,,092-707-5223,092-707-6122,2021/5/1
4020200418,株式会社ＴＣＳinternational,ヨツバメイツ福岡東,813-0012,,福岡県福岡市東区香椎駅東3丁目25-20,,011-598-9570,011-598-9574,2021/4/1
4020200426,有限会社ニチドウ建設,おひさま,813-0001,,福岡県福岡市東区唐原2丁目13-10,,050-5375-1923,,2021/4/1
4020900124,株式会社ＴＣＳinternational,ヨツバメイツ福岡城南,814-0113,,福岡県福岡市城南区田島1丁目12-1,,011-598-9570,011-598-9574,2021/4/1
4021200318,株式会社イクスクルー,イクスライヴズ,815-0037,,福岡県福岡市南区玉川町15-6,,092-741-5115,092-741-5116,2021/4/1
4022400057,社会福祉法人こがね福祉会,グループホームすまいる,838-0039,,福岡県朝倉市桑原５２７－１,,0946-28-8722,0946-28-8733,2021/4/1
4022700472,ＮＰＯ法人ネオサポート,アイラ西牟田,830-0111,,福岡県久留米市三潴町西牟田4498-4,,0942-65-5434,0942-65-5436,2021/4/1
4025300247,医療法人　恵和会,障がい者グループホーム　さくらの杜,822-1318,,福岡県田川郡糸田町原1897,,0947-23-0630,0947-23-0631,2021/4/1
4020500155,株式会社真和,グループホーム　しんわ,811-3225,,福岡県福津市東福間２丁目１６－４,,090-2173-4005,,2021/3/1
4021000189,株式会社レグザーク,らぽーるいろは,811-1102,,福岡県福岡市早良区東入部1-20-16,,092-985-0689,,2021/3/1
4023400023,一般社団法人サポートピア城島,あじさい,830-0415,,福岡県三潴郡大木町絵下古賀１９７－６,,0944-33-2088,0944-33-2088,2021/3/1
4025400203,ＮＰＯ法人筑紫,グループホームちくし,822-0002,,福岡県直方市頓野３０９０番地,,0949-58-9160,0949-24-5653,2021/3/1
4026700155,一般社団法人Ｑ－ＡＣＴ,ＡＣＴホームやはた,807-0866,,福岡県北九州市八幡西区日吉台二丁目7番6号シャトレ新高Ⅰ１０６,,093-482-7514,093-482-7518,2021/3/1
4027800178,特定非営利活動法人未来図,みづき,803-0862,,福岡県北九州市小倉北区今町一丁目１番２３－１号,,093-555-3438,093-776-7358,2021/3/1
4020100196,アースウェル株式会社,マイホーム暖家,812-0894,,福岡県福岡市博多区諸岡３丁目29-4,,092-555-3315,092-555-3312,2021/3/1
4021200300,株式会社　アイケア,アイケア南区1,811-1343,,福岡県福岡市南区和田1丁目489番地6,,092-408-3140,092-408-3141,2021/2/1
4022700464,株式会社IPPO,ルーツ田主丸,839-1216,,福岡県久留米市田主丸町中尾８７３－９,,0943-72-0130,093-72-0130,2021/2/1
4025300239,社会福祉法人　見真会,グループホームそわか,822-1211,,福岡県田川郡福智町伊方４０３０番地１,,0947-47-3333,0947-47-3334,2021/2/1
4026100091,株式会社ＰＳＴＣ,わおんグループホーム水巻町えぶり,807-0031,,福岡県遠賀郡水巻町杁1丁目1－3,,093-287-5278,093-287-5278,2021/2/1
4027800160,合同会社旭日商事,グループホームあさひ,802-0026,,福岡県北九州市小倉北区大畠二丁目４番３５号,,093-982-0101,093-982-0101,2021/2/1
4022100210,合同会社明和会,らてぃす,834-1213,,福岡県八女市黒木町本分１２１０－５,,0943-24-9018,0943-24-9066,2021/1/1
4020100188,株式会社医療福祉ホールディングス,スターホームSUMIYOSHI,812-0018,,福岡県福岡市博多区住吉2-12-13-205,,092-686-8466,092-686-8761,2021/1/1
4020400265,社会福祉法人 正樹福祉会,ふらっ・と久山,811-2501,,福岡県糟屋郡久山町久原２１３９－７,,092-976-3100,,2020/12/1
4022100194,クォリティオブライフ・コークリエーション株式会社,グループホームserenity,834-0031,,福岡県八女市本町１－３－４,,050-8880-9411,050-3488-6268,2020/12/1
4022400040,有限会社アソカ,グループホームほのか,838-0031,,福岡県朝倉市屋永２３１５－１,,0946-21-2333,0946-22-8114,2020/12/1
4027800152,株式会社Ｋｉｎｇ,蓮華,803-0863,,福岡県北九州市小倉北区南丘一丁目１５番２５－１０１号,,093-953-7203,093-953-7204,2020/12/1
4020400257,ふわわ株式会社,バオバブ邸,811-0102,,福岡県糟屋郡新宮町立花口２２９２－４８,,092-692-1742,092-692-1741,2020/11/1
4022700456,社会福祉法人　荒木福祉会,ルルド,830-1103,,福岡県久留米市北野町金島字白高田2261番地,,0942-44-6770,0942-44-6770,2020/11/1
4023300041,エフコープ生活協同組合,りーふ・あっぷる,839-1401,,福岡県うきは市浮羽町朝田２２３－１１,,0943-74-3050,0943-74-3051,2020/11/1
4027700279,Ｂｅｓｐｏｋｅ　Ｌｉｆｅ　株式会社,かーむ,800-0242,,福岡県北九州市小倉南区津田三丁目８番１号,,093-967-1352,093-967-1064,2020/11/1
4020600146,特定非営利活動法人丘の上の街,レジデンス　丘の上の街,811-4147,,福岡県宗像市石丸1-5-1,,080-3991-7778,0940-51-3779,2020/10/1
4021000171,株式会社ten,グループホームten原,814-0022,,福岡県福岡市早良区原7-26-33,,092-516-4205,092-516-4205,2020/10/1
4021200292,株式会社３eee,障がい者グループホーム つくしの丘,815-0036,,福岡県福岡市南区筑紫丘2-22-7-101,,092-551-5850,092-551-5852,2020/10/1
4020100170,株式会社昴,グループホーム　昴,812-0874,,福岡県福岡市博多区光丘町3-5-20-101,,092-584-3457,092-593-1666,2020/10/1
4020100162,株式会社ドリームＫ,グループホーム　ドリームハウス１号館,812-0894,,福岡県福岡市博多区諸岡3-29-8　2階,,092-600-0103,092-600-0247,2020/10/1
4020200384,有限会社西海,グループホームさいかい和白,811-0202,,福岡県福岡市東区和白1-14-59,,092-518-5887,092-515-4844,2020/9/1
4020200392,株式会社Re`sela Lig,Re`sela Holmes East,813-0003,,福岡県福岡市東区香住ケ丘2-48-5,,092-410-8067,092-410-8846,2020/9/1
4020200400,株式会社希樹屋,果樹の家/東第２,813-0002,,福岡県福岡市東区下原2-1-32,,092-719-0800,092-719-0800,2020/9/1
4022500112,株式会社リボン,グループホームリボン,831-0035,,福岡県大川市津６０７－１０,,0944-85-1122,0944-85-1122,2020/9/1
4026200024,株式会社コローレ,ポルト,809-0036,,福岡県中間市長津2-11-13,,093-981-0457,093-981-0457,2020/9/1
4027700253,合同会社三愛,ファミ曽根,800-0227,,福岡県北九州市小倉南区津田新町四丁目7番5－503号,,093-383-0898,093-383-0886,2020/9/1
4027700261,ｒｅｃｏｖｅｒｙ２４株式会社,グループホーム千歳　下曽根,800-0217,,福岡県北九州市小倉南区下曽根二丁目１番５３ハイツタチバナ下曽根１０２号,,093-472-2588,093-472-2588,2020/9/1
4020800068,合同会社Winx2,Winx2,810-0073,,福岡県福岡市中央区舞鶴1-8-28-2F,,080-3467-0023,,2020/8/1
4021200284,合同会社ディアマインド,グループホーム月（あかり）,811-1343,,福岡県福岡市南区和田1-12-17,,092-408-2084,092-408-2085,2020/8/1
4024300099,株式会社　WhomLab,アンジュースマイル,832-0806,,福岡県柳川市三橋町柳河３９５番１号レオパレスレミュール２番館,,0944-86-6600,0944-86-6601,2020/8/1
4025300221,合同会社マルシン,グループホーム　ほのか,822-1102,,福岡県田川郡福智町上野３８５７番地,,090-3798-0981,0947-49-8180,2020/8/1
4025500309,社会福祉法人嘉穂福祉会,さんあいホーム　飯塚,820-0051,,福岡県飯塚市庄司１４２－３,,0948-28-6788,0948-83-8208,2020/8/1
4020100154,特定非営利活動法人九州ＤＡＲＣ,美野島ハウス,812-0017,,福岡県福岡市博多区美野島2-5-31,,092-471-5140,092-471-5140,2020/8/1
4020200376,株式会社セガン,グループホームげんき,811-0321,,福岡県福岡市東区西戸崎1-18-11,,090-7393-0139,092-603-2765,2020/7/1
4021500055,有限会社クリスタル島津,グループホーム和音,816-0953,,福岡県大野城市旭ケ丘２－１４－１８,,092-596-1811,092-596-1811,2020/7/1
4022100186,株式会社さんふらわあ,ブルーローズ,834-0016,,福岡県八女市豊福９１９－１,,0943-24-0600,0943-24-0606,2020/7/1
4025200074,社会福祉法人嘉穂の里,社会福祉法人　嘉穂の里　Hilltop　Garden雅,820-0607,,福岡県嘉穂郡桂川町大字土師１１０３－２９,,0948-20-9001,0948-20-9010,2020/7/1
4025400195,有限会社王子苑,地球家,822-0002,,福岡県直方市頓野１５４９－２オアシス宮ノ前４０３号,,0949-28-7707,0949-28-7707,2020/7/1
4020200368,一般社団法人楓福祉会,グループホームすいせん東,813-0003,,福岡県福岡市東区香住ケ丘4-40-36,,080-8585-8892,092-692-5155,2020/6/1
4021200276,株式会社インセンス,ドマーニ福岡,815-0071,,福岡県福岡市南区平和2-23-5,,092-521-9988,092-521-9988,2020/6/1
4021400124,一般社団法人えのき舎,グループホームえのき　花水木,818-0103,,福岡県太宰府市朱雀３丁目１０番３８号,,092-925-1166,092-925-1166,2020/6/1
4025600174,社会福祉法人清和会,グループホーム　アベリア,822-1318,,福岡県田川郡糸田町3565-5　セジュール三和　102号室,,0947-26-1733,0947-62-3374,2020/6/1
4027700238,合同会社ｅ－ライフ,健心館,800-0256,,福岡県北九州市小倉南区湯川新町四丁目２３番３８号,,093-923-1180,093-923-1180,2020/6/1
4020100147,合同会社クボックス,もちづき堂,812-0017,,福岡県福岡市博多区美野島1-24-18,,092-688-6061,092-515-3422,2020/6/1
4021200250,社会福祉法人福岡ひかり福祉会,グループホームかしはら,811-1353,,福岡県福岡市南区柏原六丁目29番４号,,092-565-3998,092-565-3998,2020/5/1
4021200268,合同会社Tabby,障がい者グループホームタビーの家,815-0071,,福岡県福岡市南区平和2-9-12,,092-406-4995,092-406-4996,2020/5/1
4021600053,株式会社　庄島,グループホーム星月,816-0831,,福岡県春日市大谷8-17,,092-982-3111,092-984-6111,2020/5/1
4021700051,株式会社アゼスコミュニケーションズ,アゼスホーム,818-0061,,福岡県筑紫野市紫６－７－１０－バイオレットハイツA棟２０１,,092-710-1098,092-710-1099,2020/5/1
4022700431,NPO法人　かけはし,グループホーム　かけはし,830-0102,,福岡県久留米市三潴町田川55番地8,,0944-88-8210,0944-88-8211,2020/5/1
4022700449,NPO法人つながろう・アースフレンズ,めぞん・ピーターパン,839-0841,,福岡県久留米市御井旗崎１丁目９番地７レジデンス亜依　御井籏崎２０３号,,080-3272-7695,0942-30-1860,2020/5/1
4025500291,株式会社マシュマロの樹,グループホームワンライフ小正,820-0089,,福岡県飯塚市小正９０３－１３２,,0948-52-3860,0948-21-7588,2020/5/1
4027700246,株式会社ＦＵＫＵＳＨＩＮ,グループホーム千歳,802-0804,,福岡県北九州市小倉南区下城野三丁目４番１６号,,093-383-0134,093-383-0134,2020/5/1
4020200343,株式会社ユニコン・ブリリアント,グループホーム花かご,813-0003,,福岡県福岡市東区香住ケ丘6-10-36,,092-692-8181,092-692-8131,2020/4/1
4020200350,株式会社心乃夾人,百詠可の森,811-0322,,福岡県福岡市東区大岳2-13-1,,092-692-7632,092-692-7633,2020/4/1
4022100178,社会福祉法人ハイジ福祉会,ぐるーぷほーむハイジ壱番館,834-0012,,福岡県八女市山内４５５－１,,0943-23-1747,0943-23-1977,2020/4/1
4022400032,社会福祉法人朝倉市福祉会,アットホーム清流学園,838-0062,,福岡県朝倉市堤３８２,,0946-21-1124,0946-21-1124,2020/4/1
4022700415,株式会社アゼスコミュニケーションズ,アゼスケアサポート,839-0852,,福岡県久留米市高良内町361-1　グリーンパーク徳間A棟102,,0942-65-7243,0942-65-7244,2020/4/1
4022700423,社会福祉法人　三町福祉会,あさがおセカンド,830-0213,,福岡県久留米市城島町江上26-3,,0942-62-2801,,2020/4/1
4024400196,一般社団法人ワーキングサポートフェリス,グループホームフェリス黄金,836-0872,,福岡県大牟田市黄金町２丁目２３０－１,,0944-32-9111,0944-32-9067,2020/4/1
4024400204,株式会社希春,自立支援ホームＷＡＯ,837-0922,,福岡県大牟田市大字今山２２５２－２,,0944-54-0170,0944-53-2133,2020/4/1
4025200066,社会福祉法人ひなの家,障害福祉サービス事業所ホームファイトⅡ,820-0607,,福岡県嘉穂郡桂川町土師３２６７番地１,,0948-65-5085,0948-65-5087,2020/4/1
4026600041,合同会社緑風会,グループホームあらて,805-0001,,福岡県北九州市八幡東区荒手一丁目１番３１号,,093-776-7453,093-776-7453,2020/4/1
4020000057,株式会社MOCHIMOTSU,生活リハビリ型障がい者シェアハウス,819-1121,,福岡県糸島市荻浦四丁目10番19号,,092-332-0970,092-332-0977,2020/4/1
4027600081,合同会社やすらぎ,やすらぎホーム,800-0116,,福岡県北九州市門司区恒見町６番５号,,093-777-8759,093-777-8759,2020/3/1
4021200243,株式会社ふぁみふる,魂ホーム大橋,815-0034,,福岡県福岡市南区南大橋２丁目17番６号,,092-555-3738,092-555-3738,2020/2/1
4022700407,株式会社グッドフェローズリンク,グッドフェローズ,830-0063,,福岡県久留米市荒木町荒木1313-93,,0942-45-3655,0942-70-4155,2020/2/1
4026100083,社会福祉法人まつかぜ会,指定日中サービス支援型共同生活援助事業所　まつかぜ苑,807-0131,,福岡県遠賀郡芦屋町緑ケ丘３番８号,,093-221-4200,093-221-4201,2020/2/1
4022600128,株式会社サキヤ,アンソレイユ,838-0106,,福岡県小郡市三沢2955-1,,0942-23-0588,0942-23-0587,2020/1/1
4024300081,株式会社ＭＬＳ,グループホームかがやき柳川,832-0826,,福岡県柳川市三橋町高畑１７４番地１,,0944-85-0590,0944-85-0590,2020/1/1
4020900116,株式会社NiCO,花木凛　梅林,814-0144,,福岡県福岡市城南区梅林1-5-21,,092-260-5499,092-519-9890,2019/12/1
4021100203,アールジージー株式会社,グループホーム　farm拾六町,819-0041,,福岡県福岡市西区拾六町4-39-9,,080-9053-3430,092-477-3886,2019/12/1
4020100139,スペースウェルネス福岡株式会社,ベルウッド麦野,812-0882,,福岡県福岡市博多区麦野2-10-8,,092-710-6776,092-710-6773,2019/12/1
4020200335,株式会社RECOVERY,アガペー,813-0011,,福岡県福岡市東区香椎1-11-1プレスト香椎参道102,,092-681-6684,092-681-6684,2019/11/1
4027700212,株式会社よろこび,ｍａｉ　長尾,803-0274,,福岡県北九州市小倉南区長尾六丁目１０番３０号,,093-383-9991,093-383-9953,2019/11/1
4020200327,住マイルグループ株式会社,住マイルグループ福岡東,811-0321,,福岡県福岡市東区西戸崎2-23-26,,092-600-4583,092-235-3905,2019/10/1
4020900090,株式会社コムユナイテッド,グループホームHUG,814-0142,,福岡県福岡市城南区片江4-13-2,,092-707-6934,092-707-6935,2019/10/1
4020900108,株式会社プラスワン,ウェルネスアシスト神松寺,814-0121,,福岡県福岡市城南区神松寺3-3-11,,092-292-3258,092-292-3410,2019/10/1
4021000155,株式会社希樹屋,果樹の家／早良,814-0022,,福岡県福岡市早良区原2-4-11,,092-836-9400,092-836-9400,2019/10/1
4021100195,株式会社SMILE PRESENTS,SMAPRE WINGS,819-0043,,福岡県福岡市西区野方5-64-5,,092-791-3067,,2019/10/1
4021600046,株式会社　ｲﾝﾗｯｸ,共同生活援助　good mood,816-0873,,福岡県春日市日の出町3-2-1-6-809,,092-518-7052,092-707-9082,2019/10/1
4022300166,合同会社明和会,すてら,833-0054,,福岡県筑後市蔵数５１８番地５,,0943-24-9018,0943-24-9066,2019/10/1
4025500283,一般社団法人よいこ,グループホームよいこ,820-1111,,福岡県飯塚市勢田２４１０－７,,0948-82-1489,0948-82-1489,2019/10/1
4025700180,一般社団法人　輝祥福祉会,グループホーム　きしょう,820-0202,,福岡県嘉麻市山野１３５－１５３,,0948-42-5252,0948-42-5252,2019/10/1
4026400046,社会福祉法人北九州障害者福祉事業協会,グループホームとりはた,804-0075,,福岡県北九州市戸畑区北鳥旗町２番２２号,,093-871-0841,093-871-0852,2019/10/1
4020200319,株式会社インプルーブ,光,813-0012,,福岡県福岡市東区香椎駅東3-5-26-101,,092-928-5113,092-202-0385,2019/9/1
4021100187,合同会社リリーフ,リリーフ姪浜事業所,819-0022,,福岡県福岡市西区福重5-1-13,,092-407-9902,092-407-9902,2019/9/1
4025100050,株式会社ケンコー薬品,グループホームさち,807-1303,,福岡県鞍手郡鞍手町木月１６０６―１０,,0949-42-3088,0949-42-3088,2019/9/1
4025600166,特定非営利活動法人　ライフアシスト,しろがね,826-0044,,福岡県田川市位登２００番地２,,0947-50-8335,0947-56-8336,2019/9/1
4027800145,株式会社ＭＩＲＡＩ,ミライホーム北九州,802-0083,,福岡県北九州市小倉北区江南町３番１－９０２号,,093-482-1928,093-482-1930,2019/9/1
