No.,申請者名称,事業所番号,枝番／ 連番,事業所名称,事業所郵便番号,事業所所在地,事業所電話番号,事業所FAX番号,共同生活住居名称,共同生活住居〒,共同生活住居所在地,主たる対象者(身体障害者),主たる対象者(知的障害者),主たる対象者(精神障害者),主たる対象者(難病等対象者),異動年月日,異動区分,施設等の区分,利用定員数
92,特定非営利活動法人むつわ会,1120900459,1,こころ寮,3490205,埼玉県白岡市西六丁目８番２２,0480-91-2255,0480-93-2219,こころ寮,3490205,埼玉県白岡市西６丁目８番２２号,×,○,×,×,2021/11/1,変更,2:外部サービス利用型,5
136,株式会社リーディング・ファクトリー,1121200560,1,わおんにゃおんグループホーム三郷,3410034,埼玉県三郷市新和２丁目２６７飯山コーポＡ棟,048-947-2697,048-947-2697,わおんにゃおんグループホーム三郷Ａ棟,3410034,埼玉県三郷市新和２丁目２６７飯山コーポＡ棟,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,5
137,株式会社リーディング・ファクトリー,1121200560,2,わおんにゃおんグループホーム三郷,3410034,埼玉県三郷市新和２丁目２６７飯山コーポＡ棟,048-947-2697,048-947-2697,わおんにゃおんグループホーム鷹野A棟,3410035,埼玉県三郷市鷹野１丁目２８８番,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,3
138,株式会社リーディング・ファクトリー,1121200560,3,わおんにゃおんグループホーム三郷,3410034,埼玉県三郷市新和２丁目２６７飯山コーポＡ棟,048-947-2697,048-947-2697,わおんにゃおんグループホーム鷹野B棟,3410035,埼玉県三郷市鷹野１丁目２８８番,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,3
176,株式会社ＨＡＮＡ,1121600942,1,グループホームHana,3620004,埼玉県上尾市須ケ谷一丁目８７番地１,048-795-8888,048-795-8889,グループホームHana,3620004,埼玉県上尾市須ケ谷１－８７－１,○,○,×,×,2021/11/1,変更,1:介護サービス包括型,7
182,株式会社ささや,1121600983,1,グループホームささや,3620001,埼玉県上尾市上１７１１－１　上尾上店舗２階,048-770-0440,048-770-0441,グループホームささや,3620001,埼玉県上尾市上１７１１－１　上尾上店舗２階,○,○,○,○,2021/11/1,変更,1:介護サービス包括型,5
183,株式会社ささや,1121600983,2,グループホームささや,3620001,埼玉県上尾市上１７１１－１　上尾上店舗２階,048-770-0440,048-770-0441,グループホームささや　坂田１号館,3630008,埼玉県桶川市坂田１７２９－７７,×,○,○,○,2021/11/1,変更,1:介護サービス包括型,4
184,株式会社ささや,1121600983,3,グループホームささや,3620001,埼玉県上尾市上１７１１－１　上尾上店舗２階,048-770-0440,048-770-0441,グループホームささや　坂田２号館,3630008,埼玉県桶川市坂田１７１１－８,×,○,○,○,2021/11/1,変更,1:介護サービス包括型,4
337,合同会社ひだまりサロン,1122501628,1,ひだまりサロン,3591121,埼玉県所沢市元町１５番地１０号,04-2008-3780,04-2008-3780,ひだまりサロン元町,3591121,埼玉県所沢市元町１５番地１０号,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
338,合同会社ひだまりサロン,1122501628,2,ひだまりサロン,3591121,埼玉県所沢市元町１５番地１０号,04-2008-3780,04-2008-3780,サロンなごみ山口,3591145,埼玉県所沢市山口４０６番地,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,6
339,合同会社ひだまりサロン,1122501628,3,ひだまりサロン,3591121,埼玉県所沢市元町１５番地１０号,04-2008-3780,04-2008-3780,ひだまりサロン金山町,3591128,埼玉県所沢市金山町４番地１２号,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
348,合同会社ほしぞら,1122501651,3,グループホームほしぞら,3591146,埼玉県所沢市小手指南三丁目５４番地の３,09015076794,,グループホームほしぞら３号棟,3591146,埼玉県所沢市小手指南三丁目５４番地の１１,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,4
356,社会福祉法人おぶすま福祉会,1122600164,1,飯能ケアホーム,3570013,埼玉県飯能市芦苅場５７０番地３,042-974-6385,042-973-9830,飯能ケアホーム,3570013,埼玉県飯能市芦苅場５７０－３,○,○,○,○,2021/11/1,変更,1:介護サービス包括型,13
366,社会福祉法人茶の花福祉会,1122700022,2,グループホーム　さやま大樹,3501334,埼玉県狭山市狭山４７－２９,04-2955-2944,04-2955-2942,グループホームさやま大樹A,3501334,埼玉県狭山市狭山１７４－１,×,○,×,×,2021/11/1,新規,1:介護サービス包括型,5
367,社会福祉法人茶の花福祉会,1122700022,3,グループホーム　さやま大樹,3501334,埼玉県狭山市狭山４７－２９,04-2955-2944,04-2955-2942,グループホームさやま大樹B,3501334,埼玉県狭山市狭山１７４－１,×,○,×,×,2021/11/1,新規,1:介護サービス包括型,5
380,社会福祉法人茶の花福祉会,1122800244,7,グループホームもりさか大樹,3580052,埼玉県入間市森坂３－５,04-2964-4111,04-2964-4111,グループホームあらく大樹A,3580031,埼玉県入間市新久９３５－３,×,○,×,×,2021/11/1,変更,1:介護サービス包括型,5
381,社会福祉法人茶の花福祉会,1122800244,8,グループホームもりさか大樹,3580052,埼玉県入間市森坂３－５,04-2964-4111,04-2964-4111,グループホームあらく大樹B,3580031,埼玉県入間市新久９３５－３,×,○,×,×,2021/11/1,新規,1:介護サービス包括型,5
399,ソーシャルインクルー株式会社,1122800624,2,ソーシャルインクルーホーム入間上藤沢,3580013,埼玉県入間市大字上藤沢５４２－４,04-2968-9035,04-2968-9039,ソーシャルインクルーホーム入間上藤沢Ⅱ,3580013,埼玉県入間市上藤沢５４２－４,○,○,○,×,2021/11/1,変更,3:日中サービス支援型,10
410,有限会社新貴商事,1122900440,1,わおんホーム志木,3530002,埼玉県志木市中宗岡３丁目２４－９,049-214-2139,049-214-2139,わおんホームふじみ,3540014,埼玉県富士見市水谷東１丁目１８－１０,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
411,有限会社新貴商事,1122900440,2,わおんホーム志木,3530002,埼玉県志木市中宗岡３丁目２４－９,049-214-2139,049-214-2139,わおんホームふじみ２号棟,3540013,埼玉県富士見市水谷東１丁目３－３,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
412,有限会社新貴商事,1122900440,3,わおんホーム志木,3530002,埼玉県志木市中宗岡３丁目２４－９,049-214-2139,049-214-2139,わおんホーム志木,3530002,埼玉県志木市中宗岡３丁目２４－９,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
415,ＡＨＣグループ株式会社,1122900465,1,グループホームビートル鶴瀬西,3540026,埼玉県富士見市鶴瀬西３－９－１,049-265-6532,049-265-6583,グループホームビートル鶴瀬西,3540026,埼玉県富士見市鶴瀬西３－９－１,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,8
469,株式会社日本リメイク,1123101303,1,グランドわおん,3600031,埼玉県熊谷市末広３丁目２－５３－９,0120-311-484,05033986874,グランドわおんＳＵＥＨＩＲＯ,3600031,埼玉県熊谷市末広３丁目２－５３－９,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,6
470,株式会社日本リメイク,1123101303,2,グランドわおん,3600031,埼玉県熊谷市末広３丁目２－５３－９,0120-311-484,05033986874,グランドわおんＭＩＹＡＴＹＯＵ,3600041,埼玉県熊谷市宮町２丁目１５４－２,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
471,株式会社日本リメイク,1123101303,3,グランドわおん,3600031,埼玉県熊谷市末広３丁目２－５３－９,0120-311-484,05033986874,グランドわおんＩＳＨＩＨＡＲＡ,3600816,埼玉県熊谷市石原１６９－９,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,4
500,株式会社銭屋,1123286419,1,わおん障がい者グループホーム埼玉らんざん,3550213,埼玉県比企郡嵐山町川島１７５７－２,0493-81-4928,0493-81-5098,わおん障がい者グループホーム埼玉らんざん１号館,3550215,埼玉県比企郡嵐山町平沢１４８－２　１階,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
501,株式会社銭屋,1123286419,2,わおん障がい者グループホーム埼玉らんざん,3550213,埼玉県比企郡嵐山町川島１７５７－２,0493-81-4928,0493-81-5098,にゃおん障がい者グループホーム埼玉らんざん２号館,3550215,埼玉県比企郡嵐山町平沢１４８－２　２階,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
502,株式会社銭屋,1123286419,3,わおん障がい者グループホーム埼玉らんざん,3550213,埼玉県比企郡嵐山町川島１７５７－２,0493-81-4928,0493-81-5098,わおん障がい者グループホーム埼玉らんざん３号館,3550213,埼玉県比企郡嵐山町川島１７５７－２　１階,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,5
503,株式会社銭屋,1123286419,4,わおん障がい者グループホーム埼玉らんざん,3550213,埼玉県比企郡嵐山町川島１７５７－２,0493-81-4928,0493-81-5098,にゃおん障がい者グループホーム埼玉らんざん４号館,3550213,埼玉県比企郡嵐山町川島１７５７－２　２階,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,5
504,株式会社銭屋,1123286419,5,わおん障がい者グループホーム埼玉らんざん,3550213,埼玉県比企郡嵐山町川島１７５７－２,0493-81-4928,0493-81-5098,わおん障がい者グループホーム埼玉らんざん５号館,3550213,埼玉県比企郡嵐山町川島１７５７－５　１階,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
505,株式会社銭屋,1123286419,6,わおん障がい者グループホーム埼玉らんざん,3550213,埼玉県比企郡嵐山町川島１７５７－２,0493-81-4928,0493-81-5098,にゃおん障がい者グループホーム埼玉らんざん６号館,3550213,埼玉県比企郡嵐山町川島１７５７－５　２階,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
537,一般社団法人社会福祉相談センター,1123300525,1,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい,3550025,埼玉県東松山市幸町１０番４号,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
538,一般社団法人社会福祉相談センター,1123300525,3,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい原宿,3550002,埼玉県東松山市東平１７５３－１,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
539,一般社団法人社会福祉相談センター,1123300525,4,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい藤山,3550002,埼玉県東松山市大字東平字藤山前２４４９－９,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
540,一般社団法人社会福祉相談センター,1123300525,5,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい沢口町,3550004,埼玉県東松山市沢口町１５－２１,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
541,一般社団法人社会福祉相談センター,1123300525,6,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい新堀,3500262,埼玉県坂戸市新堀４９－２２,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
542,一般社団法人社会福祉相談センター,1123300525,7,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい堀込,3500263,埼玉県坂戸市堀込７９－１１,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
543,一般社団法人社会福祉相談センター,1123300525,8,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい東新堀,3500262,埼玉県坂戸市大字新堀字毛地４９番地２３,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
544,一般社団法人社会福祉相談センター,1123300525,9,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい楓ヶ丘,3500314,埼玉県比企郡鳩山町楓ケ丘３丁目１２番９号,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
545,一般社団法人社会福祉相談センター,1123300525,10,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい松葉町,3550017,埼玉県東松山市松葉町３－１２－３４,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
546,一般社団法人社会福祉相談センター,1123300525,11,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい若松町,3550037,埼玉県東松山市若松町１丁目１０８３－８６,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
547,一般社団法人社会福祉相談センター,1123300525,12,あじさい,3550025,埼玉県東松山市幸町１０番４号,049-381-5822,0493-81-5823,あじさい高坂,3550047,埼玉県東松山市高坂１９１５－２８,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
557,ソーシャルインクルー株式会社,1123300640,1,ソーシャルインクルーホーム東松山箭弓町,3550028,埼玉県東松山市箭弓町１丁目２０番１号,0493-81-3586,0493-81-3589,ソーシャルインクルーホーム東松山箭弓町Ⅰ,3550028,埼玉県東松山市箭弓町１丁目２０番１号,○,○,○,×,2021/11/1,新規,3:日中サービス支援型,10
580,社会福祉法人一麦福祉会,1123800359,1,グループホームわかぎ,3470103,埼玉県加須市牛重１３４９番地１,0480-38-6875,0480-38-6875,グループホームわかぎ,3470103,埼玉県加須市牛重１３４９番地１,×,○,×,×,2021/11/1,変更,1:介護サービス包括型,7
592,株式会社たまご,1123800565,1,グループホームPiu piu,3470044,埼玉県加須市礼羽１７１－６,048-579-5150,048-579-5150,グループホームPiu piu,3470044,埼玉県加須市礼羽１７１－６,×,○,○,○,2021/11/1,新規,1:介護サービス包括型,4
622,特定非営利活動法人色えんぴつ,1123900423,1,色えんぴつグループホーム海,3480064,埼玉県羽生市大字藤井上組１３８２番地１１,048-563-1708,048-578-8333,色えんぴつグループホーム海,3480064,埼玉県羽生市大字藤井上組１３８２番地１１,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,4
623,特定非営利活動法人色えんぴつ,1123900423,2,色えんぴつグループホーム海,3480064,埼玉県羽生市大字藤井上組１３８２番地１１,048-563-1708,048-578-8333,グループホーム空,3480017,埼玉県羽生市今泉７６２番地２,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,7
652,株式会社井上総合研究所,1124266899,1,グループホーム　ハナハナ,3670241,埼玉県児玉郡神川町元原２６番地１,09093835724,0494-23-2193,ハナハナ　ミモザ館,3670241,埼玉県児玉郡神川町元原２６番地１,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,5
730,株式会社ふくふく,1124601061,1,よつば,3660035,埼玉県深谷市原郷４１２番地３,048-580-6531,048-580-6571,よつば１,3660035,埼玉県深谷市原郷４１２番地３,×,○,○,×,2021/11/1,変更,1:介護サービス包括型,10
733,特定非営利活動法人あいの森,1124601087,1,グループホームあいの森,3660042,埼玉県深谷市東方町２－６－３,048-598-8852,048-598-8853,グループホームあいの森,3660042,埼玉県深谷市東方町２－６－３,○,○,○,×,2021/11/1,変更,1:介護サービス包括型,10
823,株式会社あずいず,1126000544,1,みらい,3500226,埼玉県坂戸市本町１番１１号,08024061743,049-298-6659,みらい,3500226,埼玉県坂戸市本町１番１１号,×,○,○,×,2021/11/1,新規,1:介護サービス包括型,4
56,ソーシャルインクルー株式会社,1120601495,1,ソーシャルインクルーホーム春日部南中曽根,3440048,埼玉県春日部市南中曽根６３３－１,048-795-7137,048-795-7157,ソーシャルインクルーホーム春日部南中曽根Ⅰ,3440048,埼玉県春日部市南中曽根６３３－１,○,○,○,×,2021/10/1,変更,3:日中サービス支援型,10
57,ソーシャルインクルー株式会社,1120601495,2,ソーシャルインクルーホーム春日部南中曽根,3440048,埼玉県春日部市南中曽根６３３－１,048-795-7137,048-795-7157,ソーシャルインクルーホーム春日部南中曽根Ⅱ,3440048,埼玉県春日部市南中曽根６３３－１,○,○,○,×,2021/10/1,変更,3:日中サービス支援型,10
177,株式会社家集,1121600959,1,グループホームごらく,3620021,埼玉県上尾市原市1282-21,048-876-8337,,グループホームごらく丸山,3620021,埼玉県上尾市原市1282-21,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,5
178,株式会社家集,1121600959,2,グループホームごらく,3620021,埼玉県上尾市原市1282-21,048-876-8337,,グループホームごらく上尾井戸木,3620071,埼玉県上尾市井戸木２丁目１６－５,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,7
179,株式会社家集,1121600959,3,グループホームごらく,3620021,埼玉県上尾市原市1282-21,048-876-8337,,グループホームごらく北上尾,3620015,埼玉県上尾市緑丘３丁目４－３９,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,5
214,株式会社リスコット,1121700650,1,緑生の丘,3690131,埼玉県鴻巣市袋６６７番６,048-579-5207,,緑生の丘　1号館,3690131,埼玉県鴻巣市袋６６７番６,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,4
215,株式会社リスコット,1121700650,2,緑生の丘,3690131,埼玉県鴻巣市袋６６７番６,048-579-5207,,緑生の丘　２号館,3690131,埼玉県鴻巣市袋９２０番１４,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,4
216,株式会社リスコット,1121700650,3,緑生の丘,3690131,埼玉県鴻巣市袋６６７番６,048-579-5207,,緑生の丘　３号館,3690131,埼玉県鴻巣市袋６６６－１６,×,○,○,×,2021/10/1,新規,1:介護サービス包括型,4
239,株式会社ミライエ,1121801003,1,ぱあとなあ,3400034,埼玉県草加市氷川町６３３－１４,048-947-6114,048-947-6114,ぱあとなあHikawa,3400034,埼玉県草加市氷川町６３３－１４,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,4
241,株式会社ミライエ,1121801003,3,ぱあとなあ,3400034,埼玉県草加市氷川町６３３－１４,048-947-6114,048-947-6114,ぱあとなあSoka-nishicho Ⅰ,3400035,埼玉県草加市西町９６０－６,×,○,○,×,2021/10/1,新規,1:介護サービス包括型,3
242,株式会社ミライエ,1121801003,4,ぱあとなあ,3400034,埼玉県草加市氷川町６３３－１４,048-947-6114,048-947-6114,ぱあとなあSoka-nishichoⅡ,3400035,埼玉県草加市西町９６０－１,×,○,○,×,2021/10/1,新規,1:介護サービス包括型,3
268,株式会社ChanceMake,1121900755,1,オープン・ハート戸田,3350031,埼玉県戸田市美女木１－４－１７,048-423-5810,048-423-5864,オープンハート・戸田,3350031,埼玉県戸田市美女木１－４－１７,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,5
269,株式会社ChanceMake,1121900755,2,オープン・ハート戸田,3350031,埼玉県戸田市美女木１－４－１７,048-423-5810,048-423-5864,オープン・ハート川口,3330866,埼玉県川口市芝２－９－２,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,5
270,株式会社ChanceMake,1121900755,3,オープン・ハート戸田,3350031,埼玉県戸田市美女木１－４－１７,048-423-5810,048-423-5864,オープン・ハート戸田公園,3350027,埼玉県戸田市氷川町１－５－７,×,○,○,×,2021/10/1,新規,1:介護サービス包括型,7
309,社会福祉法人ゆうき福祉会,1122500950,1,グループホーム　すだち,3590014,埼玉県所沢市大字亀ケ谷字谷里２７０番６,04-2941-3179,04-2941-3189,グループホーム　すだち,3590014,埼玉県所沢市亀ケ谷字谷里２７０番６,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,7
310,社会福祉法人ゆうき福祉会,1122500950,2,グループホーム　すだち,3590014,埼玉県所沢市大字亀ケ谷字谷里２７０番６,04-2941-3179,04-2941-3189,グループホーム　すだちⅡ,3590014,埼玉県所沢市亀ケ谷字谷里２７０番３,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,10
382,社会福祉法人羽搏会,1122800319,1,グループホーム雉鳩,3580026,埼玉県入間市小谷田７０７－９,04-2964-0124,04-2962-0506,グループホーム雉鳩,3580026,埼玉県入間市小谷田７０７－９,○,○,○,○,2021/10/1,変更,1:介護サービス包括型,7
383,社会福祉法人羽搏会,1122800319,2,グループホーム雉鳩,3580026,埼玉県入間市小谷田７０７－９,04-2964-0124,04-2962-0506,グループホーム雉鳩２９９,3580026,埼玉県入間市小谷田２－２－１８,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,20
413,ソーシャルインクルー株式会社,1122900457,1,ソーシャルインクルーホーム富士見鶴馬,3540021,埼玉県富士見市鶴馬１丁目７番３２号,049-293-9273,049-293-9274,ソーシャルインクルーホーム富士見鶴馬Ⅰ,3540021,埼玉県富士見市鶴馬１丁目７番３２号,○,○,○,×,2021/10/1,変更,3:日中サービス支援型,10
414,ソーシャルインクルー株式会社,1122900457,2,ソーシャルインクルーホーム富士見鶴馬,3540021,埼玉県富士見市鶴馬１丁目７番３２号,049-293-9273,049-293-9274,ソーシャルインクルーホーム富士見鶴馬Ⅱ,3540021,埼玉県富士見市鶴馬１丁目７番３２号,○,○,○,×,2021/10/1,変更,3:日中サービス支援型,10
418,ソーシャルインクルー株式会社,1123000141,1,ソーシャルインクルーホームふじみ野長宮,3560022,埼玉県ふじみ野市長宮１丁目３－８,049-293-3528,049-293-3532,ソーシャルインクルーホームふじみ野長宮Ⅰ,3560022,埼玉県ふじみ野市長宮１丁目３－８,○,○,○,×,2021/10/1,変更,3:日中サービス支援型,10
419,ソーシャルインクルー株式会社,1123000141,2,ソーシャルインクルーホームふじみ野長宮,3560022,埼玉県ふじみ野市長宮１丁目３－８,049-293-3528,049-293-3532,ソーシャルインクルーホームふじみ野長宮Ⅱ,3560022,埼玉県ふじみ野市長宮１丁目３－８,○,○,○,×,2021/10/1,変更,3:日中サービス支援型,10
420,ユアライフ株式会社,1123000158,1,ウインドワン,3560050,埼玉県ふじみ野市ふじみ野３丁目１０－３８,05053293510,05036063220,ウインドワンふじみ野,3560050,埼玉県ふじみ野市ふじみ野３丁目１０－３８,×,○,○,×,2021/10/1,新規,1:介護サービス包括型,4
456,一般社団法人ウィズみらい,1123101188,1,グループホーム　みらい,3600014,埼玉県熊谷市箱田七丁目３番１１号,048-501-1180,048-501-1181,グループホーム　みらい,3600014,埼玉県熊谷市箱田七丁目３番１１号１０３、１０４、２０４,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,7
457,一般社団法人ウィズみらい,1123101188,2,グループホーム　みらい,3600014,埼玉県熊谷市箱田七丁目３番１１号,048-501-1180,048-501-1181,グループホーム　みらい2,3600014,埼玉県熊谷市箱田七丁目３番１１号２０２、３０３、３０４,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,7
462,株式会社ヒューライフコーポレーション,1123101261,1,エルシェアートfan籠原,3600846,埼玉県熊谷市拾六間１０６７番,048-532-5632,048-578-5017,エルシェアートfan籠原,3600846,埼玉県熊谷市拾六間１０６７番,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,18
466,Gift Your Life株式会社,1123101287,3,グループホームわおんライフ埼玉,3600815,埼玉県熊谷市本石２丁目３１０番地２,048-578-4339,048-578-5037,グループホームわおんライフ熊谷広瀬,3600833,埼玉県熊谷市広瀬３４４番１９,×,○,○,×,2021/10/1,新規,1:介護サービス包括型,4
472,合同会社Tsumugu,1123101311,1,ぽかぽか障害福祉事業所,3600112,埼玉県熊谷市樋春１９８４－１１,0485-94-9542,0485-94-9542,ぽかぽか埼玉１,3600112,埼玉県熊谷市樋春１９８４－１１,×,○,○,×,2021/10/1,新規,1:介護サービス包括型,7
476,社会福祉法人いずみ会,1123271510,1,ケアホームいずみ,3550031,埼玉県東松山市五領町４－１,0493-81-4023,0493-81-4024,ケアホームリヴェール,3550031,埼玉県東松山市五領町４－１,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,9
477,社会福祉法人いずみ会,1123271510,3,ケアホームいずみ,3550031,埼玉県東松山市五領町４－１,0493-81-4023,0493-81-4024,ケアホームエアージュ,3550031,埼玉県東松山市五領町４－５,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,9
478,社会福祉法人いずみ会,1123271510,4,ケアホームいずみ,3550031,埼玉県東松山市五領町４－１,0493-81-4023,0493-81-4024,新宿町ホーム,3550032,"埼玉県東松山市新宿町19-7101号,102号,103号,201号,203号",×,○,×,×,2021/10/1,変更,1:介護サービス包括型,7
481,社会福祉法人滑川珠美園,1123286021,1,ひまわりホーム,3550018,埼玉県東松山市松山町２丁目９－１１,0493-56-3971,0493-56-5967,ひまわり荘,3550018,埼玉県東松山市松山町２丁目９－１１,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,7
550,合同会社オリーブ,1123300590,3,グループホームひまわり,3550076,埼玉県東松山市下唐子１９８３番地７,0493-55-1495,0493-77-4918,グループホームひまわり　みなみ野Ⅱ,3550814,埼玉県比企郡滑川町みなみ野２丁目１２番地６　グリーンハウス２０１,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,5
590,ハッピーホールディングス株式会社,1123800540,1,グローバルホーム３,3470014,埼玉県加須市川口３丁目５－３,0480-47-0157,0480-47-0158,グローバルホーム加須,3470014,埼玉県加須市川口３丁目５－３,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,8
