ID,施設・サービス名,種類名,タグ,障害福祉サービス等事業所番号,法人の名称,事業所名カナ,郵便番号,所在地,指定年月日,電話番号,FAX番号,移動・地域活動支援事業所番号,地域活動支援事業の定員,法人の種類,身体,知的,精神,難病,障害児,給食,入浴,送迎
23900110002191,にじ色ハウス,共同生活援助,守山,2327600355,合同会社ピュアスマイル,ニジイロハウス,463-0002,愛知県名古屋市守山区大字中志段味字大洞口2741番地の8,2021/8/1,052-750-2598,052-720-0735,,,営利法人,,,,,,,,
23900110002657,障害者グループホームなの花畑,共同生活援助,緑,2328500166,社会福祉法人貴愛会,ショウガイシャグループホームナノハナバタケ,458-0849,愛知県名古屋市緑区大清水東306番地,2021/8/1,052-879-4976,052-879-4922,,,社会福祉法人（社協以外）,,,,,,,,
23900110003624,憩い,共同生活援助,北,2327300261,有限会社愛東住郷,イコイ,462-0015,愛知県名古屋市北区中味鋺二丁目939番地,2021/7/1,070-8399-2169,052-601-7016,,,営利法人,,,,,,,,
23900110000324,まごころの杜ＤＲ．ＩＷＡＯグループホーム名古屋1,共同生活援助,中村,2320100296,医療法人陽明会,マゴコロノモリドクターイワオグループホームナゴヤイチ,453-0855,愛知県名古屋市中村区烏森町1丁目57番地,2021/6/1,052-526-5125,052-526-5126,,,医療法人,,,,,,,,
23900110001817,キツラノホーム,共同生活援助,瑞穂,2321400109,株式会社幸栄,キツラノホーム,467-0004,愛知県名古屋市瑞穂区松月町3丁目48番地の3,2021/6/1,052-718-4013,052-718-4013,,,営利法人,,,,,,,,
23900110000943,Ｇｉｆｔしおがま,共同生活援助,天白,2326400252,株式会社アンプル,ギフトシオガマ,468-0073,愛知県名古屋市天白区塩釜口一丁目825番地の1　プリマ塩釜3012号室,2021/6/1,052-808-9500,052-800-8701,,,営利法人,,,,,,,,
23900110002229,グループホームそよ風,共同生活援助,天白,2326400260,合同会社ラファール,グループホームソヨカゼ,468-0836,愛知県名古屋市天白区相川一丁目18番地の1,2021/6/1,050-3578-9292,052-308-1530,,,営利法人,,,,,,,,
23900110000330,グループホーム　リバンス,共同生活援助,守山,2327600330,一般社団法人　まごころ福祉会,グループホーム リバンス,463-0036,愛知県名古屋市守山区向台三丁目1204番地,2021/5/1,052-778-8400,052-307-4380,,,社団・財団,,,,,,,,
23900110003720,暮らしっく,共同生活援助,名東,2328000167,絆プロジェクト株式会社,クラシック,465-0086,愛知県名古屋市名東区代万町2丁目58番地の3,2021/5/1,052-784-6410,052-784-6411,,,営利法人,,,,,,,,
23900110000425,みんなのいえ,共同生活援助,中村,2320100288,一般社団法人なごや障がい者サポート協会,ミンナノイエ,453-0014,愛知県名古屋市中村区則武二丁目26番19号,2021/4/1,052-433-7771,052-433-7772,,,社団・財団,,,,,,,,
23900110001596,ＮＥＸＵＳ枇杷島,共同生活援助(日中サービス支援型),西,2320200161,株式会社マザーズ,ネクサスビワジマ,451-0053,愛知県名古屋市西区枇杷島二丁目19番39号,2021/4/1,052-325-3322,052-325-3323,,,営利法人,,,,,,,,
23900110000381,グループホームいこい,共同生活援助,天白,2326400245,一般社団法人いこい,グループホームイコイ,468-0003,愛知県名古屋市天白区鴻の巣二丁目801番地　ドミール藤治101号,2021/4/1,052-875-4151,052-875-4152,,,社団・財団,,,,,,,,
23900110000244,クライスハイム名古屋事業所,共同生活援助,千種,2327100133,ミナノワ株式会社,クライスハイムナゴヤジギョウショ,464-0850,愛知県名古屋市千種区今池二丁目19番8号,2021/4/1,052-439-6350,052-439-6351,,,営利法人,,,,,,,,
23900110001632,たまねぎ,共同生活援助,北,2327300253,株式会社みんなの福祉村,タマネギ,462-0011,愛知県名古屋市北区五反田町140番地の1,2021/4/1,052-508-7620,052-508-7620,,,営利法人,,,,,,,,
23900110001909,ピースハウス,共同生活援助,守山,2327600306,株式会社未来サポート,ピースハウス,463-0008,愛知県名古屋市守山区小幡北2520番地,2021/4/1,052-737-8152,052-737-8152,,,営利法人,,,,,,,,
23900110000619,ＡＧ　Ｈｏｕｓｅ,共同生活援助,守山,2327600314,株式会社ＡＧ,エージーハウス,463-0035,愛知県名古屋市守山区森孝一丁目1717番地,2021/4/1,052-526-2004,052-308-3485,,,営利法人,,,,,,,,
23900110001809,グループホームゆうＡ,共同生活援助,守山,2327600322,株式会社結,グループホームユウエー,463-0023,愛知県名古屋市守山区今尻町1209番地,2021/4/1,052-737-6667,052-737-6670,,,営利法人,,,,,,,,
23900110003014,春夏秋冬,共同生活援助,名東,2328000159,特定非営利活動法人Ｈａｎｄｓ,シュンカシュウトウ,465-0051,愛知県名古屋市名東区社が丘二丁目602番地　3Ｆ,2021/4/1,052-705-6667,052-433-8585,,,非営利法人（NPO）,,,,,,,,
23900110000245,みらいろほーむ黒沢台,共同生活援助,緑,2328500158,みらいろ株式会社,ミライロホームクロサワダイ,458-0003,愛知県名古屋市緑区黒沢台三丁目833番地,2021/4/1,052-680-9338,052-680-9339,,,営利法人,,,,,,,,
23900110001030,ウィズ,共同生活援助,中村,2320100270,株式会社エバーアフター,ウィズ,453-0044,愛知県名古屋市中村区鳥居通4丁目16番地　3F,2021/3/1,052-433-9399,052-433-9399,,,営利法人,,,,,,,,
23900110000091,マイホーム,共同生活援助,港,2321200186,ヴァンライズ有限会社,マイホーム,455-0051,愛知県名古屋市港区中川本町5丁目1番地の1,2021/3/1,090-5459-3178,052-301-3069,,,営利法人,,,,,,,,
23900110001821,よこいの家,共同生活援助,中村,2320100262,株式会社志穏,ヨコイノイエ,453-0866,愛知県名古屋市中村区横井一丁目69番地　102号室,2021/2/1,052-700-9602,052-700-9617,,,営利法人,,,,,,,,
23900110003346,虹望寮�V,共同生活援助,守山,2327600298,特定非営利活動法人虹望会,コウボウリョウスリー,463-0067,愛知県名古屋市守山区守山三丁目2番52号,2021/2/1,052-791-1839,050-5116-7397,,,非営利法人（NPO）,,,,,,,,
23900110000099,ウェルホーム２４,共同生活援助,中村,2320100254,ウェルフェア２４合同会社,ウェルホームニジュウヨン,453-0828,愛知県名古屋市中村区中村本町3丁目33番地の2,2021/1/1,052-766-7024,052-766-3371,,,営利法人,,,,,,,,
23900110002074,グループホームＪＯＹ�V,共同生活援助,天白,2326400237,合同会社Ｒｈｙｚｍ,グループホームジョイスリー,468-0012,愛知県名古屋市天白区向が丘三丁目1012番地　メイワマンション101号,2021/1/1,052-875-5922,072-237-1134,,,営利法人,,,,,,,,
23900110002225,障害者グループホームライフアップ,共同生活援助,南,2328100181,合同会社ライフアップ,ショウガイシャグループホームライフアップ,457-0805,愛知県名古屋市南区三吉町2丁目20番地,2021/1/1,052-611-5578,052-611-5578,,,営利法人,,,,,,,,
23900110000831,障がい者グループホーム　ＳＵＮＳ名古屋,共同生活援助,中村,2320100247,株式会社ＳＵＮＳ,ショウガイシャグループホーム SUNSナゴヤ,453-0057,愛知県名古屋市中村区稲葉地本通1丁目33番地,2020/12/1,052-887-6428,052-887-6428,,,営利法人,,,,,,,,
23900110003271,グループホームひなた�W,共同生活援助,中川,2321300358,特定非営利活動法人ライフパートナー,グループホームヒナタフォー,454-0941,愛知県名古屋市中川区前田西町二丁目402番地,2020/12/1,052-364-6272,052-364-6273,,,非営利法人（NPO）,,,,,,,,
23900110001618,みらいえ名古屋,共同生活援助,名東,2328000142,株式会社ミクルライフサポート,ミライエナゴヤ,465-0053,愛知県名古屋市名東区極楽二丁目92番地,2020/12/1,052-977-7607,052-977-7607,,,営利法人,,,,,,,,
23900110000833,障がい者グループホームＳＵＮＳ,共同生活援助,中村,2320100239,株式会社ＳＵＮＳ,ショウガイシャグループホームサンズ,453-0863,愛知県名古屋市中村区八社一丁目133番地　ensoleill八社Ｄ棟,2020/11/1,052-887-6428,052-887-6428,,,営利法人,,,,,,,,
23900110001220,リボンハウス,共同生活援助,名東,2328000134,株式会社ジョイフルハーツ,リボンハウス,465-0095,愛知県名古屋市名東区高社一丁目16番地　東昭ビル　312,2020/11/1,052-778-1238,052-308-8295,,,営利法人,,,,,,,,
23900110001510,ひまわりの家,共同生活援助,中村,2320100221,株式会社ひまわり,ヒマワリノイエ,453-0061,愛知県名古屋市中村区日比津町3丁目1番22号,2020/10/1,052-990-7773,052-990-7772,,,営利法人,,,,,,,,
23900110001828,順風の家,共同生活援助,西,2320200146,株式会社順風の里,ジュンプウノイエ,451-0021,愛知県名古屋市西区天塚町1丁目12番地,2020/10/1,080-3675-8050,052-935-8050,,,営利法人,,,,,,,,
23900110000996,グランエミシス上小田井,共同生活援助(日中サービス支援型),西,2320200153,株式会社エイルサポート,グランエミシスカミオタイ,452-0843,愛知県名古屋市西区平中町2番地の2,2020/10/1,052-750-1010,052-750-1011,,,営利法人,,,,,,,,
23900110000364,グループホームさくら,共同生活援助,中川,2321300341,一般社団法人あいち障がい者・高齢者地域生活支援機構,グループホームサクラ,454-0957,愛知県名古屋市中川区かの里二丁目701番地　県営包里住宅3棟115号室,2020/10/1,052-269-8228,052-269-8221,,,社団・財団,,,,,,,,
23900110001757,グループホームワンズ植田山,共同生活援助,天白,2326400211,株式会社ワンズ,グループホームワンズウエダヤマ,468-0001,愛知県名古屋市天白区植田山一丁目308番地,2020/10/1,052-715-7907,052-715-7908,,,営利法人,,,,,,,,
23900110002389,障害者グループホーム大,共同生活援助,守山,2327600280,社会福祉法人１９８０,ショウガイシャグループホームヒロ,463-0093,愛知県名古屋市守山区城土町373番地の1,2020/10/1,052-737-1135,052-737-1135,,,社会福祉法人（社協以外）,,,,,,,,
23900110000017,みるふぃーゆ香流,共同生活援助(日中サービス支援型),名東,2328000126,ICC・I株式会社,ミルフィーユカナレ,465-0004,愛知県名古屋市名東区香南一丁目405番地,2020/10/1,052-737-4445,052-737-4446,,,営利法人,,,,,,,,
23900110000009,フォルテシモ,共同生活援助,緑,2328500141,FFサポート株式会社,フォルテシモ,458-0031,愛知県名古屋市緑区旭出二丁目1308番地,2020/10/1,052-846-2034,052-308-5067,,,営利法人,,,,,,,,
23900110002149,たいよう,共同生活援助,港,2321200178,合同会社たいよう,タイヨウ,455-0055,愛知県名古屋市港区品川町2丁目45番地の8,2020/9/1,052-880-8702,052-880-8702,,,営利法人,,,,,,,,
23900110000046,フォルトゥーナ,共同生活援助,中川,2321300333,ＳＴＡＹＧＯＬＤ株式会社,フォルトゥーナ,454-0954,愛知県名古屋市中川区江松一丁目1707番地,2020/9/1,052-303-7077,052-303-7077,,,営利法人,,,,,,,,
23900110002494,グループホーム凪の丘,共同生活援助,守山,2327600272,社会福祉法人ひまわり福祉会,グループホームナギノオカ,463-0031,愛知県名古屋市守山区本地が丘1202番地の1,2020/9/1,080-7211-1978,0561-53-9520,,,社会福祉法人（社協以外）,,,,,,,,
23900110001645,花は花グループホーム,共同生活援助,熱田,2321100048,株式会社メディケア,ハナハハナグループホーム,456-0068,愛知県名古屋市熱田区神野町1丁目85番地,2020/8/1,052-717-7123,052-717-7123,,,営利法人,,,,,,,,
23900110001797,グループホームふわふわ港,共同生活援助,港,2321200160,株式会社恵,グループホームフワフワミナト,455-0881,愛知県名古屋市港区船頭場一丁目137番地の1,2020/8/1,052-304-8227,052-304-8228,,,営利法人,,,,,,,,
23900110002148,ソラリス,共同生活援助,中川,2321300325,合同会社ソラリス,ソラリス,454-0982,愛知県名古屋市中川区西伏屋二丁目1212番地の2,2020/8/1,052-854-6410,052-3588-6813,,,営利法人,,,,,,,,
23900110002063,Ｏｐｅｎ　Ｈｏｍｅｓ,共同生活援助,瑞穂,2321400091,合同会社ＯｐｅｎＡｒｍｓ,オープンホームズ,467-0052,愛知県名古屋市瑞穂区片坂町2丁目48番地の4,2020/8/1,080-1590-9616,052-621-0704,,,営利法人,,,,,,,,
23900110000657,エル・コンフォート表山ＮＥＸＴ,共同生活援助,天白,2326400203,株式会社ＤＩＰＰＳ,エルコンフォートオモテヤマネクスト,468-0069,愛知県名古屋市天白区表山一丁目1753番地　悠幸ビル1Ｆ,2020/8/1,052-838-7455,052-838-7455,,,営利法人,,,,,,,,
23900110000846,Ｗａｎ　Ｌｉｆｅ　Ｈａｒｍｏｎｙ,共同生活援助,緑,2328500133,株式会社Ｗａｎ　Ｌｉｆｅ　Ｈａｒｍｏｎｙ,ワンライフハーモニー,458-0014,愛知県名古屋市緑区神沢一丁目515番地,2020/8/1,050-5875-4317,020-4664-1458,,,営利法人,,,,,,,,
23900110001487,デイズグループホーム名古屋,共同生活援助,瑞穂,2321400083,株式会社ハルカデイズ,デイズグループホームナゴヤ,467-0822,愛知県名古屋市瑞穂区大喜町3丁目24番地の1,2020/7/1,052-842-4700,052-842-4700,,,営利法人,,,,,,,,
23900110001702,グループホーム和み,共同生活援助,千種,2327100125,株式会社ライフサポート,グループホームナゴミ,464-0008,愛知県名古屋市千種区宮根台二丁目7番5号,2020/7/1,052-886-0142,052-886-0142,,,営利法人,,,,,,,,
23900110002102,グループホーム　エールダンジュ,共同生活援助,守山,2327600264,合同会社エール,グループホーム エールダンジュ,463-0036,愛知県名古屋市守山区向台二丁目2505番地の4,2020/7/1,052-726-9191,052-737-4223,,,営利法人,,,,,,,,
23900110002881,ふきあげグループホーム,共同生活援助,瑞穂,2321400075,社会福祉法人名古屋手をつなぐ育成会,フキアゲグループホーム,467-0015,愛知県名古屋市瑞穂区十六町2丁目47番地の1　十六町テラスハウス東側,2020/6/1,052-841-1558,052-841-1558,,,社会福祉法人（社協以外）,,,,,,,,
23900110003144,スポＮＡＧＯレジデンス,共同生活援助,中,2326100035,特定非営利活動法人スポＮＡＧＯネクスト,スポナゴレジデンス,460-0003,愛知県名古屋市中区錦二丁目13番27号　アゼット第3ビル3階,2020/6/1,052-211-7410,052-211-7410,,,非営利法人（NPO）,,,,,,,,
23900110001801,グループホームふわふわ天白,共同生活援助,天白,2326400195,株式会社恵,グループホームフワフワテンパク,468-0024,愛知県名古屋市天白区大根町33番地,2020/6/1,052-680-7287,052-680-7288,,,営利法人,,,,,,,,
23900110002854,名身連グループホーム中村,共同生活援助,中村,2320100205,社会福祉法人名古屋市身体障害者福祉連合会,メイシンレングループホームナカムラ,453-0848,愛知県名古屋市中村区荒輪井町1丁目14番地　名身連あらわいセンター内,2020/5/1,052-526-0393,052-526-1748,,,社会福祉法人（社協以外）,,,,,,,,
23900110003131,博愛の宿　規俊荘,共同生活援助,中村,2320100213,特定非営利活動法人ささしまサポートセンター,ハクアイノヤド キシュンソウ,453-0069,愛知県名古屋市中村区橋下町3番18号,2020/5/1,052-888-5658,052-888-5658,,,非営利法人（NPO）,,,,,,,,
23900110000742,GH SURPASS,共同生活援助,中川,2321300317,株式会社IR,ジーエイチ サーパス,454-0981,愛知県名古屋市中川区吉津二丁目209番地の3　2F,2020/5/1,052-485-5788,052-431-1081,,,営利法人,,,,,,,,
23900110001594,NEXUS岩塚,共同生活援助(日中サービス支援型),中村,2320100197,株式会社マザーズ,ネクサスイワツカ,453-0862,愛知県名古屋市中村区岩塚町字林高寺東29番地の1,2020/4/1,052-413-5507,052-413-5508,,,営利法人,,,,,,,,
23900110003194,指定共同生活介護なつめ,共同生活援助,港,2321200152,特定非営利活動法人バウムカウンセリングルーム,シテイキョウドウセイカツカイゴナツメ,455-0861,愛知県名古屋市港区大西一丁目92番地の2,2020/4/1,052-302-0020,052-302-0020,,,非営利法人（NPO）,,,,,,,,
23900110002654,ホームフキノトウ,共同生活援助,守山,2327600249,社会福祉法人観寿々会,ホームフキノトウ,463-0080,愛知県名古屋市守山区川西一丁目306番地,2020/4/1,052-758-0181,052-758-0181,,,社会福祉法人（社協以外）,,,,,,,,
23900110002950,町北ホーム,共同生活援助,守山,2327600256,社会福祉法人名北福祉会,マチキタホーム,463-0074,愛知県名古屋市守山区町北15番10号,2020/4/1,052-715-5533,052-715-5534,,,社会福祉法人（社協以外）,,,,,,,,
23900110001834,グループホームおやこうこう　篠原,共同生活援助(日中サービス支援型),中川,2321300309,株式会社親孝行,グループホームオヤコウコウ シノハラ,454-0833,愛知県名古屋市中川区上脇町2丁目120番地,2020/2/1,052-364-7711,052-364-7721,,,営利法人,,,,,,,,
23900110001626,アイル保呂,共同生活援助,天白,2326400187,株式会社ミトス,アイルホロ,468-0041,愛知県名古屋市天白区保呂町517番地の2,2020/2/1,052-875-8026,052-875-8036,,,営利法人,,,,,,,,
23900110003036,グループホーム癒庵,共同生活援助,北,2327300246,特定非営利活動法人アヴェニール,グループホームユアン,462-0016,愛知県名古屋市北区西味鋺三丁目618番地,2020/1/1,052-982-8525,052-982-8526,,,非営利法人（NPO）,,,,,,,,
23900110000399,ココイク名東本通,共同生活援助,名東,2328000118,一般社団法人こころすみか,ココイクメイトウホンドオリ,465-0087,愛知県名古屋市名東区名東本通3丁目9番地,2020/1/1,052-715-7717,052-715-7717,,,社団・財団,,,,,,,,
23900110000142,ウィードフラワー名古屋,共同生活援助,緑,2328500125,ギブアンドギブ合同会社,ウィードフラワーナゴヤ,458-0013,愛知県名古屋市緑区ほら貝一丁目237番地の2,2019/12/1,052-846-4159,052-307-4555,,,営利法人,,,,,,,,
23900110001819,みらいのたね名古屋,共同生活援助,中川,2321300291,株式会社黒たまごジャパン,ミライノタネナゴヤ,454-0962,愛知県名古屋市中川区戸田三丁目1407番地,2019/11/1,052-748-0668,052-748-0668,,,営利法人,,,,,,,,
23900110001693,コミュニティライフ植田,共同生活援助,天白,2326400179,株式会社ライフ,コミュニティライフウエダ,468-0009,愛知県名古屋市天白区元植田二丁目1610番地,2019/11/1,052-746-0020,052-746-0021,,,営利法人,,,,,,,,
23900110000976,ＢＬＵＥ　ＳＫＹ,共同生活援助,北,2327300238,株式会社ウィング,ブルースカイ,462-0022,愛知県名古屋市北区川中町6番36号,2019/11/1,052-533-9133,052-533-9122,,,営利法人,,,,,,,,
23900110001246,あしたば,共同生活援助,中川,2321300275,株式会社セイブ,アシタバ,454-0997,愛知県名古屋市中川区万場三丁目1312番地の2,2019/10/1,052-432-2322,052-432-1013,,,営利法人,,,,,,,,
23900110002162,方丈庵,共同生活援助,中川,2321300283,合同会社にんぷう舎,ホウジョウアン,454-0981,愛知県名古屋市中川区吉津一丁目908番地　ビラージュA1・102号室,2019/10/1,052-462-8446,052-462-8447,,,営利法人,,,,,,,,
23900110001022,グランエミシス新守山,共同生活援助(日中サービス支援型),守山,2327600231,株式会社エナジィー,グランエミシスシンモリヤマ,463-0070,愛知県名古屋市守山区新守山1516番地,2019/10/1,052-737-8834,052-737-8835,,,営利法人,,,,,,,,
23900110003693,寛政の家,共同生活援助,港,2321200145,有限会社菩提,カンセイノイエ,455-0066,愛知県名古屋市港区寛政町7丁目3番地,2019/8/1,052-387-7006,052-387-7006,,,営利法人,,,,,,,,
23900110003303,フランシール,共同生活援助,中川,2321300267,特定非営利活動法人花の樹,フランシール,454-0953,愛知県名古屋市中川区富田町大字榎津字郷北1807番地の1,2019/8/1,052-655-5427,052-655-5428,,,非営利法人（NPO）,,,,,,,,
23900110003334,日向,共同生活援助,緑,2328500117,特定非営利活動法人地域共生とうかい,ヒナタ,459-8001,愛知県名古屋市緑区大高町字元屋敷5番地の5,2019/8/1,052-888-5800,052-888-5801,,,非営利法人（NPO）,,,,,,,,
23900110003270,グループホーム　ひなた�V,共同生活援助,中川,2321300259,特定非営利活動法人ライフパートナー,グループホーム ヒナタ3,454-0943,愛知県名古屋市中川区大当郎三丁目2501番地,2019/6/1,052-387-5535,052-387-5536,,,非営利法人（NPO）,,,,,,,,
23900110001869,あかり,共同生活援助,南,2328500109,株式会社燈,アカリ,457-0841,愛知県名古屋市南区豊田一丁目14番10号,2019/6/1,052-898-4152,052-307-3307,,,営利法人,,,,,,,,
23900110000515,共同生活援助事業所キャン,共同生活援助,中川,2321300242,一般社団法人福祉のチカラ,キョウドウセイカツエンジョジギョウショキャン,454-0877,愛知県名古屋市中川区八田町1709番地　SKYマンション八田101,2019/5/1,052-398-6234,052-398-6234,,,社団・財団,,,,,,,,
23900110003187,ナチュラルホーム,共同生活援助,天白,2326400153,特定非営利活動法人ナチュラル,ナチュラルホーム,468-0045,愛知県名古屋市天白区野並四丁目22番地の1,2019/5/1,052-875-8877,052-875-8877,,,非営利法人（NPO）,,,,,,,,
23900110000856,グループホームＬＩＦＥ　ＯＮ,共同生活援助,天白,2326400161,株式会社ＷＯＲＫ　ＯＮ,グループホームライフオン,468-0014,愛知県名古屋市天白区中平三丁目2305番地,2019/5/1,052-846-6586,052-846-6587,,,営利法人,,,,,,,,
23900110001914,ふくろうテラス,共同生活援助,中川,2321300234,株式会社名学館ホールディングス,フクロウテラス,454-0014,愛知県名古屋市中川区柳川町8番6号,2019/4/1,052-307-7272,052-728-0173,,,営利法人,,,,,,,,
23900110003450,地域生活支援しっぽの家,共同生活援助,東,2327200065,有限会社ＡＡｍｎ,チイキセイカツシエンシッポノイエ,461-0001,愛知県名古屋市東区泉二丁目20番26号　ＡＡビル2階3階,2019/4/1,052-937-8367,052-852-5830,,,営利法人,,,,,,,,
23900110000418,グループホームたんぽぽ,共同生活援助,守山,2327600223,一般社団法人たんぽぽ,グループホームタンポポ,463-0068,愛知県名古屋市守山区瀬古三丁目142番地,2019/4/1,052-768-6977,052-768-6978,,,社団・財団,,,,,,,,
23900110001799,グループホームふわふわ守山,共同生活援助,守山,2327600215,株式会社恵,グループホームフワフワモリヤマ,463-0001,愛知県名古屋市守山区大字上志段味字道光331番地,2019/3/1,052-726-6131,052-726-6132,,,営利法人,,,,,,,,
23900110000252,サニーホーム,共同生活援助,緑,2328500091,ラフテル株式会社,サニーホーム,458-0025,愛知県名古屋市緑区鳥澄三丁目1818番地,2019/3/1,052-805-6260,052-805-6265,,,営利法人,,,,,,,,
23900110003192,指定共同生活介護すみれ,共同生活援助,中川,2321300226,特定非営利活動法人バウムカウンセリングルーム,シテイキョウドウセイカツカイゴスミレ,454-0954,愛知県名古屋市中川区江松四丁目650番地,2019/2/1,052-665-6690,052-665-6690,,,非営利法人（NPO）,,,,,,,,
23900110001766,ケアホームオアシス大樹,共同生活援助,北,2327300220,株式会社医療給食,ケアホームオアシスダイジュ,462-0051,愛知県名古屋市北区中切町5丁目27番地の1,2019/2/1,052-917-0232,052-917-0233,,,営利法人,,,,,,,,
23900110000960,こだまのいえ千種南ケ丘,共同生活援助,千種,2327100117,株式会社いせむつ,コダマノイエチクサミナミガオカ,464-0042,愛知県名古屋市千種区南ケ丘1丁目7番7号　サザンヒルズＢ2階,2019/1/1,052-982-7733,052-982-6664,,,営利法人,,,,,,,,
23900110003236,MO-YA-CO　HOUSE　OONO,共同生活援助,北,2327300212,特定非営利活動法人ポパイ,モーヤーコ ハウス オオノ,462-0035,愛知県名古屋市北区大野町3丁目18番地の1,2019/1/1,052-908-3330,052-908-3330,,,非営利法人（NPO）,,,,,,,,
23900110003190,指定共同生活介護あさひ,共同生活援助,北,2327300204,特定非営利活動法人バウムカウンセリングルーム,シテイキョウドウセイカツカイゴアサヒ,462-0036,愛知県名古屋市北区長喜町3丁目13番地,2018/12/1,052-915-8899,052-915-8899,,,非営利法人（NPO）,,,,,,,,
