事業所番号,事業所名,事業所郵便番号,事業所所在地1,事業所所在地2,事業所所在地3,事業所電話,事業所FAX,指定後状態名,指定年月日,指定有効期限日,法人(設置者)名,法人(設置者)〒,法人(設置者)所在地1,法人(設置者)所在地2,法人(設置者)所在地3,法人(設置者)電話
2620681375,はあとＨｏｍｅ,6068212,京都府京都市左京区,田中里ノ内町50番地の１,,075-746-7796,075-746-7796,提供中,2017/4/1,2023/3/31,特定非営利活動法人障がい者はあとの会,6068221,京都府京都市左京区,田中西樋ノ口町２番２５,,075-722-7597
2621800289,にっこりホーム,6230011,京都府綾部市,青野町西青野２１番２,,0773-21-1423,0773-21-1423,提供中,2017/4/1,2023/3/31,（福）綾部福祉会,6230362,京都府綾部市,物部町博労坂２６番地,,0773-49-0434
2621800297,陽だまりの里さんさん上石,6230033,京都府綾部市,寺町上石２８番地の６,,0773-21-2634,0773-21-2634,提供中,2017/4/1,2023/3/31,特定非営利活動法人わいわいネットなかま,6230033,京都府綾部市,寺町上石２８番地の６,,0773-43-0012
2622600563,ホーム　あつなか,6200056,京都府福知山市,字厚中町１９８番地,,0773-22-2233,,提供中,2017/1/1,2022/12/31,社会福祉法人ふくちやま福祉会,6200928,京都府福知山市,字奥野部小字三ノ宮２５２番地,,0773-24-5245
2624181448,グループホーム　小山の家,6078142,京都府京都市山科区,東野中井ノ上町９－６７,,075-644-4290,,提供中,2016/12/1,2022/11/30,社会福祉法人オリーブの会,6078142,京都府京都市山科区,東野中井ノ上町３－３３,,075-591-4669
2624181414,グループホーム　きらっと,6078232,京都府京都市山科区,勧修寺福岡町２６５,,075-634-8166,075-634-8166,提供中,2016/9/1,2022/8/31,社会福祉法人やましなの里,6078254,京都府京都市山科区,小野高芝町５６－４,,075-575-3767
2621200852,グループホームぽかぽか,6110021,京都府宇治市,宇治米阪４４番地,,0774-23-2129,0774-23-2130,提供中,2016/6/1,2022/5/31,社会福祉法人こもれび,6110021,京都府宇治市,宇治天神１２番３,,0774-23-2129
2624181406,グループホーム　あすか,6078022,京都府京都市山科区,四ノ宮小金塚５－７３,,075-591-4048,075-591-4173,提供中,2016/6/1,2022/5/31,有限会社　アスカ,6078347,京都府京都市山科区,西野左義長町３１番地の５,,075-591-4048
2621200845,社会福祉法人同胞会　同胞の家べテル事業所グループホームたいじゅ,6110043,京都府宇治市,伊勢田町若林６１－１,,0774-20-0967,0774-20-5659,提供中,2016/5/1,2022/4/30,社会福祉法人　同胞会,6110043,京都府宇治市,伊勢田町毛語144番地１,,0774-20-6760
2622000590,菜の花ホーム,6292262,京都府与謝郡与謝野町,字岩滝１２５６,,0772-46-6880,0772-46-6881,提供中,2016/5/1,2022/4/30,社会福祉法人よさのうみ福祉会,6292314,京都府与謝郡与謝野町,岩屋600-6,,050-35320601
2621600549,グループホーム亀岡　緑のおうち,6210826,京都府亀岡市,篠町篠上中筋６０番地１,,0771-24-8221,0771-24-8221,提供中,2016/4/20,2022/4/19,特定非営利活動法人　grass-roots,6210826,京都府亀岡市,篠町篠上中筋６０番地１,,0771-24-8221
2623400393,グループホーム　１８０番地,6220051,京都府南丹市,園部町横田７号１３１　SAIコーポ,,0771-26-2122,0771-20-6621,提供中,2016/2/1,2022/1/31,株式会社　縁,6158267,京都府京都市西京区,山田北山田町32-3,,075-391-9518
2620781589,ＷＩＴＨ　京,6150001,京都府京都市右京区,西院上今田町２０番３,,075-811-2310,075-811-2310,提供中,2015/6/1,2027/5/31,社会福祉法人みやこ,6150031,京都府京都市右京区,西院高田町２０番地,,075-321-8880
2620101093,グループホームさくら,6038487,京都府京都市北区,大北山原谷乾町３０番地１０７,,075-466-6001,075-466-6002,提供中,2015/5/1,2027/4/30,株式会社ルネサンス,6038487,京都府京都市北区,大北山原谷乾町３０番地１０７,,075-466-6001
2620781522,ホーム花園,6168045,京都府京都市右京区,花園内畑町３７番地,,075-802-2721,075-802-2750,提供中,2015/4/1,2027/3/31,社会福祉法人なづな学園,6050877,京都府京都市東山区,渋谷通大和大路東入二丁目上新シ町３７２番地,,075-561-3355
2620781563,グループホームぷらり,6150055,京都府京都市右京区,西院西田町１９番,,075-321-6600,075-321-6600,提供中,2015/4/1,2027/3/31,公益社団法人京都市身体障害児者父母の会連合会,6150882,京都府京都市右京区,西京極葛野町２,,075-321-6902
2623300387,グループホームメロス,6293102,京都府京丹後市,網野町下岡６０９－２,,0772-72-3100,0772-72-3120,提供中,2015/4/1,2027/3/31,株式会社高天の森,6293102,京都府京丹後市,網野町下岡796,,0772-72-6150
2620881173,アイアイホーム,6050837,京都府京都市東山区,新宮川筋五条上る二丁目山田町５００番２,,075-561-2771,075-561-2776,提供中,2015/2/16,2027/2/15,社会福祉法人アイアイハウス,6038226,京都府京都市北区,紫野西舟岡町１０番地１,,075-414-8181
2620581385,ＳＡＭＵＲＡＩ,6018206,京都府京都市南区,久世大薮町５５７番地,ライオンズマンション向日町１００４号,075-934-5039,075-934-5039,提供中,2014/10/1,2026/9/30,株式会社ＲＥＧＥＮＤ,6018206,京都府京都市南区,久世大薮町５５７番地,ライオンズマンション向日町１００４号,090-73657186
2620281192,グループホーム“まぁる”,6028203,京都府京都市上京区,一条通松屋町西入鏡石町３１番地の３,,075-431-5108,075-354-6180,提供中,2014/8/1,2026/7/31,社会福祉法人京都ワークハウス,6028253,京都府京都市上京区,黒門通下長者町上る南小大門町５６３番地,,075-451-3004
2622600472,ホーム　にしなかの,6200038,京都府福知山市,字中ノ小字中ノ町１００番地の１２,,0773-24-6222,0773-24-6211,提供中,2014/7/1,2026/6/30,社会福祉法人ふくちやま福祉会,6200928,京都府福知山市,字奥野部小字三ノ宮２５２番地,,0773-24-5245
2621200746,グループホームやましろ,6110041,京都府宇治市,槇島町大川原３５－５　１棟,,0774-22-0677,0774-22-0677,提供中,2014/5/12,2026/5/11,社会福祉法人山城福祉会,6110041,京都府宇治市,槇島町石橋１３番地６,,0774-20-8060
2620600045,あおいホーム,6068336,京都府京都市左京区,岡崎北御所町２５－２,,075-751-8015,075-751-8015,提供中,2014/4/1,2024/9/30,社会福祉法人葵友愛会,6068336,京都府京都市左京区,岡崎北御所町２１番地の１,,075-771-3882
2620700019,ケアホームあおぞらはうす,6150001,京都府京都市右京区,西院上今田町２ー９,,075-841-8338,075-841-8334,提供中,2014/4/1,2024/9/30,社会福祉法人京都聴覚言語障害者福祉協会,6048437,京都府京都市中京区,西ノ京東中合町２番地,,075-841-8336
2620900015,ベテスダの家ケアホームⅠ,6128154,京都府京都市伏見区,向島津田町１８２－１,,075-602-1724,075-602-1724,提供中,2014/4/1,2024/9/30,社会福祉法人世光福祉会,6128034,京都府京都市伏見区,桃山町泰長老１７５番地,,075-622-0409
2620900064,グループホーム「ふしみ寮」,6128075,京都府京都市伏見区,桝形町４３５－１,,075-605-5662,075-605-5663,提供中,2014/4/1,2025/3/31,社会福祉法人京都障害者福祉センター,6018321,京都府京都市南区,吉祥院西定成町３５番地　,,075-691-4101
2620900577,モーツァルト七瀬川つつみ,6128435,京都府京都市伏見区,深草泓ノ壺町１６－３,,075-645-2204,075-645-3405,提供中,2014/4/1,2025/12/31,社会福祉法人フジの会,6128435,京都府京都市伏見区,深草泓ノ壺町３７の１,,075-641-7777
2620900635,ハックベリー,6128002,京都府京都市伏見区,桃山町山ノ下４４－８,,075-605-1213,075-605-0310,提供中,2014/4/1,2027/7/21,社会福祉法人えのき会,6128002,京都府京都市伏見区,桃山町山ノ下４４番地８,,075-605-0303
2620900700,ベテスダの家ケアホームⅡ,6128154,京都府京都市伏見区,向島津田町１４２－２,,075-612-2450,,提供中,2014/4/1,2021/11/30,社会福祉法人世光福祉会,6128034,京都府京都市伏見区,桃山町泰長老１７５番地,,075-622-0409
2620981338,ベル,6128002,京都府京都市伏見区,桃山町山ノ下５１－３５,,075-604-5668,075-601-5669,提供中,2014/4/1,2025/3/31,社会福祉法人えのき会,6128002,京都府京都市伏見区,桃山町山ノ下４４番地８,,075-605-0303
2621200498,障害者ケアホームかさとり,6011392,京都府宇治市,西笠取辻出川東６７－１,,075-644-5082,,提供中,2014/4/1,2022/4/30,社会福祉法人　山城福祉会,6110041,京都府宇治市,槇島町石橋１３番地６,,0774-20-8060
2621400023,第一いづみ荘,6191152,京都府木津川市,加茂町里東大間田２０番地,,0774-34-2123,0774-34-2277,提供中,2014/4/1,2024/9/30,（福）いづみ福祉会,6191143,京都府木津川市,加茂町観音寺石部８,,0774-76-7210
2621400031,あんず京田辺わくわく,6100362,京都府京田辺市,東西ノ口３番地,,0774-68-1838,0774-68-1839,提供中,2014/4/1,2024/9/30,社会福祉法人京都ライフサポート協会,6100313,京都府京田辺市,三山木中央九丁目8-8,,0774-63-8050
2621400049,グループホーム相朋舎,6190204,京都府木津川市,山城町上狛小杉谷７,,0774-86-5245,0774-94-6373,提供中,2014/4/1,2024/9/30,（福）相楽福祉会,6190238,京都府相楽郡精華町,精華台５丁目１番地４,,0774-93-3277
2621800164,ケアホーム　いこいの村・コスモス寮,6291242,京都府綾部市,十倉名畑町折紙田１８－１,,0773-46-0751,,提供中,2014/4/1,2023/3/31,社会福祉法人　京都聴覚言語障害者福祉協会,6048437,京都府京都市中京区,西ノ京東中合町２番地,,075-841-8336
2622800593,共同生活ホーム　シュクレサレ,6100121,京都府城陽市,寺田中大小９９番地,,0774-66-5264,0774-66-5264,提供中,2014/4/1,2026/3/31,特定非営利活動法人朔日の会,6100121,京都府城陽市,寺田北東西１００番地,,0774-66-4723
2623000011,ハイツまんてん,6170845,京都府長岡京市,下海印寺西条５１－１,,075-952-0888,075-952-0889,提供中,2014/4/1,2024/9/30,社会福祉法人　乙訓福祉会,6170836,京都府長岡京市,勝竜寺長黒１－３,,075-952-0888
2623000029,ハイツさくら,6180091,京都府乙訓郡大山崎町,円明寺葛原６－１０５,,075-954-5757,075-954-5757,提供中,2014/4/1,2024/9/30,社会福祉法人　乙訓福祉会,6170836,京都府長岡京市,勝竜寺長黒１－３,,075-952-0888
2623000060,ケアホーム　かざぐるま,6170853,京都府長岡京市,奥海印寺火ノ尾１７－３,,075-953-9212,075-953-9215,提供中,2014/4/1,2024/9/30,社会福祉法人　あらぐさ福祉会,6170813,京都府長岡京市,井ノ内広海道４２番３,,075-953-9212
2623000482,ケアホームいろどり,6170813,京都府長岡京市,井ノ内宮山１３－１,,075-957-2722,075-957-2729,提供中,2014/4/1,2024/6/30,社会福祉法人　あらぐさ福祉会,6170813,京都府長岡京市,井ノ内広海道４２番３,,075-953-9212
2623000615,あっとホーム,6170813,京都府長岡京市,井ノ内横ヶ端13-30,,075-957-5350,075-957-5350,提供中,2014/4/1,2026/3/31,特定非営利活動法人てくてく,6170825,京都府長岡京市,一文橋２丁目２５－２６,,075-957-5350
2623100019,ジョイフル東ノ口,6170003,京都府向日市,森本町東ノ口４－６,,075-932-7108,075-932-2240,提供中,2014/4/1,2024/9/30,社会福祉法人　向陵会,6170006,京都府向日市,上植野町五ノ坪１１－１,,075-935-7081
2623100027,ジョイフル山ノ下,6170006,京都府向日市,上植野町山ノ下13-78,,075-932-0104,075-932-2200,提供中,2014/4/1,2024/9/30,社会福祉法人　向陵会,6170006,京都府向日市,上植野町五ノ坪１１－１,,075-935-7081
2623300171,長岡ホーム,6270042,京都府京丹後市,峰山町長岡２８５番地,,0772-62-0391,0772-62-0607,提供中,2014/4/1,2021/10/31,社会福祉法人よさのうみ福祉会,6292314,京都府与謝郡与謝野町,岩屋600-6,,050-35320601
2623300197,ケアホーム「さくら荘」,6293101,京都府京丹後市,網野町網野２０９番地,,0772-72-5222,0772-72-5222,提供中,2014/4/1,2022/4/11,社会福祉法人あみの福祉会,6293101,京都府京丹後市,網野町網野5-7,,0772-79-2525
2623500341,第二いづみ荘,6191152,京都府木津川市,加茂町里東里４２,,0774-34-2123,0774-34-2277,提供中,2014/4/1,2023/3/31,（福）いづみ福祉会,6191143,京都府木津川市,加茂町観音寺石部８,,0774-76-7210
2624100018,共同ホームあんど,6078142,京都府京都市山科区,東野中井ノ上町1番地17,,075-592-0871,075-582-9820,提供中,2014/4/1,2024/9/30,社会福祉法人京都障害者福祉センター,6018321,京都府京都市南区,吉祥院西定成町３５番地　,,075-691-4101
2622800569,！－apartment,6100121,京都府城陽市,寺田樋尻５４－４泰西マンション,,0774-66-4618,0774-66-4618,提供中,2013/12/1,2025/11/30,社会福祉法人エクスクラメーション・スタイル・キョウト,6148182,京都府八幡市,上津屋南村７番地１,,075-983-8966
2623000557,グループホーム「サンヴィレッジ」,6170844,京都府長岡京市,調子一丁目１０－１０　サンアヴェニュー長岡京,,075-953-4120,075-954-1210,提供中,2013/9/17,2025/9/16,一般財団法人長岡記念財団,6170843,京都府長岡京市,友岡４丁目１８－１,,075-951-9201
2623400302,ゆきちゃんの家,6220042,京都府南丹市,園部町栄町３号３２－３,,0771-68-1221,0771-68-1222,提供中,2013/7/1,2025/6/30,株式会社　アットホーム,5691127,大阪府高槻市,西真上１丁目２８番１８号,,072-668-1180
2622600407,ホームいさ,6200804,京都府福知山市,石原三丁目７５番地,,0773-27-2666,0773-27-5255,提供中,2013/5/1,2025/4/30,社会福祉法人ふくちやま福祉会,6200928,京都府福知山市,字奥野部小字三ノ宮２５２番地,,0773-24-5245
2620281119,西陣会ホーム　となり,6028464,京都府京都市上京区,元誓願寺通り千本東入ル元四丁目４２４－１,,075-468-3068,075-441-5291,提供中,2013/4/1,2025/3/31,社会福祉法人西陣会,6028464,京都府京都市上京区,元誓願寺通千本東入ル元四丁目４３０番地の２,,075-451-8971
2623400286,グループホーム一歩,6010773,京都府南丹市,美山町三埜後田４番地１,,0771-75-9008,0771-75-9006,提供中,2013/4/1,2025/3/31,一般社団法人あゆみ会,6010773,京都府南丹市,美山町三埜後田４－１,,0771-75-9008
2624181141,グループホーム　道の家,6078217,京都府京都市山科区,勧修寺閑林寺８８番３,,075-593-6885,075-593-6885,提供中,2013/4/1,2025/3/31,特定非営利活動法人アースポイント,6078356,京都府京都市山科区,西野後藤１２番地５,,075-593-6885
2620781274,グループホームやちよ荘,6010251,京都府京都市右京区,京北周山町上ノ段１９－２,,075-852-1657,075-852-1657,提供中,2012/12/1,2024/11/30,特定非営利活動法人しゃくなげ,6010262,京都府京都市右京区,京北細野町東ノ垣内３０番地,,075-744-6209
2624100745,めぐみのさと,6078232,京都府京都市山科区,勧修寺福岡町312　スクエア22　103号,,075-591-1475,075-591-1475,提供中,2012/1/5,2024/1/4,株式会社サポートセンターめぐみ,6078222,京都府京都市山科区,勧修寺東堂田町１４５番地,,075-593-3461
2622000517,みんなのうち後野,6292404,京都府与謝郡与謝野町,字後野５４２－６,,0772-44-2277,0772-44-2288,提供中,2011/10/1,2023/9/30,特定非営利活動法人丹後福祉応援団,6292403,京都府与謝郡与謝野町,字加悦８０２－７,,0772-44-1122
2624100679,Ｌｉｆｅ３６５北花山,6078484,京都府京都市山科区,北花山西ノ野町１４番３６,,075-632-8480,075-632-8480,提供中,2011/6/8,2023/6/7,社会福祉法人新明塾,6050922,京都府京都市東山区,清閑寺山ノ内町28番地３,,075-551-3811
2621300298,ケアホームむくの家,6100253,京都府綴喜郡宇治田原町,大字贄田小字船戸３７番地,,0774-88-6969,0774-88-5846,提供中,2011/5/1,2023/4/30,社会福祉法人宇治田原むく福祉会,6100253,京都府綴喜郡宇治田原町,贄田船戸３８番地１,,0774-88-6969
2620900759,ピアハウス・ＨＩＳＨＩＫＡＷＡ,6128487,京都府京都市伏見区,羽束師菱川町３１４番地の１９,,075-200-8740,075-205-5276,提供中,2010/6/1,2022/5/31,特定非営利活動法人ＥＮＤＥＡＶＯＲ　ＪＡＰＡＮ,6170006,京都府向日市,上植野町久我田１の４,,075-921-7750
2623200579,グループホーム緑の風,6100311,京都府京田辺市,草内塔ノ上３５－１,,0774-64-3866,0774-64-3866,提供中,2009/8/17,2027/8/16,社会福祉法人共生福祉会,6100332,京都府京田辺市,田辺興戸御垣内９２・９９,,0774-63-7892
2620600029,テンダーホーム,6068364,京都府京都市左京区,新柳馬場仁王門下ル菊鉾町３２０－８,すみれ荘,075-752-4636,075-761-0955,提供中,2009/4/1,2024/9/30,社会福祉法人　菊鉾会,6068364,京都府京都市左京区,新柳馬場通仁王門下る菊鉾町３１６番地,,075-752-4636
2622100168,サンホーム,6260043,京都府宮津市,惣397番地,,0772-20-1212,0772-20-1177,提供中,2009/4/1,2027/3/31,社会福祉法人京都太陽の園,6220051,京都府南丹市,園部町横田前32,,0771-62-3364
