サービス種類,事業者名,事業所名,事業所住所,事業所電話番号,事業所番号,指定年月日,定員,圏域
共同生活援助(外部ｻｰﾋﾞｽ利用型),合同会社　さわやかサポート,グループホーム　あっぷるはうす１号館,秋田県湯沢市愛宕町三丁目３－６,0183-56-7545,0520700071,2018/10/1,10 ,湯沢雄勝
共同生活援助(介護ｻｰﾋﾞｽ包括型),合同会社　尚生,尚生グループホーム事業所,秋田県能代市字鳳凰岱９４番地１２,090-7660-3939,0520200031,2018/8/1,4 ,能代山本
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田県身体障害者福祉協会,コミュニティライフサポート谷内佐渡ホーム,秋田県秋田市広面字谷内佐渡１００番地１,018-827-7630,0520100132,2018/4/1,7 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),横手市,横手市障害者グループホーム,秋田県横手市大雄八柏谷地６６番地,0182-52-3661,0520300062,2018/4/1,10 ,横手
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　一羊会,グループホーム　ぐっど,秋田県潟上市天王字ハラヘ１０２－２,018-853-1240,0521100016,2018/4/1,6 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),株式会社　よつば,グループホーム　あい・あい,秋田県仙北郡美郷町土崎字上野乙１８５番２,0187-73-7590,0522600030,2017/9/10,10 ,大曲仙北
共同生活援助(介護ｻｰﾋﾞｽ包括型),特定非営利活動法人　共生センターとっと工房,たのしいわが家,秋田県大館市比内町扇田字伊勢堂岱１２９番地１,0186-57-8708,0520400029,2017/4/1,14 ,鹿角大館
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　花輪ふくし会,共同生活援助事業所　地域生活支援拠点おおだて,秋田県大館市清水一丁目１番２０号,0186-59-6266,0520400037,2017/4/1,27 ,鹿角大館
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　アヴェク・トワ,グループホーム　ブリエ十文字,秋田県横手市十文字町梨木字羽場下１０番地１１５,0182-23-6300,0520300054,2017/3/1,8 ,横手
共同生活援助(介護ｻｰﾋﾞｽ包括型),有限会社　夢紡,グループホーム　青い鳥,秋田県秋田市茨島四丁目５番１０号,018-896-0071,0520100124,2017/1/1,6 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　花輪ふくし会,グループホーム　したまち,秋田県鹿角市花輪字下タ町１１２番地１１,0186-22-2371,0520900044,2016/8/1,4 ,鹿角大館
共同生活援助(介護ｻｰﾋﾞｽ包括型),株式会社　和心,共同生活援助事業所　のどか,秋田県にかほ市平沢字町田４８番地１１,0184-74-6126,0521700013,2016/8/1,16 ,本荘由利
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　ドリームホープなかよし,りぼん障がい者グループホーム,秋田県能代市字養蚕脇１９番地８,0185-55-1100,0520200023,2016/4/1,18 ,能代山本
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　秋田県民生協会,グループホーム　さつき,秋田県北秋田市上杉字金沢２２９－２０,0186-78-2987,0521300038,2016/4/1,10 ,北秋田
共同生活援助(介護ｻｰﾋﾞｽ包括型),特定非営利活動法人　エヌピーオー社会福祉事業振興会,共同生活援助施設　みらいの家,秋田県湯沢市川連町字大舘川原１１９番２,0183-56-6155,0520700063,2016/3/25,5 ,湯沢雄勝
共同生活援助(介護ｻｰﾋﾞｽ包括型),株式会社　ろくごうめでぃかる,共同生活援助　りんどうの家,秋田県仙北郡美郷町野中字宮崎５８－１,0187-73-6332,0522600022,2015/9/1,10 ,大曲仙北
共同生活援助(外部ｻｰﾋﾞｽ利用型),特定非営利活動法人　あきた結いネット,グループホームお結び,秋田県秋田市桜ガ丘一丁目３番地１３,018-825-0039,0520100116,2015/8/1,11 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　能代ふくし会,グループホーム　ぴあはうす,秋田県能代市上町１２番２３号,0185-74-6023,0520200015,2015/8/1,5 ,能代山本
共同生活援助(介護ｻｰﾋﾞｽ包括型),ＮＰＯ法人　「太陽の園」,すまいる,秋田県横手市赤坂字仁坂１０５番１地内,0182-33-8880,0520300047,2015/6/1,7 ,横手
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　つるまい福祉会,社会福祉法人つるまい福祉会グループホーム　花瀬,秋田県由利本荘市古雪町１２３番地２,0184-74-6350,0521000026,2015/6/1,6 ,本荘由利
共同生活援助(介護ｻｰﾋﾞｽ包括型),医療法人　わらべ会,医療法人わらべ会　障害者グループホームみやた,秋田県秋田市南通宮田１５番４４号,018-835-1210,0520100108,2015/4/1,20 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　柏仁会,ユアホームありす刈和野,秋田県大仙市刈和野字愛宕下８５番地,0187-73-7021,0521200030,2015/4/1,10 ,大曲仙北
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　秋田県民生協会,グループホーム　さざなみ,秋田県北秋田市川井字才ノ神６１番地１３,0186-67-6008,0521300020,2015/4/1,22 ,北秋田
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　雄勝なごみ会,かざぐるま　共同生活援助事業所,秋田県湯沢市両神１７番地１,0183-72-1616,0520700055,2014/7/1,10 ,湯沢雄勝
共同生活援助(介護ｻｰﾋﾞｽ包括型),医療法人　久幸会,げんきハウス金足,秋田県秋田市金足追分字海老穴２２２番地,018-872-1116,0520100082,2014/4/1,18 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　南秋福祉会,グループホーム　すみれ,秋田県南秋田郡八郎潟町字昼根下６８番地３７,018-875-5132,0522300029,2013/10/1,7 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),医療法人　慧眞会,グループホーム　ケイハウス水仙,秋田県大仙市協和船岡字大袋１番地３４,018-892-3011,0521200014,2013/9/1,13 ,大曲仙北
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田福祉協会,ケアホーム　ほっと,秋田県秋田市上新城小又字啌市５０番地,018-870-2361,0520100074,2013/4/1,5 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　グリーンローズ,グループホーム　まちなか,秋田県秋田市山王四丁目６番２６号　山王９Ｋビル　４０１号室　４０２号室,018-828-7750,0520100066,2012/9/1,11 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　花輪ふくし会,グループホーム　ハンズ,秋田県鹿角市十和田毛馬内字弁天崎４４－１６,0186-35-2231,0520900036,2012/4/1,22 ,鹿角大館
共同生活援助(外部ｻｰﾋﾞｽ利用型),特定非営利活動法人　逢い,グループホーム　さくら家,秋田県由利本荘市薬師堂字中道２６８番地６,0184-24-1109,0521000018,2012/4/1,6 ,本荘由利
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　花輪ふくし会,グループホーム　大地,秋田県鹿角郡小坂町小坂鉱山字栗平２３番地１,0186-29-5131,0522000025,2012/4/1,30 ,鹿角大館
共同生活援助(外部ｻｰﾋﾞｽ利用型),特定非営利活動法人　秋田マック,グループホーム　Ｔｕｎｅ,秋田県秋田市桜三丁目１４番１０号,018-874-7021,0520100058,2011/11/1,7 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田育明会,雪やなぎ,秋田県秋田市柳田字佐渡端３４－２,018-893-7611,0520100041,2011/10/1,11 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　五輪坂秋峰会,グループホーム白樺,秋田県秋田市中通１丁目３－３７,018-884-0051,0520100033,2011/5/1,7 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　大館圏域ふくし会,グループホーム軽井沢福祉園,秋田県大館市軽井沢字鳶ヶ長根１番地３２,0186-52-3353,0520400011,2011/4/1,24 ,鹿角大館
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　花輪ふくし会,こさかわいわいセンター,秋田県鹿角郡小坂町小坂鉱山字栗平２３番地１,0186-29-5131,0522000017,2011/4/1,17 ,鹿角大館
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　友愛の園,共同生活援助事業所　花つぼみ,秋田県秋田市土崎港相染町字大谷地３３番地１０,018-847-0011,0520100025,2010/5/1,26 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),特定非営利活動法人　湯雄福祉会,共同生活援助施設　グループホーム希桜,秋田県湯沢市愛宕町５丁目２番２１号,0183-73-9777,0520700048,2010/1/1,24 ,湯沢雄勝
共同生活援助(外部ｻｰﾋﾞｽ利用型),医療法人　仁恵会,障害者総合支援事業所「松風」（外部サービス利用型指定共同生活援助）,秋田県湯沢市山田字中屋敷１５番地の１,0183-78-0066,0520700030,2009/10/1,19 ,湯沢雄勝
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　友遊会,グループホーム雀,秋田県秋田市下新城中野字琵琶沼１５６－１９,018-873-8158,0520100017,2009/7/1,14 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　南秋福祉会,グループホーム　つくし,秋田県南秋田郡八郎潟町字中嶋３０１番地,018-875-5132,0522300011,2009/6/1,7 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田県社会福祉事業団,湯沢雄勝広域市町村圏組合　やまばと園　指定共同生活援助事業所,秋田県湯沢市杉沢字野々沢１１５－１,0183-42-2141,0520700022,2009/4/1,5 ,湯沢雄勝
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　花輪ふくし会,グループホーム　けふの郷,秋田県鹿角市十和田錦木字下野添２０－３,0186-35-3933,0520900028,2009/4/1,30 ,鹿角大館
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　秋田ふくしハートネット,ハートコーポさくら,秋田県仙北市角館町雲然荒屋敷２９０番地１,0187-54-3001,0521600015,2008/10/1,5 ,大曲仙北
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　長いスプーン,グループホーム　カメラーデン,秋田県湯沢市皆瀬字桜坂１７番,0183-46-2064,0520700014,2008/4/1,13 ,湯沢雄勝
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　交楽会,指定共同生活援助事業所　もりの里,秋田県北秋田市小又字新屋布５０番地２,0186-75-3300,0521300012,2008/4/1,10 ,北秋田
共同生活援助(外部ｻｰﾋﾞｽ利用型),ＮＰＯ法人　ハート・かまくら,グループホームかまくら新生会,秋田県横手市安田字ブンナ沢４４番地４,0182-32-5773,0520300013,2007/11/1,7 ,横手
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　水交会,水交会共同生活援助事業所,秋田県大仙市角間川町字八幡前２８６－２,0187-65-2003,0521200469,2006/10/1,18 ,大曲仙北
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　秋田育明会,ささこやま,秋田県秋田市広面字大巻３６番地３,018-835-3371,0520100231,2006/10/1,10 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　愛心会,グループホーム　あいしんホーム,秋田県秋田市飯島松根東町４－４４,018-846-7682,0520100249,2006/10/1,16 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田県社会福祉事業団,高清水園共同生活援助事業所,秋田県秋田市広面字樋ノ上３４番地１,018-832-4211,0520100264,2006/10/1,30 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),医療法人　久幸会,医療法人久幸会　障害者グループホーム,秋田県秋田市下新城中野字琵琶沼１５６番地１５,018-873-3011,0520100298,2006/10/1,50 ,秋田周辺
共同生活援助(外部ｻｰﾋﾞｽ利用型),医療法人　久盛会,グループホーム　久盛会,秋田県秋田市飯島字堀川８４－２９,018-846-6125,0520100306,2006/10/1,54 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　一羊会,杉の木園グループホーム事業所,秋田県秋田市山内字上台１５番地１,018-827-2310,0520100314,2006/10/1,34 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　二ツ井めぐみ会,二ツ井めぐみホーム,秋田県能代市二ツ井町荷上場字グミノ木１７１番地,0185-73-4070,0520201799,2006/10/1,13 ,能代山本
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田県社会福祉事業団,阿桜園共同生活援助事業所,秋田県横手市赤坂字仁坂１０５,0182-32-6085,0520300302,2006/10/1,10 ,横手
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会医療法人　興生会,グループホームつばさ,秋田県横手市杉沢字谷地中３４５,0182-23-5820,0520301656,2006/10/1,32 ,横手
共同生活援助(外部ｻｰﾋﾞｽ利用型),社会福祉法人　大館圏域ふくし会,グループホーム矢立育成園,秋田県大館市白沢字白沢８５１番地,0186-46-3161,0520401449,2006/10/1,28 ,鹿角大館
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　男鹿更生会,玉の池荘指定共同生活援助(介護サービス包括型）事業所,秋田県男鹿市男鹿中滝川字寒風山横通１２４番地,0185-23-2871,0520601691,2006/10/1,29 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　花輪ふくし会,グループホーム　しずく,秋田県鹿角市花輪字小坂１－２０,0186-23-3041,0520901232,2006/10/1,30 ,鹿角大館
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　花輪ふくし会,グループホーム　あおぞら,秋田県鹿角市十和田錦木字上川原１６－１,0186-35-5766,0520901265,2006/10/1,14 ,鹿角大館
共同生活援助(外部ｻｰﾋﾞｽ利用型),特定非営利活動法人　鹿角親交会,グループホーム　鹿角親交会,秋田県鹿角市花輪字寺ノ後３６－２,0186-22-7166,0520901687,2006/10/1,23 ,鹿角大館
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田県社会福祉事業団,由利本荘地域生活支援センター,秋田県由利本荘市薬師堂字二本木４４－２,0184-23-3551,0521000315,2006/10/1,64 ,本荘由利
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田県社会福祉事業団,秋田県心身障害者コロニー　共同生活援助事業所,秋田県由利本荘市西目町沼田字新道下６７９番地８,0184-33-4566,0521000323,2006/10/1,45 ,本荘由利
共同生活援助(介護ｻｰﾋﾞｽ包括型),医療法人　荘和会,障害者自立支援センター「和」,秋田県由利本荘市石脇字田中１０８番地,0184-23-6777,0521001214,2006/10/1,14 ,本荘由利
共同生活援助(外部ｻｰﾋﾞｽ利用型),医療法人　仁政会,医療法人　仁政会,秋田県潟上市昭和大久保北野出戸道脇４１番地,018-877-6141,0521101329,2006/10/1,18 ,秋田周辺
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　県北報公会,吉野更生園,秋田県北秋田市七日市字中道岱１５番地,0186-66-2104,0521301192,2006/10/1,28 ,北秋田
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　県北報公会,大野岱吉野学園,秋田県北秋田市七日市字家向４６－１,0186-66-2104,0521301200,2006/10/1,19 ,北秋田
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　山本更生会,大日寮,秋田県山本郡三種町森岳字上台１１１番地１,0185-83-3478,0522200336,2006/10/1,25 ,能代山本
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　秋田虹の会,虹のいえ指定グループホーム事業所,秋田県山本郡藤里町矢坂字下一の坂２番地１,0185-79-1234,0522201284,2006/10/1,36 ,能代山本
共同生活援助(介護ｻｰﾋﾞｽ包括型),社会福祉法人　慈泉会,サンワークの家,秋田県仙北郡美郷町六郷字熊野２１３番地１,0187-84-1208,0522600477,2006/10/1,41 ,大曲仙北
共同生活援助(外部ｻｰﾋﾞｽ利用型),医療法人　回生会,回生会グループホーム,秋田県秋田市牛島西１丁目６－２４,018-832-3203,0520100272,2006/4/1,12 ,秋田周辺
