事業所番号,ｻｰﾋﾞｽ種類,事業所名,事業所郵便番号,事業所所在地,事業所電話,事業所FAX,指定後状態名,指定年月日,法人名,法人所在地
0820800431,共同生活援助,グループホーム　ヒバリ,3010856,茨城県龍ケ崎市貝原塚町2285-1,0297-86-7186,0297-86-7185,提供中,2019/4/1,株式会社　万壽,茨城県土浦市荒川沖西一丁目8番3号
0822600615,共同生活援助,グループホーム　ぽこりっと,3110105,茨城県那珂市菅谷2062,029-219-6551,029-219-6552,提供中,2019/4/1,特定非営利活動法人　ぽこりっと,茨城県那珂市中台566番地45
0822900742,共同生活援助,グループホームみはる園神栖,3140112,茨城県神栖市知手中央1丁目9番地30,0299-94-3670,0299-94-3671,提供中,2019/1/1,株式会社グッドライフ,茨城県潮来市辻829番地1
0821500238,共同生活援助,里の家,3191702,茨城県北茨城市大津町2564番地1,0293-24-5033,0293-24-5044,提供中,2018/12/1,有限会社エム・エス・テイ介護倶楽部,茨城県北茨城市中郷町小野矢指846番地
0822100798,共同生活援助,グループホームみやび,3120002,茨城県ひたちなか市高野142-41　Ｓ・ディアコートＡ101号室,029-352-2367,029-352-2368,提供中,2018/12/1,特定非営利活動法人まほろば,茨城県ひたちなか市大字市毛515番地の10
0822100806,共同生活援助,ラピス,3120035,茨城県ひたちなか市枝川1299-1,029-224-6750,,提供中,2018/12/1,株式会社星,茨城県水戸市金町三丁目4番36号
0820200889,共同生活援助,グループホームたまご,3191414,茨城県日立市日高町5-6-15,0294-51-4932,0294-51-2035,提供中,2018/11/1,株式会社Ｒｅ－ｅＧＧ,茨城県日立市金沢町七丁目13番6号
0823100334,共同生活援助,Castle,3113116,茨城県東茨城郡茨城町長岡4345-8,029-828-8518,029-828-8513,提供中,2018/10/1,株式会社ＡＱＵＡ,茨城県鉾田市徳宿1809番地5
0820200848,共同生活援助,センターかがやき,3160033,茨城県日立市中成沢町4丁目4番12-1号,0294-38-1200,0294-38-1200,提供中,2018/9/1,株式会社あかつき,茨城県日立市中成沢町四丁目3番4号
0822900726,共同生活援助,クレッシェンド,3140128,茨城県神栖市大野原中央6丁目5番地48,0299-94-3739,0299-94-3739,提供中,2018/9/1,クレッシェンド合同会社,茨城県行方市繁昌804番地
0821000155,共同生活援助,クローバー,3040064,茨城県下妻市本城町三丁目48番地,0296-45-6818,0296-45-6819,提供中,2018/8/1,社会福祉法人　みどり会,茨城県下妻市本城町三丁目49番地
0821600582,共同生活援助,グループホーム　うたた寝,3091738,茨城県笠間市大田町215番地37,0296-77-2932,0296-77-2932,提供中,2018/8/1,合同会社たねの声,茨城県笠間市大田町215番地37
0821200300,共同生活援助,ふえりす,3130222,茨城県常陸太田市松平町1159-1,0294-85-2134,0294-70-5033,提供中,2018/7/1,社会福祉法人　朋友会,茨城県常陸太田市松平町３６４番１
0827200270,共同生活援助,グループホーム　ふぁーれ（灯台）,3112113,茨城県鉾田市上幡木1656-215,0291-36-7613,0291-36-7614,提供中,2018/7/1,特定非営利活動法人介護支援事業所縁ゆかり,東京都練馬区石神井台七丁目21番8号
0820102523,共同生活援助,グループホーム　あゆむ,3114153,茨城県水戸市河和田町56番39号,029-353-7186,029-353-7187,提供中,2018/6/1,株式会社八重櫻,茨城県水戸市河和田町280番地の2
0821900560,共同生活援助,ケアセンター梵,3001284,茨城県牛久市島田町2688-1,029-886-6230,029-875-1125,提供中,2018/6/1,社会福祉法人銈光会,茨城県稲敷郡美浦村大字舟子字横田3143番1
0822100764,共同生活援助,プログレスホームサッチモ,3120004,茨城県ひたちなか市長砂1561-4,0801277-2221,029-202-1666,提供中,2018/6/1,社会福祉法人　町にくらす会,茨城県ひたちなか市長砂1561番地4
0822300216,共同生活援助,ライフサポートセンターいたこ,3112423,茨城県潮来市日の出5丁目24,0299-77-7828,0299-77-7110,提供中,2018/6/1,社会福祉法人創志会,茨城県つくば市上郷7563番地67
0821600566,共同生活援助,レリーフ,3091611,茨城県笠間市笠間1593-1,0296-72-1102,0296-72-1103,提供中,2018/4/1,株式会社Ｆｅｅｌｄ,茨城県笠間市笠間1593番地1
0821700457,共同生活援助,ハイライフサポート取手ホーム,3001545,茨城県取手市和田1010,029-873-7787,029-893-5888,提供中,2018/4/1,株式会社ハイライフサポート,茨城県牛久市上柏田四丁目55番地21
0822400313,共同生活援助,あっとホームらいおん荘,3020118,茨城県守谷市立沢1001-1,0297-34-0766,0297-34-0760,提供中,2018/4/1,株式会社ウェルビー,茨城県守谷市立沢950番地1
0820300705,共同生活援助,ファミーユ上高津新町,3000819,茨城県土浦市上高津新町11-21,029-869-8105,000-000-0000,提供中,2018/3/1,一般社団法人栁田障害福祉グループ,茨城県土浦市藤沢新田2番地1
0820102432,共同生活援助,グループホームすばる,3100022,茨城県水戸市梅香二丁目285番1号,029-302-7377,029-302-7378,提供中,2017/12/1,一般社団法人サイコー,茨城県水戸市梅香二丁目285番1号
0820500387,共同生活援助,グループホーム　ＳＡＫＵＲＡ,3150133,茨城県石岡市半田1886番地1,0299-57-6070,,提供中,2017/12/1,医療法人社団金山会,茨城県石岡市半田1886番地
0823800446,共同生活援助,グループホームおひさま,3000335,茨城県稲敷郡阿見町岡崎2丁目15番地34,0907252-3445,000,提供中,2017/12/1,株式会社　パートナーズ,茨城県土浦市小松一丁目16番25号
0820102424,共同生活援助,樹もれびハウス,3114207,茨城県水戸市成沢町831番地の16,029-303-8211,029-303-8211,提供中,2017/11/1,特定非営利活動法人だいち,茨城県水戸市堀町767番地の1
0820300689,共同生活援助,株式会社サンライフ,3000067,茨城県土浦市東都和13-8,029-875-8341,029-828-4135,提供中,2017/11/1,株式会社サンライフ,茨城県つくば市松代一丁目28番地6
0820700193,共同生活援助,あじさい,3070031,茨城県結城市大字大木八坂前409-54,0296-45-5058,0296-45-5048,提供中,2017/9/1,一般社団法人社会福祉相談センター,埼玉県東松山市若松町二丁目11番24号エンゼルハイム東松山203号
0822000956,共同生活援助,ごきげんファーム　鬼ヶ窪,3002651,茨城県つくば市鬼ケ窪下山1047番106,029-875-5660,029-875-5679,提供中,2017/8/1,特定非営利活動法人つくばアグリチャレンジ,茨城県つくば市大角豆2168-1
0822000964,共同生活援助,共同生活援助事業所とよさと,3003261,茨城県つくば市花畑二丁目2番地13,029-847-2631,029-847-9590,提供中,2017/8/1,医療法人社団つくば健仁会,茨城県つくば市田倉4725番地
0822800231,共同生活援助,ＨＩＬＬＳ,3000121,茨城県かすみがうら市宍倉6211-8,029-828-8518,029-828-8512,提供中,2017/8/1,株式会社ＡＱＵＡ,茨城県鉾田市徳宿1809番地5
0820400729,共同生活援助,ＮＰＯ法人自立支援センター,3060112,茨城県古河市東山田字米倉4930番地15,0280-66-9119,0280-66-9119,提供中,2017/7/1,特定非営利活動法人　自立支援センター,茨城県古河市東山田4930番地15
0820500379,共同生活援助,あいホーム石岡,3150033,茨城県石岡市東光台二丁目8番3号,0299-28-0121,0299-28-0122,提供中,2017/6/1,社会福祉法人桐孝会,茨城県石岡市東光台二丁目8番3号
0821400181,共同生活援助,ソーラーリゾート　クレピュア,3180024,茨城県高萩市大字秋山2663番地5,0293-44-6611,0293-44-6610,提供中,2017/6/1,株式会社ひたちソーラーリゾート,茨城県日立市十王町山部343番地1
0822000923,共同生活援助,笹の葉ホーム,3002635,茨城県つくば市東光台2-24-1,029-828-6861,029-828-6863,提供中,2017/6/1,常南交通株式会社,茨城県つくば市榎戸433番地2
0821100336,共同生活援助,障がい者グループホーム　筑波キングス・ガーデン,3002521,茨城県常総市大生郷町字新畑1876番地,0297-24-4550,,提供中,2017/5/1,社会福祉法人　日本キングス･ガーデン,茨城県常総市大生郷町字新畑1818番地2
0823300215,共同生活援助,萬有の森　障害者グループホーム太陽,3191113,茨城県那珂郡東海村照沼51-1,029-352-9160,029-352-9161,提供中,2017/5/1,医療法人　愛仁会,茨城県常陸太田市町田町2093番地
0821700424,共同生活援助,グループホーム　メジロ,3001514,茨城県取手市宮和田1030-42,0297-79-4987,0297-79-4987,提供中,2017/4/27,株式会社　万壽,茨城県土浦市荒川沖西一丁目8番3号
0820102317,共同生活援助,共同生活援助施設　千波ハピネス,3100851,茨城県水戸市千波町2770-21,029-246-6660,029-246-6661,提供中,2017/4/1,社会福祉法人　青樹会,埼玉県草加市柿木町字鶴181番地
0821900511,共同生活援助,ハイライフサポート牛久ホーム,3001203,茨城県牛久市下根町1322-351,029-873-7787,029-893-5888,提供中,2017/4/1,株式会社ハイライフサポート,茨城県牛久市上柏田四丁目55番地21
0822900643,共同生活援助,グループホームけいあい,3140115,茨城県神栖市知手3659番地,0299-96-1831,0299-96-4141,提供中,2017/4/1,社会福祉法人　神栖啓愛園,茨城県神栖市知手字柳堀新開3653番地1
0822900650,共同生活援助,グループホームハミング,3140253,茨城県神栖市須田3419番2,0479-40-0505,0479-40-0506,提供中,2017/4/1,社会福祉法人しあわせ会,茨城県神栖市矢田部12642番地12
0820400703,共同生活援助,あじさい学園ホーム,3060041,茨城県古河市鴻巣1112,0280-23-1564,0280-23-1565,提供中,2017/3/31,社会福祉法人　共生社,茨城県古河市鴻巣字出口南1179番地
0821800307,共同生活援助,ユタカホーム,3060515,茨城県坂東市沓掛5178,0297-44-0720,,提供中,2017/3/31,社会福祉法人　修倫福祉会,茨城県坂東市神田山2208番地
0820500353,共同生活援助,メイプルホーム　いしおか,3150037,茨城県石岡市東石岡3-15-9,0299-57-1800,0299-57-1801,提供中,2016/12/1,社会福祉法人誠仁会,茨城県鉾田市徳宿1809番地11
0822900627,共同生活援助,ＯＨＡＮＡハウス,3140134,茨城県神栖市賀2108-89Ａ棟,0299-77-8030,0299-77-7744,提供中,2016/10/1,一般社団法人　ＯＨＡＮＡ,茨城県神栖市平泉東一丁目64-60
0820102184,共同生活援助,グループホーム　ティピ１,3100913,茨城県水戸市見川町1814-21　フォーライフハウス見川町Ⅱ-C,029-243-3159,029-243-3159,提供中,2016/7/1,特定非営利活動法人　宙の会,茨城県水戸市見川町2563番地475
0820102192,共同生活援助,はっぴぃハウス　かさはら,3100852,茨城県水戸市笠原町1213-30,029-305-5851,029-305-5853,提供中,2016/7/1,社会福祉法人　ひだまり会,茨城県水戸市加倉井町104番地
0820700185,共同生活援助,グループホーム　エレナ,3070001,茨城県結城市大字結城字下山7969番地13,0296-39-0214,0296-39-0214,提供中,2016/6/1,結城社会福祉株式会社,茨城県結城市大字結城字下山7969番地13
0822600516,共同生活援助,コモドグループホーム,3110105,茨城県那珂市菅谷5417-1,029-219-7073,029-219-7073,提供中,2016/6/1,株式会社　フレーズ,茨城県那珂市菅谷5417番地1
0820300580,共同生活援助,グループホーム　つばめ,3000024,茨城県土浦市田村町972番地,029-893-2130,029-893-2130,提供中,2016/4/1,社会福祉法人俊真会,茨城県土浦市田村町972番地
0821200243,共同生活援助,グループホームワコー大里,3130125,茨城県常陸太田市大里町236-1,0294-70-3388,0294-70-3389,提供中,2016/4/1,有限会社ワコー介護サービス,茨城県常陸太田市大里町237番地1
0822500294,共同生活援助,グループホーム明の家,3193114,茨城県常陸大宮市野上1924-1,0295-54-4893,0295-54-4889,提供中,2016/4/1,社会福祉法人　二十一世紀会,茨城県常陸大宮市野上1788番地1
0823000179,共同生活援助,いもやホーム,3113811,茨城県行方市四鹿816番地7,0299-73-3838,0299-73-3838,提供中,2016/4/1,一般社団法人いもや,茨城県行方市四鹿816番地
0823800404,共同生活援助,あじさい福祉園共同生活援助事業所れるび,3001331,茨城県稲敷郡河内町生板横間8897番地,0297-84-0311,0297-84-0313,提供中,2016/4/1,社会福祉法人河内厚生会,茨城県稲敷郡河内町生板横間8907番地
0822200358,共同生活援助,ゆたかの里,3140012,茨城県鹿嶋市平井2番地103,0299-77-9099,0299-77-9091,提供中,2016/1/1,特定非営利活動法人潮騒ジョブトレーニングセンター,茨城県鹿嶋市宮津台210番地10
0821100286,共同生活援助,ういんぐ,3002513,茨城県常総市羽生町206番地4号,0297-38-8800,0297-38-8810,提供中,2015/12/1,特定非営利活動法人ＩＬＡ,茨城県常総市羽生町361番地
0822100566,共同生活援助,スマイルくらぶ,3120046,茨城県ひたちなか市勝田泉町4番17,029-276-0660,029-275-5661,提供中,2015/11/1,ますだ,茨城県ひたちなか市勝田泉町4番17
0820102051,共同生活援助,グループホーム　かがやき,3100821,茨城県水戸市中大野661-1,029-269-1181,029-269-1155,提供中,2015/9/1,社会福祉法人友幸会,茨城県水戸市下大野町6743番1
0822200291,共同生活援助,Ｃｏｃｏｎ,3112221,茨城県鹿嶋市荒野1595-3,0299-77-5108,0299-77-5107,提供中,2015/5/1,社会福祉法人誠仁会,茨城県鉾田市徳宿1809番地11
0820102010,共同生活援助,コテロ元吉田,3100836,茨城県水戸市元吉田町1328番地3,029-291-3474,029-291-3990,提供中,2015/4/1,株式会社オーバースロー,茨城県水戸市元吉田町1328番地3
0822100517,共同生活援助,笑の心,3111202,茨城県ひたちなか市磯崎町字境4084番地5,029-219-5977,029-219-5977,提供中,2015/4/1,社会福祉法人心の和,茨城県ひたちなか市磯崎町字境4084番地5
0822700662,共同生活援助,グループホーム　ロメオ,3080847,茨城県筑西市玉戸字伊房地1353番9,0296-28-8777,0296-28-7923,提供中,2015/4/1,有限会社ロメオ,茨城県筑西市玉戸1053番地
0822000766,共同生活援助,グループホーム　ふくろう,3004231,茨城県つくば市北条字中町裏4456番地2,029-897-3626,029-897-3626,提供中,2015/3/1,社会福祉法人明康会,茨城県筑西市海老ケ島字久保山1999番地
0823000161,共同生活援助,すずらんハウス,3111704,茨城県行方市山田字宮ノ脇3365番5,0478-53-2285,0478-79-6285,提供中,2015/1/1,特定非営利活動法人宗愛の里はらっぱ,千葉県香取市玉造539番地1
0820101905,共同生活援助,グループホーム　ピアニッシモ,3114153,茨城県水戸市河和田町151番地,029-257-8166,029-257-8167,提供中,2014/12/1,特定非営利活動法人　ピアニッシモ,茨城県水戸市河和田町151番地
0822300158,共同生活援助,ｸﾞﾙｰﾌﾟﾎｰﾑみはる園,3112421,茨城県潮来市大字辻1543-3,0299-77-5200,0299-77-5300,提供中,2014/10/1,株式会社グッドライフ,茨城県潮来市辻829番地1
0822400180,共同生活援助,Zero House　Ⅰ,3020128,茨城県守谷市けやき台3-10-1,0297-20-6851,0297-20-6852,提供中,2014/10/1,株式会社　コミュニティライフプロモーションズ,茨城県守谷市薬師台一丁目13番地1
0822500260,共同生活援助,障がい者グループホーム　一貫堂,3192262,茨城県常陸大宮市下町1392,0295-54-7788,0295-53-2522,提供中,2014/7/1,医療法人　一貫堂会,茨城県常陸大宮市下町3993
0820101780,共同生活援助,かきのきホーム　,3190301,茨城県水戸市田島町294番地2,029-239-3923,029-239-3924,提供中,2014/6/1,特定非営利活動法人　かきのき,茨城県水戸市田島町294番地
0820101764,共同生活援助,あおぞら,3100841,茨城県水戸市酒門町4280-1,029-247-5151,029-248-5720,提供中,2014/5/1,社会福祉法人　清香会,茨城県水戸市酒門町4280-2
0822200242,共同生活援助,ケアホームウィング,3140042,茨城県鹿嶋市田野辺570-17,0299-94-8313,0299-94-8313,提供中,2014/5/1,特定非営利活動法人風花,茨城県鹿嶋市大字田野辺570-17
0820100329,共同生活援助,グループホーム集まれガッツ村,3100844,茨城県水戸市住吉町16番地57,029-293-7401,029-293-7744,提供中,2014/4/1,社会福祉法人茨城補成会,茨城県東茨城郡茨城町上石崎4698番地の2
0820101038,共同生活援助,ケアホーム　きらきら,3114144,茨城県水戸市開江町483－1,029-255-5546,029-291-5541,提供中,2014/4/1,社会福祉法人友幸会,茨城県水戸市下大野町6743番1
0820101616,共同生活援助,共同生活介護支援施設タウンいずみ,3100026,茨城県水戸市泉町2-4-21,029-302-6550,029-302-6552,提供中,2014/4/1,社会福祉法人　梅寿会,茨城県神栖市日川字石塚4112番
0820101715,共同生活援助,たけのこホーム,3100843,茨城県水戸市元石川町2523番地の2,029-248-7009,029-248-7009,提供中,2014/4/1,合同会社ライフパートナー,茨城県水戸市元石川町2523番地の2
0820200442,共同生活援助,グループホーム　一想園,3191416,茨城県日立市田尻町2-8-10,0294-43-0990,0294-44-8688,提供中,2014/4/1,社会福祉法人　愛正会,茨城県高萩市大字下手綱字大谷口1951番地の15
0820200582,共同生活援助,日立太陽の家　風の家,3170065,茨城県日立市助川町５－１４－９,0294-23-2620,0294-23-2620,提供中,2014/4/1,特定非営利活動法人　日立太陽の家,茨城県日立市助川町５－１４－８
0820200673,共同生活援助,みなみの杜,3191224,茨城県日立市南高野町2丁目11番12号,0294-51-2807,0294-51-2807,提供中,2014/4/1,社会福祉法人　ひたち育成会,茨城県日立市南高野町2-10-24
0820300408,共同生活援助,なでしこ,3000013,茨城県土浦市神立町667-28,029-831-1686,029-831-8636,提供中,2014/4/1,社会福祉法人　尚恵学園,茨城県土浦市神立町1791
0821200151,共同生活援助,ひらそる,3130222,茨城県常陸太田市松平町２５２－１,0294-85-2134,0294-70-5033,提供中,2014/4/1,社会福祉法人　朋友会,茨城県常陸太田市松平町３６４番１
0821400058,共同生活援助,共同生活援助事業所　リバティ・サポートセンターゆい,3180034,茨城県高萩市大字高萩45番地1,0293-23-6890,0293-23-6897,提供中,2014/4/1,社会福祉法人親交会,茨城県高萩市大字若栗字井戸上125番地1
0821600293,共同生活援助,ビレッジ　ダッシュ,3091722,茨城県笠間市平町122番地4,0296-78-5287,0296-73-4224,提供中,2014/4/1,特定非営利活動法人　茨城依存症回復支援協会,茨城県笠間市平町122番地4
0821700200,共同生活援助,ケアホーム夢未来,3001525,茨城県取手市桜が丘4-1391-76,0297-83-2266,0297-82-5880,提供中,2014/4/1,社会福祉法人　身障者ポニーの会,茨城県取手市高須2148
0821700291,共同生活援助,グループホームつつじ,3020034,茨城県取手市戸頭7-7-19-101,0297-78-3211,0297-78-9621,提供中,2014/4/1,社会福祉法人　取手市社会福祉協議会,茨城県取手市寺田5144-3
0821800109,共同生活援助,オーロラ,3060515,茨城県坂東市沓掛1805-1,0297-44-0722,0297-44-0722,提供中,2014/4/1,特定非営利活動法人　オンリーワン,茨城県坂東市沓掛1805-1
0821800273,共同生活援助,桐木ケアホーム,3060636,茨城県坂東市桐木644-13,0297-36-3385,0297-36-3385,提供中,2014/4/1,社会福祉法人　修倫福祉会,茨城県坂東市神田山2208
0822000352,共同生活援助,共同生活援助事業所　ほっとハウス,3004204,茨城県つくば市作谷2915番1,029-867-0025,029-867-1968,提供中,2014/4/1,社会福祉法人　筑峯学園,茨城県つくば市平沢655番地の4
0822000469,共同生活援助,みもりの杜,3004245,茨城県つくば市水守859-7,029-850-9010,029-850-9033,提供中,2014/4/1,社会福祉法人　にいはり福祉会,茨城県土浦市小高572-1
